 	ton	enfant-ci	souffre	de	la	rougeole	il	risque	de	contaminer	les	autres	</S>
m	0.729444	0.238143	0.0064876	0.004653	0.0107013	0.00348781	0.00333472	0.000229294	0.000556217	0.000583198	0.000887037	0.00143093	6.24728e-05
w	0.0436794	0.758006	0.018078	0.0161776	0.0128491	0.105929	0.008689	0.00589204	0.0107482	0.00153705	0.00363555	0.00796669	0.00681268
á	0.00150046	0.983306	0.00224368	0.000396943	0.000441413	0.0115818	0.000172912	3.94183e-05	9.01101e-05	9.98784e-06	1.08756e-05	0.000181752	2.49053e-05
n	0.345668	0.549218	0.00785708	0.00506593	0.00561133	0.0378341	0.00229577	0.000543798	0.0026166	0.000952294	0.00041958	0.0308687	0.0110482
a	0.0714643	0.48464	0.0253958	0.018215	0.0162074	0.189506	0.0511339	0.0131994	0.0220038	0.00346717	0.00294346	0.00420017	0.0976233
y	0.854614	0.04361	0.0194345	0.0166717	0.0217	0.00668823	0.00860224	0.00399417	0.00392184	0.0034619	0.0080238	0.00511862	0.00415913
a	0.385674	0.118646	0.116068	0.0510841	0.0513522	0.0716244	0.0784577	0.0505399	0.0211994	0.00461869	0.0262935	0.0019895	0.0224527
n	0.459819	0.105824	0.0769047	0.044222	0.0415808	0.0321624	0.0804441	0.0235211	0.0198682	0.0033849	0.0471924	0.00316897	0.0619077
ω	0.918756	0.0134844	0.0105863	0.00754575	0.0128919	0.0104925	0.00443112	0.0108592	0.00403664	0.000311118	0.00225781	0.000842542	0.00350495
w	0.0165054	0.0862489	0.438613	0.130273	0.0692092	0.0845941	0.0551217	0.0434625	0.0335444	0.00496988	0.0115385	0.00571523	0.0202048
ó	0.289203	0.118927	0.25877	0.106394	0.0282003	0.0106946	0.0473987	0.0166646	0.0362501	0.0140104	0.019426	0.00357899	0.0504823
l	0.0156723	0.0194529	0.346641	0.26585	0.121201	0.0430624	0.0502993	0.0183597	0.0187536	0.0123106	0.0223323	0.00203109	0.0640336
á	0.0514831	0.00758275	0.095528	0.0681333	0.0397474	0.0146008	0.0700464	0.0609222	0.084133	0.023958	0.0857103	0.0157735	0.382381
a	0.111498	0.0170385	0.238331	0.25372	0.113299	0.0594615	0.0624539	0.0161667	0.0166819	0.0112282	0.0149572	0.0138453	0.0713182
k	0.0175791	0.00675127	0.292518	0.194811	0.176759	0.102312	0.0265537	0.109364	0.0142077	0.0217652	0.00367484	0.00143908	0.0322641
ω	0.000639369	0.00259952	0.334674	0.263619	0.128945	0.00930933	0.0160846	0.0585586	0.0193906	0.102109	0.00460732	0.00176924	0.0576946
n	0.0049599	0.00163046	0.116764	0.168525	0.344035	0.0161935	0.0492825	0.10741	0.0670654	0.0660795	0.0120248	0.0025583	0.043472
ώ	0.0088072	0.00333458	0.174988	0.32856	0.17348	0.0239875	0.0830939	0.0567765	0.0584852	0.0165785	0.0224159	0.00149256	0.0480006
m	0.0106919	0.000206349	0.018186	0.202448	0.427769	0.0679336	0.205791	0.0163323	0.0146382	0.00986694	0.0148985	0.00527251	0.00596652
