 	le	terrier	du	blaireau	que	nous	avons	suivi	était	déjà	abandonné	</S>
k	0.393812	0.244277	0.201321	0.0432223	0.0607332	0.0218502	0.024183	0.00553388	0.00272434	0.00159233	0.000555736	0.000194975
ó	0.0336364	0.552559	0.111023	0.28067	0.00459659	0.00193428	0.00307638	0.00530785	0.00224862	0.0020851	0.00259198	0.000270071
l	0.00201385	0.0602126	0.098615	0.702774	0.0201297	0.00413847	0.00538025	0.0736547	0.0186153	0.00282736	0.00951348	0.00212517
ó	0.0163463	0.176829	0.220485	0.473445	0.0320074	0.00471258	0.0158587	0.0353049	0.00526305	0.00129178	0.00458535	0.0138709
y	0.0961051	0.123662	0.35344	0.230953	0.126014	0.00875094	0.0235232	0.0127089	0.00473026	0.00651325	0.00382578	0.00977377
e	0.203748	0.0947708	0.213043	0.23695	0.150607	0.0151344	0.0184832	0.0198743	0.0121344	0.00636758	0.00678364	0.0221036
e	0.241273	0.0126278	0.126535	0.0691781	0.357792	0.109749	0.0549197	0.00566318	0.00328815	0.0030903	0.00103863	0.0148458
t	0.0264339	0.0196627	0.076788	0.109242	0.250822	0.0302668	0.0559005	0.121734	0.0996405	0.0813259	0.0446766	0.0835072
í	0.00637007	0.0063787	0.0706858	0.125949	0.117308	0.00891323	0.0310093	0.415204	0.127055	0.032123	0.0302295	0.0287758
m	0.00797905	0.00815563	0.140596	0.0938455	0.126585	0.0269305	0.0539364	0.24733	0.0679616	0.0643804	0.046137	0.116162
í	0.0426194	0.00218004	0.0679104	0.0105862	0.320458	0.303093	0.162467	0.037159	0.0226287	0.0036446	0.00392772	0.0233265
b	0.005861	0.000470398	0.0497215	0.00439065	0.211045	0.249512	0.279136	0.105639	0.021668	0.00817614	0.00369581	0.060684
í	0.0106581	0.00218026	0.0307038	0.0151662	0.146403	0.448216	0.240368	0.0347481	0.034653	0.0192855	0.00176196	0.0158559
s	0.012687	0.0115435	0.0458051	0.00750367	0.0707851	0.51391	0.209214	0.0405137	0.0232919	0.00824062	0.00398728	0.0525187
í	0.0174416	0.00901852	0.0340621	0.00166121	0.175615	0.309691	0.352225	0.0129534	0.0160949	0.00665784	0.00141746	0.0631611
á	0.0055616	0.00374644	0.0268961	0.00159513	0.0868098	0.0656547	0.242037	0.183783	0.263446	0.0740466	0.00683869	0.0395842
d	0.00451997	0.00574813	0.00996245	0.00393546	0.00474537	0.00893343	0.0643164	0.49749	0.219967	0.132687	0.0243004	0.0233947
z	0.00469502	0.000602466	0.00800229	0.00042839	0.00620853	0.0185695	0.0794631	0.516388	0.201989	0.0898377	0.00911011	0.0647059
e	0.00845338	0.000740505	0.0148544	0.000210046	0.0150153	0.0184552	0.112366	0.434754	0.351643	0.0302369	0.00285517	0.010416
á	0.0183489	0.000425435	0.00805313	0.000249049	0.0269371	0.0927584	0.135892	0.290801	0.224713	0.161941	0.00623728	0.0336438
d	0.0148335	0.00237495	0.00555254	0.0054896	0.0134333	0.0166705	0.0546778	0.167643	0.261159	0.373703	0.0527745	0.0316872
z	0.00376406	0.000227457	0.00241281	0.000142267	0.00360465	0.0180127	0.0869118	0.213392	0.230249	0.188504	0.0276109	0.225169
e	0.00439503	0.000364049	0.00222429	0.000252173	0.00298483	0.00383697	0.0266408	0.157284	0.612239	0.085719	0.031893	0.072167
e	0.00545555	0.000181861	0.00396241	0.000219688	0.00542487	0.00318811	0.0156336	0.116973	0.248616	0.48966	0.0627683	0.047917
k	0.00120079	0.000175117	0.000871097	0.000668877	0.00170126	0.000591401	0.0072693	0.0580618	0.152279	0.399827	0.216819	0.160535
u	0.000385286	0.00121117	0.00273906	0.00481	0.000710243	0.000826074	0.00394104	0.188312	0.0618365	0.0933867	0.561075	0.0807671
m	0.000899758	0.000313486	0.00088744	0.00186945	0.000496824	0.0012729	0.00258634	0.0607402	0.0572327	0.123605	0.520381	0.229715
á	0.0134159	0.00864047	0.0200339	0.0035023	0.0125425	0.0155805	0.0374678	0.0779801	0.212744	0.191162	0.163722	0.243208
</S>	0.00665066	0.000328816	0.00230774	0.000672896	0.00350513	0.00304728	0.0185358	0.0122717	0.051068	0.220147	0.369934	0.311531
