 	les	femmes	ont	étalé	des	nattes	là	où	il	y	a	la	veillée	mortuaire	</S>
a	0.625256	0.289636	0.0109864	0.00024239	0.00250344	8.5496e-05	0.00159928	0.00331743	0.00859572	0.0115703	0.00495943	0.00863487	0.0320082	0.000390352	0.000214698
y	0.0251207	0.955495	0.00567353	0.000425608	0.000309051	3.35105e-05	8.65956e-05	0.0001004	9.67266e-05	0.000144122	0.00138195	0.00379125	0.00534608	0.00170593	0.000289205
ú	0.163895	0.821348	0.00179445	0.00704873	0.000228502	5.26895e-05	7.48103e-05	0.000190637	0.000150575	0.000121649	0.000861531	0.000904118	0.00047857	0.00111908	0.00173213
r	0.436717	0.461979	0.00187936	0.00178968	0.000506331	4.43058e-05	0.000402376	0.00133915	0.000421922	0.000334672	0.0123685	0.0221213	0.00764336	0.0016472	0.0508055
u	0.369878	0.525193	0.00876721	0.00181648	0.00248452	0.000378911	0.00260967	0.00473495	0.00563892	0.00103969	0.012765	0.0165252	0.0114616	0.0113387	0.0253681
á	0.331661	0.0486259	0.472589	0.0385148	0.0236143	0.00180036	0.0119817	0.00844193	0.0111193	0.0139916	0.00875563	0.00672179	0.00485656	0.000775387	0.0165506
m	0.0629581	0.027426	0.417987	0.283219	0.0186873	0.00800824	0.003743	0.00412993	0.00198221	0.00503215	0.0471751	0.0580009	0.0160681	0.0109755	0.0346082
i	0.0699049	0.0188266	0.12877	0.511003	0.121199	0.035534	0.00747494	0.0071828	0.00448597	0.0112787	0.0275589	0.0225983	0.00455347	0.00223697	0.0273929
p	0.0145928	0.00897788	0.0800202	0.61937	0.0529082	0.0576736	0.0157998	0.00774931	0.00360465	0.00758458	0.0308383	0.0509709	0.0156999	0.00828127	0.0259286
ε	0.00627404	0.00201687	0.0342907	0.674344	0.0348549	0.0844037	0.007823	0.00404325	0.00257589	0.00501356	0.0180234	0.0475908	0.0214355	0.0282056	0.0291048
l	0.0497024	0.00332853	0.158015	0.0715798	0.0603724	0.139718	0.0283859	0.0242261	0.0300498	0.0386959	0.0437805	0.0673654	0.0667662	0.0508771	0.167138
έ	0.0782119	0.00252767	0.097683	0.0391955	0.128887	0.0632054	0.0770755	0.0463206	0.079161	0.0512951	0.0376434	0.0714975	0.0866902	0.0528679	0.0877382
a	0.0302198	0.000758393	0.0167791	0.03933	0.289182	0.0778239	0.100414	0.0731137	0.0635086	0.0896899	0.035297	0.0639734	0.0513364	0.0187226	0.0498516
t	0.0115586	0.0019915	0.00541057	0.025525	0.138393	0.0682827	0.0981776	0.140314	0.0505195	0.0954177	0.123034	0.124082	0.0798251	0.0189863	0.0184828
ω	0.00189193	0.000343901	0.00375209	0.026991	0.0179115	0.59785	0.0221991	0.0754995	0.0343432	0.0335485	0.0255137	0.0306167	0.0493209	0.0442949	0.0359226
ώ	0.000475398	7.53596e-05	0.00265295	0.00759125	0.0534738	0.286364	0.0286086	0.049881	0.0241459	0.114519	0.0396427	0.141391	0.167487	0.0358155	0.0478758
ó	0.00156483	6.79339e-05	0.0020745	0.00232877	0.0367348	0.0245919	0.108693	0.135958	0.0957535	0.10586	0.201894	0.195301	0.0606987	0.00589595	0.0225825
e	0.00618427	0.0005857	0.000778334	0.00287884	0.00920134	0.0068533	0.00809217	0.039622	0.00700308	0.0325386	0.203565	0.290414	0.299054	0.04724	0.0459895
b	0.000794177	0.00134858	0.000923863	0.00507516	0.0126389	0.00806148	0.00399953	0.0285187	0.00529583	0.0154114	0.172066	0.299449	0.231775	0.0514771	0.163165
é	0.00117017	0.000432455	0.0003287	0.00129019	0.00745548	0.019227	0.00503246	0.0439153	0.0053938	0.0282053	0.0673216	0.166012	0.45611	0.0517239	0.146382
e	0.000427902	5.60557e-05	0.0014539	0.00869419	0.0220563	0.0452287	0.0257977	0.0976772	0.0329541	0.0674267	0.0786029	0.176095	0.19905	0.0239342	0.220546
y	0.00140076	5.49086e-05	0.00107575	0.000615731	0.00994646	0.0106192	0.0487985	0.0942402	0.0659829	0.0545034	0.130039	0.200975	0.168364	0.0582954	0.155089
á	0.00359942	0.000211582	0.000559069	0.00475824	0.00827154	0.00923657	0.0192909	0.050981	0.014557	0.0168358	0.0859069	0.181861	0.207209	0.136946	0.259776
n	0.00853583	0.000640436	0.00139268	0.00163306	0.00494019	0.000556651	0.00505354	0.012031	0.01722	0.0129069	0.0266256	0.0454661	0.165871	0.657163	0.0399636
d	0.0129044	0.00166137	0.000277667	0.00123614	0.00421994	0.000444836	0.00264578	0.0151907	0.00697014	0.00765025	0.0184279	0.0758937	0.1746	0.50253	0.175347
ω	0.00294301	0.00416034	0.000428075	0.00187804	0.001446	0.000730523	0.000747108	0.00277509	0.0022122	0.00135972	0.00354843	0.0124329	0.0325027	0.706477	0.226359
ω	0.000121122	0.00021584	8.93862e-05	0.000857475	0.0023522	0.00216162	0.00047171	0.00375871	0.00219734	0.00435629	0.00587072	0.0358383	0.0787827	0.470859	0.392068
</S>	0.00231967	0.000111933	0.000408455	0.000103855	0.00889056	0.00132477	0.017778	0.0204516	0.0170242	0.020831	0.0533416	0.11248	0.168655	0.0347678	0.541511
