 	des	troncs	d'	arbres	barrent	la	rivière	</S>
i	0.867011	0.110974	0.0138345	0.0054672	0.00187588	0.000716032	0.000101821	1.90076e-05
k	0.0768403	0.916353	0.00142722	0.00158889	0.0032072	0.000350785	0.000129447	0.000102953
y	0.0044415	0.993977	0.000264859	0.000344851	0.000436998	4.58417e-05	0.000372961	0.000115856
é	0.00830191	0.988255	0.00121946	0.000294702	0.000718659	0.00025743	0.000794195	0.000158331
n	0.0228312	0.959392	0.00356598	0.000289244	0.00333236	0.00213655	0.000722632	0.00772994
i	0.0410833	0.914575	0.00898381	0.00225823	0.0136348	0.0054286	0.00123799	0.0127986
b	0.143499	0.40854	0.235278	0.0818653	0.0700168	0.024341	0.00477127	0.0316884
á	0.396139	0.067267	0.122659	0.108577	0.0697471	0.0509274	0.0316243	0.153059
a	0.458495	0.00775653	0.320781	0.110873	0.0342409	0.0257243	0.00849379	0.0336355
b	0.0182837	0.0433361	0.100356	0.427704	0.335802	0.037784	0.00952786	0.0272056
v	0.0162623	0.0171527	0.0389222	0.404692	0.454371	0.047738	0.00621074	0.0146508
ú	0.0226757	0.0231263	0.0735582	0.425155	0.382622	0.0597725	0.00572859	0.00736233
a	0.0400296	0.00997065	0.151215	0.344896	0.306167	0.0928064	0.0100782	0.0448369
b	0.00851306	0.00104489	0.229345	0.174983	0.313409	0.228869	0.0180378	0.0257981
í	0.101197	0.00161546	0.157735	0.212886	0.237337	0.189739	0.0398732	0.0596176
i	0.0240222	0.000627983	0.259558	0.183553	0.235164	0.111865	0.0511254	0.134084
k	0.00417376	0.00645447	0.00899438	0.0375517	0.497937	0.201497	0.149954	0.0934364
a	0.000137801	0.00607335	0.00109348	0.0117975	0.791838	0.0427666	0.109653	0.0366401
n	0.000141708	0.00568221	0.00132065	0.0150584	0.593086	0.111927	0.239916	0.0328682
g	0.00145262	0.00893455	0.00473827	0.00738829	0.324197	0.248375	0.146958	0.257957
á	0.00551474	0.021066	0.0418538	0.0172855	0.0746914	0.114818	0.186959	0.537811
ω	0.00380737	0.00105255	0.0176415	0.00614879	0.0211488	0.288062	0.362943	0.299196
k	0.00191619	0.00341369	0.0167089	0.00428388	0.014492	0.17311	0.66655	0.119526
y	0.000303719	0.0173774	0.00186004	0.00951354	0.207097	0.0813175	0.590124	0.0924078
ε	0.00122129	0.00988699	0.00244754	0.00402733	0.0583191	0.0885763	0.715793	0.119728
s	0.000335484	0.000169823	0.0030908	0.00601551	0.0404603	0.229258	0.312564	0.408106
í	0.00043661	0.00417122	0.00287321	0.00184328	0.0467975	0.15245	0.450432	0.340996
</S>	0.00431228	0.000877593	0.0244199	0.00410232	0.0146763	0.110748	0.204373	0.636491
