 	ils	sont	tombés	d'	accord	que	celui	qui	arriverait	à	faire	ôter	son	manteau	au	voyageur	serait	vu	comme	le	plus	fort	</S>
á	0.893264	0.0541766	0.000631952	0.00921138	0.00144456	0.00442578	0.000984999	0.000873949	0.000828741	0.00354151	0.0137035	0.00269894	0.00719643	0.00101258	0.00278325	0.000583741	0.000377438	0.000315845	0.000214367	0.000124658	0.000251815	0.00131291	4.06516e-05
b	0.105815	0.508854	0.13782	0.0678305	0.00436269	0.0193347	0.0132981	0.0155076	0.00883441	0.0272268	0.016356	0.0264162	0.0101918	0.00295369	0.0085731	0.00924506	0.00920457	0.00283968	0.00121046	0.000621856	0.000498002	0.00214768	0.000858109
ó	0.0966562	0.0519089	0.121279	0.129413	0.119095	0.0366694	0.0232733	0.0183448	0.106183	0.0465942	0.0434589	0.0166921	0.0154689	0.00790199	0.0441498	0.0495303	0.012642	0.0065691	0.0168174	0.00470108	0.00367758	0.000670892	0.0283028
n	0.0202759	0.191115	0.180311	0.0672633	0.0140629	0.0112321	0.030561	0.024746	0.0554888	0.0322694	0.0354718	0.0165542	0.00948501	0.0177946	0.0490713	0.0868542	0.0293106	0.00403774	0.0180174	0.0176623	0.00966036	0.00884665	0.0699085
d	0.0241784	0.202119	0.257361	0.106773	0.0236303	0.0212486	0.0113436	0.0233002	0.0232723	0.0255845	0.0234844	0.0102111	0.016429	0.0146211	0.0280221	0.0190605	0.0207974	0.00564839	0.0281781	0.0220674	0.0193692	0.00565794	0.0676423
í	0.00255451	0.0981612	0.735512	0.0318654	0.00653206	0.00858451	0.0070403	0.0162711	0.00436442	0.0101452	0.00635671	0.00611744	0.00520613	0.00734415	0.0071105	0.00348454	0.0105807	0.000887946	0.0060653	0.00557369	0.00417769	0.00072314	0.0153413
n	0.0899679	0.142212	0.0513236	0.489446	0.114028	0.0380906	0.00604881	0.0110235	0.00620614	0.00854871	0.0066453	0.00595484	0.00753534	0.00258912	0.00322551	0.000783623	0.00134172	0.00199187	0.00218761	0.0016497	0.00332127	0.00110822	0.00477058
í	0.00309256	0.011278	0.505093	0.0861775	0.287676	0.0186728	0.00437758	0.0170002	0.00194339	0.00671319	0.00335603	0.0194436	0.00698669	0.00408092	0.00381027	0.000201667	0.00793	0.00139556	0.00267744	0.00192395	0.00223807	0.000473094	0.00345831
w	0.014852	0.081391	0.121078	0.383819	0.179731	0.0560032	0.0275715	0.0411229	0.00816554	0.0112459	0.0077658	0.0172922	0.00779356	0.00636343	0.00685407	0.00202703	0.00416103	0.00333154	0.00308554	0.00294608	0.00275676	0.000710337	0.00993219
á	0.0177869	0.0393683	0.0312935	0.199944	0.0825786	0.126504	0.0478351	0.0833297	0.0227852	0.0376338	0.035269	0.0156565	0.0364822	0.0146957	0.0253522	0.0113171	0.0114429	0.0425469	0.0408484	0.0251088	0.0209784	0.00558258	0.0256604
r	0.0531715	0.0126323	0.0099374	0.130863	0.199697	0.0811766	0.0465332	0.0386578	0.0431737	0.0203533	0.0177242	0.0130413	0.0310018	0.0159566	0.0136103	0.00865025	0.0219521	0.0485054	0.0291573	0.0209197	0.0232977	0.0241486	0.0958388
