 	je	prie	dieu	pour	qu'	il	sauve	mon	âme	</S>
n	0.601738	0.0804441	0.21468	0.0450327	0.0237268	0.0157755	0.00200518	0.015415	0.00062998	0.000552892
g	0.834735	0.0590975	0.101548	0.000366599	0.000295111	0.000144952	3.25451e-05	0.00371971	4.88357e-05	1.2546e-05
á	0.731217	0.0372123	0.23069	0.000141063	0.000203182	0.000161604	2.79447e-05	0.000284891	5.24912e-05	1.01649e-05
l	0.251774	0.247501	0.0433444	0.0533886	0.0348957	0.0198637	0.00490203	0.129789	0.0100096	0.204532
í	0.289156	0.300253	0.0552922	0.033044	0.0356587	0.0329903	0.0123306	0.0871779	0.0091313	0.144966
i	0.105472	0.228888	0.0904202	0.0754121	0.0649928	0.0440104	0.0115647	0.218008	0.0147681	0.146464
s	0.00732868	0.359608	0.41559	0.0111174	0.00692773	0.0191475	0.111715	0.000518134	0.0368457	0.031202
ε	0.00319477	0.601033	0.322372	0.00411568	0.00182429	0.00297926	0.0178672	0.000289769	0.0311313	0.0151931
m	0.0032112	0.464711	0.188125	0.0284475	0.0172432	0.0200404	0.0113356	0.00598822	0.0288509	0.232047
έ	0.00343929	0.381322	0.218623	0.216391	0.1053	0.0277935	0.00209701	0.00203462	0.0049922	0.0380067
n	0.00458423	0.0697753	0.284062	0.341232	0.148312	0.0827419	0.0184487	0.00523878	0.00715116	0.0384536
z	0.0218144	0.101121	0.666027	0.102539	0.0297419	0.00786152	0.000651352	0.043437	0.00121719	0.0255896
a	0.0309299	0.0526292	0.807216	0.0275521	0.0225284	0.00537597	0.00105002	0.0408458	0.000845969	0.0110263
m	0.00280525	0.0389205	0.0716104	0.430194	0.180245	0.119713	0.0254437	0.0178227	0.0243755	0.0888703
b	0.00117305	0.0144508	0.0209873	0.696245	0.134409	0.0946649	0.00108931	0.00119112	0.00318227	0.032608
é	0.00804096	0.0166124	0.133693	0.348783	0.276061	0.163912	0.00549399	0.0100013	0.00844429	0.0289576
b	0.00123323	0.00524031	0.00402013	0.311209	0.271895	0.290231	0.0464587	0.00349951	0.00953903	0.0566736
a	0.00519345	0.00225032	0.00261359	0.214114	0.307406	0.374559	0.0423807	0.00156706	0.0137346	0.0361812
á	0.00275699	0.00277252	0.00310705	0.205775	0.252776	0.223533	0.143593	0.0301698	0.0186587	0.116858
w	0.00235711	0.0064697	0.00148298	0.0783281	0.197542	0.296655	0.313767	0.0271346	0.0228325	0.0534312
a	0.00155263	0.00411096	0.00133631	0.017304	0.147367	0.227069	0.481823	0.0399379	0.02925	0.0502485
l	0.000570342	0.0011264	0.000580024	0.0447137	0.153125	0.175845	0.435367	0.0928263	0.035574	0.0602716
á	0.00256507	0.00291183	0.00131553	0.0275047	0.0849461	0.133652	0.459933	0.0770972	0.0285718	0.181502
a	0.00257451	0.00470292	0.00105588	0.0155307	0.0443544	0.06053	0.163336	0.571724	0.0700134	0.0661783
b	0.00156271	0.0057797	0.00152661	0.00301034	0.0033805	0.0162879	0.570197	0.0664425	0.312638	0.0191749
í	9.45852e-05	0.0012891	0.000937407	0.00929313	0.0142897	0.0492671	0.558855	0.015231	0.321033	0.0297094
í	0.000168109	0.000915392	0.000518472	0.00248122	0.0103455	0.0238488	0.682902	0.0171798	0.103773	0.157868
s	0.000121335	0.000529059	0.000133292	0.00456131	0.0390327	0.0334382	0.180692	0.524087	0.0757403	0.141665
á	0.000211458	0.00130493	0.000348063	0.00206984	0.00685199	0.0101877	0.187532	0.176461	0.184796	0.430237
o	0.000343937	0.000840987	0.000298211	0.0066732	0.0114796	0.00619583	0.0158681	0.674264	0.0878752	0.196161
l	0.000117325	0.00147209	0.000933754	0.000991272	0.000765279	0.00182105	0.03267	0.0147805	0.898312	0.0481366
í	0.000488374	0.00422296	0.00166212	0.00185327	0.00480976	0.00975167	0.0928902	0.0789532	0.694269	0.111099
m	4.92013e-05	0.000482864	0.000142449	0.00144128	0.00850256	0.00810242	0.234803	0.154842	0.437031	0.154603
i	4.49506e-05	0.00140496	0.000336132	0.00652354	0.00921305	0.0182272	0.0245281	0.0628246	0.573082	0.303815
m	0.000338224	0.00180207	0.000601013	0.0104819	0.0301744	0.0211868	0.0454955	0.176336	0.0709053	0.642679
á	0.000201257	0.0187633	0.00284434	0.15625	0.0800761	0.0470941	0.00702668	0.0539078	0.288151	0.345686
n	0.000696595	0.00427034	0.00142736	0.0279057	0.0292489	0.0134897	0.00635596	0.545565	0.0500506	0.32099
g	0.00111312	0.00206059	0.00331305	0.00449763	0.00410807	0.00195619	0.0011715	0.77179	0.017398	0.192592
á	0.00359643	0.00313425	0.0109676	0.00277612	0.00198387	0.00132173	0.000923746	0.547003	0.0263634	0.40193
</S>	0.00013989	0.0015386	0.000583217	0.0154866	0.0117759	0.00868854	0.00554019	0.220158	0.0544385	0.68165
