 	il	a	cassé	sa	bride	</S>
w	0.969997	0.024483	0.00283486	0.0019121	0.000713754	5.88154e-05
a	0.936241	0.0167991	0.000816627	0.0445297	0.00148295	0.000130415
á	0.343506	0.601903	0.0323609	0.00862509	0.00100807	0.0125969
m	0.0486663	0.464138	0.441253	0.0226741	0.00753502	0.0157333
i	0.0139785	0.385185	0.181139	0.141557	0.0104028	0.267738
k	0.00192619	0.0797559	0.8708	0.0139919	0.00105287	0.0324731
y	0.000492325	0.0310213	0.92856	0.0189708	0.000549188	0.0204061
é	0.00120815	0.113187	0.843968	0.0141202	0.00270328	0.0248126
n	0.0130363	0.221257	0.352811	0.185176	0.0287073	0.199012
á	0.0558751	0.0477295	0.261118	0.506934	0.0340779	0.0942648
s	0.0109624	0.0170218	0.0329443	0.357854	0.542011	0.039207
i	0.000321406	0.000346551	0.00151352	0.0137562	0.968286	0.0157767
n	0.000715961	0.00416951	0.0033613	0.0498044	0.453616	0.488333
g	0.000322034	0.000388936	0.00138089	0.00526563	0.952019	0.0406238
a	0.00121662	0.000466551	0.00367293	0.0144544	0.930786	0.0494037
</S>	0.000450885	0.00801977	0.0158526	0.106587	0.130741	0.738349
