 	l'	eau	du	ruisseau	a	troué	le	barrage	que	tu	as	construit	</S>
o	0.493667	0.360808	0.0145456	0.015771	0.0199404	0.00237901	0.0141606	0.062543	0.0105265	0.00243101	0.00295661	0.000203564	6.75648e-05
k	0.145129	0.273241	0.191653	0.143805	0.0159587	0.0208983	0.0141202	0.0100485	0.0153356	0.0299372	0.0543905	0.0595977	0.0258852
y	0.0309909	0.00371633	0.0534047	0.451674	0.0163493	0.0199056	0.120455	0.0906805	0.0387673	0.00845863	0.0138891	0.128764	0.0229444
ε	0.0270266	0.0110864	0.135491	0.527986	0.0311731	0.0307062	0.0627353	0.0472837	0.0252649	0.018905	0.0306908	0.0424881	0.00916276
s	0.175694	0.0126471	0.224349	0.30285	0.0601012	0.0155954	0.046389	0.0365132	0.0241894	0.00688164	0.0287305	0.0146641	0.0513957
í	0.13348	0.00802083	0.1898	0.132763	0.0424458	0.0257061	0.0680581	0.0636027	0.0310884	0.0192777	0.111886	0.018475	0.155397
m	0.0649025	0.232122	0.229327	0.100787	0.131793	0.0849129	0.0246905	0.0183003	0.0315615	0.0168334	0.0152572	0.00378337	0.0457289
ó	0.339017	0.0942715	0.151935	0.0577351	0.145599	0.119017	0.0165214	0.0122375	0.0322144	0.00335869	0.00826318	0.000431097	0.0193992
ó	0.189856	0.0994786	0.142813	0.162021	0.110895	0.0431041	0.0408478	0.0601648	0.0617614	0.0250625	0.00883188	0.00867028	0.0464936
k	0.00470903	0.00563904	0.141115	0.164688	0.125256	0.469087	0.0480822	0.0116099	0.00582224	0.00418486	0.00229576	0.00741759	0.0100937
a	0.00266165	0.000289902	0.0940274	0.18141	0.108073	0.292931	0.148931	0.123468	0.0131624	0.00190036	0.00155482	0.00560713	0.0259823
n	0.00199637	0.00163069	0.159719	0.261599	0.0998844	0.191066	0.115831	0.0898336	0.00932804	0.00302543	0.00109334	0.0099786	0.0550152
g	0.0127334	0.00204629	0.122926	0.144138	0.18351	0.129365	0.152135	0.149614	0.0344361	0.00572536	0.00349775	0.00435137	0.0555209
í	0.069408	0.0099196	0.144074	0.188159	0.158672	0.0697871	0.127592	0.13103	0.0495769	0.00362058	0.00479855	0.0025719	0.0407896
n	0.00585904	0.00281075	0.0233021	0.0225402	0.202872	0.111653	0.221061	0.169038	0.164566	0.0473168	0.0213021	0.0017785	0.00590147
ω	0.0065669	0.00424486	0.0134919	0.0406548	0.0707012	0.0297219	0.14235	0.0563212	0.158753	0.293899	0.137755	0.0144616	0.0310773
ó	0.00115021	0.00288164	0.0182248	0.033969	0.124867	0.0981587	0.206661	0.126187	0.180949	0.129824	0.0366543	0.0161729	0.0243016
m	0.0153373	0.00306959	0.0453999	0.038428	0.0869861	0.27928	0.230861	0.113408	0.0558741	0.0373604	0.0150363	0.04612	0.03284
i	0.0109181	0.0286966	0.0309845	0.02401	0.10647	0.308484	0.16209	0.108405	0.0694758	0.0140925	0.00583883	0.00494626	0.125588
k	0.00241537	0.000855469	0.0189008	0.025546	0.0348186	0.314732	0.157941	0.133302	0.0505681	0.0223761	0.00613751	0.0604608	0.171946
ú	0.000185638	7.43385e-05	0.0085783	0.0303597	0.0108687	0.0509886	0.165215	0.217674	0.0192297	0.00893839	0.00194749	0.325934	0.160006
b	0.00196824	0.00021364	0.00965694	0.0496255	0.0198262	0.0532707	0.265485	0.377252	0.0227055	0.00853466	0.00387714	0.055117	0.132467
h	0.0249891	0.00116889	0.0161701	0.0133232	0.0227187	0.0264042	0.174422	0.37743	0.0563104	0.0419478	0.169111	0.0285454	0.0474593
a	0.000481911	1.99586e-05	0.00228791	0.00854059	0.0103233	0.0124878	0.177894	0.579643	0.0534817	0.00867396	0.0222222	0.0197045	0.104239
</S>	0.00122936	0.000179618	0.00402347	0.00450975	0.0137847	0.00986027	0.0575078	0.0674039	0.145481	0.111632	0.231609	0.0594831	0.293296
