 	ils	ont	sorti	les	veuves	de	leur	deuil	aujourd'	hui	</S>
b	0.841381	0.0116727	0.00300134	0.026513	0.0065263	0.0572536	0.0164448	0.00868251	0.00511893	0.0228858	0.000520103
á	0.960521	0.0208407	0.00167595	0.0126472	0.000160966	0.00165736	0.00123095	0.000456322	0.000756846	3.78617e-05	1.4828e-05
a	0.984201	0.0105845	0.00250923	0.000891763	7.27381e-05	0.000240353	0.00090823	0.000101887	4.53245e-05	1.59006e-05	0.000428923
á	0.123365	0.546698	0.16977	0.0388054	0.00898397	0.00963146	0.0121955	0.00636779	0.00267608	0.00099204	0.0805148
p	0.00252199	0.251285	0.608782	0.053494	0.0538858	0.0072895	0.00589408	0.00892316	0.00118134	0.000431509	0.00631157
f	0.000640169	0.0447464	0.715826	0.0497485	0.169712	0.00809958	0.0023945	0.00281493	0.000732892	0.000287459	0.00499782
ú	0.000447107	0.070529	0.724696	0.0354193	0.165477	0.002429	0.000253419	0.000366336	0.000114266	4.61403e-05	0.000222136
m	0.00202584	0.03906	0.251367	0.375787	0.282334	0.0198819	0.00437588	0.00328761	0.00173098	0.00403521	0.0161144
b	0.00212845	0.0221444	0.0564058	0.337659	0.415464	0.101249	0.0468086	0.00554994	0.00383031	0.000607149	0.00815349
u	0.0020151	0.0469751	0.0714518	0.315265	0.282488	0.195374	0.0423293	0.0118019	0.0101333	0.00213655	0.0200307
s	0.000449973	0.0343709	0.0447472	0.370963	0.268987	0.207108	0.044885	0.0137373	0.00706233	0.00197755	0.0057119
u	1.12339e-05	0.000784966	0.0171136	0.105003	0.68553	0.128379	0.0463978	0.00988166	0.00170325	0.000580686	0.00461519
a	1.69789e-05	0.00206802	0.00645159	0.115162	0.365497	0.323414	0.108149	0.0600022	0.0050243	0.000247764	0.013968
k	8.39725e-05	0.0168761	0.0342397	0.0710772	0.155471	0.3245	0.193246	0.168146	0.019478	0.00524303	0.0116389
w	0.000169775	0.00257849	0.0265207	0.0328266	0.20046	0.244466	0.0746568	0.222445	0.0639988	0.106879	0.0249992
é	0.00108866	0.00241832	0.0326181	0.0267623	0.221101	0.151997	0.115264	0.0702772	0.053208	0.251655	0.0736109
é	7.14713e-05	0.00108894	0.0106228	0.0121712	0.0799371	0.0998874	0.113192	0.071801	0.0494401	0.342952	0.218836
l	2.8782e-05	0.00856257	0.00376157	0.0147169	0.00700596	0.0895108	0.284648	0.276929	0.188977	0.035524	0.0903349
é	0.000232943	0.00969358	0.00837628	0.0159605	0.00825682	0.0596902	0.268193	0.310846	0.0876915	0.00385468	0.227205
p	0.000354077	0.00175918	0.00277669	0.0091489	0.00877159	0.0798157	0.223816	0.40381	0.169309	0.00821049	0.0922275
á	7.59287e-05	0.000460632	0.00503536	0.00304884	0.0100634	0.0152317	0.0247725	0.149529	0.170865	0.598376	0.0225407
b	3.49773e-05	0.000158331	0.00237995	0.00115196	0.0273157	0.00989999	0.0203332	0.0239605	0.0516658	0.81302	0.0500793
h	3.64106e-05	0.000149766	0.00219299	0.00181934	0.00227751	0.0256575	0.0490692	0.190662	0.249399	0.302433	0.176303
a	1.61487e-05	0.000749926	0.00550139	0.00708842	0.0211578	0.0570367	0.0962367	0.170295	0.0995114	0.122894	0.419513
</S>	3.15607e-05	0.000758691	0.00107353	0.00545706	0.00145537	0.0368021	0.0838023	0.158213	0.353772	0.0415904	0.317044
