 	selon	moi	nous	devrions	finir	le	travail	aujourd'	hui	même	</S>
m	0.885418	0.086622	0.000697101	0.0142638	0.00196935	0.0043891	0.0025509	0.00106252	0.000573148	0.00228103	0.000173111
ó	0.295237	0.0545231	0.0891626	0.425518	0.0673997	0.0307695	0.00858806	0.000745023	0.00148403	0.0009529	0.0256197
n	0.848946	0.129243	0.0124507	0.00237712	0.00274076	0.00249858	0.00135993	8.2058e-05	1.14343e-05	5.44891e-05	0.000236277
g	0.325089	0.603055	0.0313093	0.0310683	0.00123189	0.00204396	0.000686158	0.000187787	3.47054e-05	0.000133468	0.00516033
á	0.296466	0.66485	0.00811436	0.0212477	0.00200976	0.00266115	0.000740191	0.00026876	1.88947e-05	6.06258e-05	0.00356294
k	0.38366	0.291858	0.0246686	0.0316021	0.0408193	0.045606	0.0128618	0.0409646	0.0247246	0.0248173	0.0784177
á	0.263778	0.184113	0.0235188	0.034455	0.0785255	0.0729509	0.0209464	0.114009	0.0583226	0.0700801	0.0792999
a	0.0205731	0.0541993	0.347659	0.159262	0.0625992	0.02085	0.0201148	0.0411405	0.0691958	0.0412311	0.163175
l	0.0236024	0.0547119	0.0632033	0.286346	0.290049	0.142556	0.0359089	0.0380004	0.025058	0.00659216	0.0339715
é	0.0101855	0.0352033	0.0190742	0.330145	0.355214	0.0996306	0.041273	0.0187059	0.00717444	0.00450971	0.0788848
s	0.0173662	0.0165276	0.0274942	0.317894	0.375395	0.160939	0.0415425	0.0141242	0.00337244	0.00505294	0.020292
í	0.00349436	0.004056	0.00545716	0.457611	0.44601	0.0572548	0.0193844	0.000719099	0.00157566	0.000403524	0.0040342
í	0.00329385	0.00943145	0.100405	0.137191	0.397321	0.166305	0.0622092	0.024964	0.023797	0.00949876	0.0655837
s	0.00155174	0.00484701	0.0675273	0.0906801	0.224315	0.329327	0.16089	0.0700439	0.0246376	0.00540851	0.020772
a	0.000800415	0.00105112	0.00233542	0.1321	0.460634	0.160776	0.205045	0.00856885	0.00805739	0.00236979	0.0182618
i	0.00127261	0.00189697	0.0446523	0.0679357	0.220577	0.237957	0.215227	0.0981433	0.0568823	0.0139679	0.0414876
s	0.00222471	0.000801246	0.0033516	0.0119782	0.104534	0.219182	0.356702	0.204579	0.0552789	0.0220282	0.0193396
á	0.0020292	0.000545274	0.00124575	0.0572985	0.250335	0.133609	0.461257	0.0305906	0.0306677	0.0122515	0.0201704
l	0.0022552	0.00211174	0.0403298	0.0340275	0.0452034	0.0791071	0.179393	0.258009	0.248133	0.0568488	0.0545822
a	0.00237914	0.00158503	0.00823306	0.0176338	0.0919575	0.264896	0.284516	0.165074	0.0339592	0.0145969	0.115169
p	0.000821617	0.000430116	0.00166201	0.00370718	0.0236897	0.064851	0.200993	0.483361	0.141576	0.0414298	0.0374781
á	0.00120823	0.000161922	0.000236815	0.000116638	0.00269981	0.0145663	0.0263834	0.525174	0.370346	0.042834	0.0162728
b	0.000513034	0.000163321	0.00294064	0.000612663	0.00665767	0.00793936	0.0490124	0.200001	0.646586	0.0374672	0.0481072
h	0.00028737	6.69379e-05	0.000521694	5.41215e-05	0.00389818	0.0206492	0.0317119	0.42397	0.32174	0.0895763	0.107524
a	0.00871147	0.00166223	0.000932147	0.000236968	0.0110638	0.0315523	0.0413403	0.26316	0.259661	0.0696489	0.312031
l	0.00186908	0.000248523	0.000241415	0.000433355	0.0020486	0.0286637	0.0115581	0.209442	0.225583	0.269281	0.250632
a	0.00486496	0.00163056	0.00099252	0.00422199	0.0353324	0.0577355	0.0562241	0.0770725	0.234803	0.153672	0.37345
p	0.00191148	0.00219268	0.0149625	0.00205412	0.00404978	0.0138547	0.00643535	0.100063	0.241425	0.25465	0.358402
á	0.00106243	0.000106902	0.00027257	0.000150623	0.000885706	0.00434282	0.00389623	0.142872	0.494508	0.303156	0.048747
b	0.000919363	0.000350796	0.00399367	0.000563801	0.00152925	0.00330521	0.0079327	0.0542009	0.548633	0.275544	0.103027
h	7.37591e-05	1.66455e-05	7.85583e-05	2.68187e-05	0.000281898	0.00197365	0.00145302	0.0555437	0.183311	0.607663	0.149579
a	0.0018082	0.000995288	0.000488179	0.000210322	0.0034585	0.0170678	0.00987812	0.166773	0.196105	0.248887	0.354329
</S>	0.00366515	0.000553311	0.000665475	0.000652493	0.0021131	0.0170019	0.00480528	0.0495676	0.0777528	0.370398	0.472825
