 	il	est	arrivé	hier	</S>
w	0.712892	0.234756	0.0435983	0.00830752	0.000446778
a	0.868528	0.112546	0.0151674	0.00355367	0.000204551
á	0.190383	0.528663	0.237359	0.00511577	0.0384792
p	0.0556279	0.485405	0.374645	0.0171123	0.0672102
f	0.0082388	0.22959	0.282668	0.135361	0.344142
e	0.0285767	0.354778	0.438425	0.1099	0.0683211
l	0.0707496	0.104232	0.309086	0.12007	0.395862
a	0.0719562	0.120164	0.417758	0.085633	0.304489
a	0.285848	0.179516	0.251952	0.114976	0.167708
p	0.00713953	0.0564605	0.148171	0.655564	0.132665
ó	0.00107039	0.0141821	0.0170322	0.939212	0.0285036
a	0.00143489	0.0276507	0.0614539	0.841866	0.0675947
</S>	0.011869	0.0320738	0.250042	0.141311	0.564704
