 	la	maison	est	entourée	d'	herbes	</S>
n	0.51318	0.417869	0.0437381	0.00508792	0.0171142	0.00200483	0.00100584
d	0.056767	0.941914	0.00111574	3.1445e-05	0.000134691	2.89455e-05	7.94603e-06
é	0.0150967	0.983433	0.00105542	0.00013512	0.000165757	9.42168e-05	1.92869e-05
e	0.0889927	0.830209	0.0472672	0.00759926	0.00769293	0.00791327	0.0103256
é	0.334173	0.292488	0.292563	0.0146338	0.0266972	0.00257293	0.0368715
d	0.171561	0.0573671	0.566225	0.122145	0.0516852	0.00869801	0.0223192
i	0.121345	0.0167004	0.455058	0.204446	0.0727441	0.00395562	0.125752
d	0.0611122	0.0124875	0.284184	0.294656	0.228008	0.0324721	0.08708
z	0.0694019	0.0523631	0.294173	0.353111	0.0612356	0.0291302	0.140585
έ	0.0478342	0.0319156	0.131014	0.714104	0.015744	0.0076852	0.0517033
l	0.00729214	0.00169076	0.102152	0.523978	0.0811042	0.0505435	0.233239
ε	0.0512584	0.0163628	0.21651	0.272259	0.0843851	0.0856536	0.273571
d	0.0275669	0.00311809	0.303797	0.351351	0.202628	0.0493976	0.0621419
z	0.0153694	0.000821252	0.0318225	0.451049	0.0402315	0.153012	0.307694
έ	0.00820071	0.00158296	0.0607851	0.804333	0.0218975	0.0790079	0.0241931
l	0.000766362	0.000123676	0.0275017	0.251227	0.308803	0.233339	0.178239
ε	0.00302544	0.000503178	0.103836	0.165505	0.17161	0.30459	0.250931
ó	0.00473484	0.000180529	0.0662664	0.0812987	0.516388	0.15742	0.173712
p	0.0301238	0.00121441	0.140043	0.154911	0.385465	0.226162	0.0620811
f	0.00122074	0.000401152	0.0341773	0.180488	0.160671	0.545455	0.0775868
ú	0.00154274	0.000238054	0.00883361	0.206071	0.0557836	0.63609	0.0914408
l	0.00261371	0.000152833	0.00583527	0.106529	0.107374	0.583187	0.194309
ú	0.00287544	0.000517292	0.0106548	0.0663601	0.169617	0.556697	0.193278
</S>	0.00450805	0.00016865	0.0250382	0.0227755	0.252288	0.0616395	0.633582
