 	notre	maison	s'	est	écroulée	pendant	la	tempête	</S>
n	0.0762484	0.847843	0.0626032	0.00612732	0.00110067	0.00416657	0.00168109	0.000145071	8.44524e-05
d	0.0256334	0.973516	0.000464765	0.000184724	3.17696e-06	4.12298e-05	9.14199e-05	5.14726e-05	1.38949e-05
é	0.0431429	0.949916	0.000791641	0.00260271	0.000657866	0.000432082	0.000532086	0.00135142	0.000573419
e	0.0894188	0.854154	0.00847252	0.0118253	0.00259685	0.0028517	0.00428201	0.00530527	0.021094
y	0.260509	0.172769	0.413899	0.101743	0.00799027	0.014919	0.00817117	0.00114599	0.0188543
á	0.279062	0.183405	0.237638	0.105571	0.0238941	0.0412698	0.0348059	0.00503915	0.0893154
b	0.945469	0.0152045	0.014918	0.0141522	0.00509857	0.00148479	0.0016703	0.000549763	0.00145273
í	0.962159	0.0112957	0.0211193	0.00229255	0.000367035	0.000714039	0.000644513	0.000589774	0.000818639
s	0.933058	0.0107667	0.0418298	0.00482226	0.000633622	0.00174187	0.00191746	0.000341914	0.00488863
í	0.550273	0.069132	0.276616	0.0433055	0.000679499	0.0144652	0.0203181	0.000963523	0.0242473
é	0.0104456	0.00939988	0.489127	0.412684	0.0246806	0.0215077	0.0149144	0.00169674	0.0155445
p	0.00670793	0.00850888	0.138049	0.520708	0.226442	0.0379148	0.0196707	0.00568816	0.0363104
f	0.000488798	0.000272269	0.0124244	0.0543901	0.897714	0.0137069	0.00453062	0.00873914	0.00773394
u	0.00592976	0.00156365	0.0201051	0.0786163	0.806765	0.0492749	0.0148671	0.00832912	0.0145494
u	0.0355297	0.00466925	0.0262116	0.0733649	0.636468	0.0865135	0.0392862	0.0580152	0.0399414
g	0.00283501	0.000667972	0.0192063	0.0928477	0.130179	0.505638	0.188039	0.0239056	0.0366808
h	0.0134356	0.000904994	0.0111904	0.0662381	0.213011	0.300376	0.215879	0.0582994	0.120665
u	0.0101657	0.00462227	0.00988873	0.0474958	0.047071	0.273296	0.419695	0.121651	0.0661137
m	0.000175	9.04329e-05	0.0016426	0.0206808	0.0454728	0.386606	0.376226	0.117772	0.0513346
é	0.00163101	0.0001374	0.00273621	0.0184533	0.0369028	0.392636	0.170223	0.0372925	0.339988
p	0.00288258	0.000939509	0.00479583	0.0125878	0.019905	0.123149	0.158718	0.597014	0.0800086
f	0.00122732	0.000147506	0.00167063	0.00425913	0.0534695	0.0289618	0.0550488	0.814255	0.0409608
u	0.00032893	0.000352522	0.00162539	0.00572685	0.110269	0.0643477	0.0572954	0.693761	0.0662931
b	0.001053	0.000250202	0.000904115	0.00756337	0.0614454	0.104188	0.0895605	0.613462	0.121574
h	0.00825052	0.000261717	0.00114137	0.00705747	0.0258766	0.174835	0.22657	0.252289	0.303718
á	0.00283168	0.00218382	0.00299998	0.00501759	0.00542166	0.241777	0.320591	0.228278	0.1909
</S>	0.000808509	0.000924514	0.00622049	0.00750916	0.00260907	0.109085	0.248326	0.112799	0.511718
