 	on	tisse	la	hotte	à	l'	aide	de	la	liane	lekaa	</S>
b	0.866016	0.0253016	0.0309493	0.00265746	0.012431	0.0116985	0.0117466	0.0171019	0.0140492	0.00656345	0.00127265	0.000212124
á	0.493665	0.0380435	0.135802	0.0865476	0.0583798	0.031038	0.0700023	0.0498856	0.0251837	0.00979149	0.000433383	0.00122759
a	0.849801	0.052894	0.0147877	0.0108935	0.00865438	0.00630373	0.0166535	0.0221825	0.0142594	0.00223288	5.19156e-05	0.00128477
t	0.361656	0.495806	0.0529733	0.00793582	0.0140119	0.00267236	0.00246077	0.00239204	0.00454708	0.00101087	0.00045831	0.0540755
ó	0.0127835	0.748203	0.145408	0.0248129	0.0163529	0.00676976	0.00414216	0.00734758	0.00594674	0.00330463	0.00624661	0.0186824
n	0.0376139	0.689469	0.157499	0.0162072	0.0098129	0.005325	0.00229823	0.00462924	0.00725208	0.00273374	0.00136215	0.0657974
g	0.188969	0.361941	0.268647	0.0274108	0.0345702	0.015756	0.00918006	0.0165308	0.0203713	0.00755435	0.00912168	0.0399472
á	0.190645	0.445118	0.240933	0.0112897	0.0088107	0.0101189	0.0076244	0.0168711	0.0171546	0.0191179	0.000484534	0.0318318
m	0.0839888	0.077909	0.501647	0.177306	0.0324058	0.0215618	0.0284033	0.0268558	0.0320073	0.00592338	0.00156264	0.0104294
ú	0.0136851	0.00836808	0.10503	0.747771	0.0317235	0.0117949	0.0465226	0.0127559	0.0135198	0.0029421	7.72664e-05	0.00580987
a	0.00182381	0.000415018	0.0389826	0.921277	0.014941	0.00633717	0.00574973	0.003847	0.00529894	0.000434887	7.97149e-05	0.000812639
m	0.00746204	0.00525003	0.370161	0.123078	0.214213	0.0667387	0.0459093	0.0538142	0.0406157	0.0248733	0.0134698	0.0344152
ó	0.000909039	0.00264523	0.0411233	0.288972	0.112275	0.0794328	0.100709	0.0551801	0.0817788	0.0135871	0.000716136	0.222672
l	0.00956935	0.0130872	0.104032	0.0915601	0.0860461	0.0930371	0.0393662	0.0856207	0.0888736	0.269088	0.0785415	0.0411779
e	0.00777949	0.0128454	0.0301915	0.0465039	0.0667329	0.107677	0.0464263	0.086354	0.134739	0.13574	0.0557072	0.269304
k	0.000599878	0.00615594	0.0339902	0.0266771	0.0666278	0.113159	0.0510551	0.108992	0.125435	0.299525	0.0614587	0.106324
a	0.00293769	0.0040548	0.0266335	0.0138493	0.0792668	0.0646724	0.0134523	0.0731822	0.0401988	0.0205918	0.511095	0.150065
a	0.000213785	0.000822161	0.00568762	0.0166417	0.0531538	0.0415182	0.0181843	0.0785571	0.0521755	0.024607	0.525949	0.182489
</S>	0.000904006	0.00180634	0.00893839	0.00207798	0.0355276	0.056592	0.0462118	0.0787407	0.129529	0.0877697	0.158041	0.393861
