 	les	chenilles	blanches	kuya	exigent	une	cuisson	prolongée	</S>
k	0.307371	0.526456	0.0551186	0.105645	0.00416283	0.000657663	0.000296215	0.000198266	9.49575e-05
u	0.0406329	0.677516	0.256149	0.0197473	0.00482065	0.000469804	9.52292e-05	8.5695e-05	0.000483342
y	0.00907574	0.403658	0.568898	0.0119055	0.00248276	0.00274867	0.000166569	0.000448578	0.000616032
a	0.0566994	0.449232	0.463233	0.0215145	0.000991603	0.00562066	0.00121762	0.000326763	0.0011642
k	0.253761	0.0143924	0.0347071	0.609407	0.0188785	0.0281978	0.0167184	0.00638886	0.0175496
á	0.104622	0.116283	0.130904	0.288546	0.274227	0.0646783	0.00276595	0.00293707	0.0150367
a	0.0692191	0.0463532	0.162712	0.420248	0.247926	0.0197624	0.000712317	0.00584474	0.0272223
y	0.0299299	0.00103284	0.00928388	0.632907	0.129837	0.136482	0.0514213	0.00339075	0.00571449
é	0.0293692	0.010009	0.00819231	0.169452	0.358287	0.325246	0.0575613	0.01321	0.0286734
e	0.0474885	0.00445962	0.00952015	0.367628	0.180927	0.129263	0.22631	0.0231963	0.0112067
y	0.0080886	0.00321821	0.0114455	0.0524493	0.199776	0.477199	0.200153	0.0214055	0.0262644
ú	0.000854298	0.000950475	0.0124449	0.0162317	0.0499501	0.408836	0.487037	0.00567116	0.018024
r	0.0400356	0.00296609	0.00985378	0.0735463	0.121684	0.45799	0.254928	0.00872671	0.0302701
á	0.107573	0.0116758	0.00459193	0.143508	0.228326	0.29435	0.177455	0.0153999	0.0171202
m	0.00916557	0.00122867	0.00341066	0.0792481	0.0797684	0.223793	0.430294	0.0960373	0.0770543
í	0.0023683	0.000208096	9.71086e-05	0.00406397	0.00494472	0.0291951	0.174198	0.51028	0.274645
á	0.0128821	0.00194	0.00114013	0.01818	0.0188476	0.0251351	0.0197984	0.833453	0.0686241
</S>	0.00873796	0.00168419	0.00109308	0.0209511	0.00727539	0.0697863	0.271358	0.417036	0.202078
