 	les	jointures	de	doigts	de	cette	femme	se	sont	enflées	</S>
o	0.956004	0.0122133	0.00398773	0.0109468	0.00989694	0.00598712	0.000304146	0.000513544	0.000134241	7.58992e-06	4.60585e-06
y	0.109978	0.86824	0.00996801	0.00298836	0.00198535	0.00133219	0.0019518	0.000893188	0.000808635	0.000188751	0.00166524
ú	0.628117	0.298568	0.00577413	0.0139774	0.00464788	0.0314169	0.0091916	0.00219807	0.00227712	0.0018622	0.00196964
r	0.719829	0.181172	0.00447526	0.00237567	0.00578791	0.0348957	0.00224695	0.0021951	0.00805091	0.0126083	0.0263629
u	0.870296	0.0315574	0.0109281	0.00207067	0.0175318	0.0354925	0.00891148	0.00835647	0.00329661	0.00191054	0.00964837
w	0.353446	0.103287	0.253259	0.0998202	0.0401631	0.0199422	0.0227314	0.0330828	0.0246774	0.00644378	0.043147
ó	0.189296	0.105794	0.284213	0.0379124	0.0454106	0.0413589	0.0475025	0.0927326	0.0177602	0.00532276	0.132697
a	0.0356647	0.00538221	0.628302	0.13493	0.0493939	0.0268728	0.00625718	0.0582017	0.0206782	0.00130834	0.033009
b	0.00720013	0.00760296	0.317627	0.39405	0.0322791	0.0110557	0.0017339	0.021751	0.0702255	0.0465465	0.0899277
o	0.0342796	0.0022576	0.382619	0.314775	0.101255	0.0434455	0.00254959	0.0515219	0.0271036	0.0142797	0.0259137
n	0.0336871	0.00450295	0.440609	0.19331	0.091152	0.0760208	0.000954242	0.0254827	0.0234479	0.0639981	0.0468351
g	0.124531	0.0184302	0.324918	0.104522	0.12598	0.090124	0.0108168	0.031733	0.0104006	0.0225653	0.135979
o	0.408388	0.037334	0.166924	0.0375304	0.0655607	0.220663	0.0214815	0.00575894	0.000937324	0.00211284	0.0333092
m	0.0103971	0.000871888	0.200045	0.122036	0.316046	0.273846	0.0212882	0.0304612	0.0158183	0.00160297	0.0075883
í	0.0201766	0.000763418	0.106101	0.10272	0.382731	0.115904	0.186004	0.0608091	0.00350874	0.00110572	0.020177
s	0.0104241	0.000584736	0.0318454	0.0521396	0.241212	0.256842	0.276087	0.101913	0.0125518	0.00422072	0.0121789
a	0.00304939	0.00147119	0.0141597	0.0550975	0.192721	0.320821	0.332704	0.0250437	0.0180936	0.00224963	0.0345889
b	0.00215096	7.26145e-05	0.0302372	0.0279311	0.271228	0.463668	0.0990305	0.0628953	0.0206438	0.00442777	0.0177141
h	0.00758293	4.19049e-05	0.0432485	0.11446	0.520635	0.162797	0.00946512	0.0711884	0.00911694	0.0165482	0.0449153
i	0.0197785	4.89277e-05	0.0885022	0.0664322	0.327406	0.215549	0.0136535	0.108879	0.00954319	0.0571528	0.0930545
á	0.0110824	6.50166e-05	0.0306885	0.0212702	0.179227	0.319523	0.0179496	0.231183	0.0369576	0.0716699	0.0803831
m	0.000986986	0.000565684	0.00709764	0.01286	0.016969	0.0162557	0.0252092	0.168844	0.547392	0.100516	0.103304
i	0.000730406	0.0003256	0.00702091	0.00891896	0.0375526	0.0269336	0.0166571	0.151123	0.372155	0.156847	0.221736
f	8.78698e-05	9.58147e-05	0.000947966	0.00230216	0.00271992	0.00392973	0.00204099	0.0285144	0.116411	0.706328	0.136623
ú	7.64189e-06	2.53098e-05	0.00194887	0.00531078	0.00545401	0.00683325	0.000398776	0.0258946	0.0643429	0.821274	0.0685097
ú	0.000337439	1.11038e-05	0.000621411	0.000905428	0.00520749	0.0091691	0.000173437	0.0226384	0.0403668	0.638817	0.281753
s	0.0164945	0.000146389	0.00460949	0.00435403	0.0496328	0.0359891	0.0266677	0.174663	0.153192	0.0769193	0.457332
a	0.00618718	3.36522e-05	0.00481627	0.011714	0.116803	0.104271	0.00944075	0.135128	0.100915	0.0777033	0.432987
</S>	0.00135011	5.63455e-05	0.0027221	0.00500397	0.03641	0.0864789	0.0193149	0.183061	0.128429	0.0442783	0.492895
