 	pendant	la	grande	saison	des	pluies	les	forêts	marécageuses	deviennent	inondées	</S>
l	0.275044	0.27635	0.262241	0.0976264	0.0737086	0.0119378	0.000849605	0.00120147	0.000361354	0.000592182	8.08117e-05	5.99134e-06
a	0.331866	0.386271	0.0932206	0.06747	0.0705437	0.0422554	0.000854582	0.000756878	0.000101283	0.00102113	0.00222996	0.00340987
l	0.0833649	0.366936	0.264328	0.110204	0.102461	0.0607816	0.0026833	0.00550371	0.000515823	5.95076e-05	0.000675456	0.00248736
ε	0.16522	0.234357	0.188701	0.0574794	0.0607345	0.0721032	0.0159992	0.0136474	0.0107631	0.000628699	0.0262611	0.154105
k	0.144378	0.179342	0.175031	0.135484	0.13101	0.127623	0.0116886	0.00945032	0.000771419	0.000305611	0.00298589	0.0819297
á	0.0281389	0.0629396	0.0499638	0.0699237	0.12754	0.548651	0.0395612	0.0602518	0.00240482	0.0037313	0.00134277	0.005551
a	0.0459783	0.114559	0.0684609	0.0896965	0.12082	0.420138	0.0711213	0.0231953	0.0108395	0.000613254	0.00251118	0.0320668
a	0.0374122	0.0212777	0.0848283	0.0981862	0.305724	0.189123	0.173789	0.0278041	0.0123891	0.0320703	0.00300813	0.0143883
k	0.0767704	0.0399316	0.10804	0.0790782	0.106014	0.169578	0.166279	0.0788333	0.0212947	0.107675	0.0128836	0.0336225
ώ	0.0211761	0.0299151	0.0331392	0.0211226	0.0272623	0.152649	0.0713271	0.452573	0.0420227	0.115377	0.0120974	0.0213376
m	0.0709836	0.106483	0.197053	0.138527	0.100398	0.130274	0.0801855	0.0676299	0.0206627	0.0347838	0.0139768	0.0390429
á	0.00768322	0.0060901	0.0415356	0.0910308	0.0812655	0.0770022	0.5156	0.0330903	0.0393397	0.0212507	0.0025441	0.0835683
a	0.0399345	0.0185692	0.0751199	0.0976307	0.110827	0.0498967	0.221955	0.0904169	0.113746	0.0979757	0.0467543	0.0371744
y	0.0101736	0.0205873	0.0204191	0.0112531	0.00854708	0.0159001	0.0324909	0.228741	0.189847	0.245558	0.197193	0.0192896
í	0.00427284	0.0185738	0.0220817	0.0117463	0.00418545	0.00415266	0.00569291	0.230047	0.0941859	0.378345	0.149261	0.0774563
n	0.00198344	0.00377185	0.0083589	0.0110898	0.00685284	0.00501368	0.0385768	0.0923755	0.235727	0.121919	0.18615	0.288181
a	0.00300829	0.00540978	0.0143194	0.0400107	0.0435729	0.0230628	0.0990664	0.0755222	0.285541	0.124414	0.251074	0.0349985
</S>	0.00300689	0.00299845	0.0122567	0.0329446	0.0270394	0.0151956	0.112561	0.0512042	0.196239	0.0792984	0.121678	0.345578
