 	celles-ci	sont	mes	chenilles	celles-là	sont	à	toi	</S>
y	0.113304	0.548442	0.0384342	0.215446	0.0510359	0.019272	0.0110717	0.000924128	0.00207022
é	0.118298	0.0350694	0.0584909	0.70897	0.0519418	0.0060832	0.00732523	0.0051994	0.0086224
k	0.0347195	0.0405825	0.0975972	0.777995	0.0207458	0.00234078	0.000871537	0.0020435	0.0231044
o	0.0207842	0.0312009	0.0118291	0.774899	0.0612472	0.0139518	0.00720144	0.0102149	0.0686712
n	0.0136839	0.0114054	0.0217583	0.920441	0.0135594	0.0025661	0.00354557	0.00328357	0.00975699
g	0.0580424	0.0695466	0.106289	0.722591	0.0186907	0.00384889	0.00314518	0.00426847	0.0135779
ó	0.104064	0.0599111	0.110147	0.668863	0.0345781	0.0024097	0.00176914	0.00275144	0.0155065
y	0.0171374	0.0737982	0.413031	0.164479	0.245835	0.0441485	0.017297	0.0035103	0.0207638
á	0.0167782	0.0197863	0.497785	0.0797809	0.282622	0.0258098	0.00712807	0.00288243	0.0674267
n	0.00327279	0.00631102	0.665317	0.0830645	0.193636	0.0157591	0.00712537	0.0205376	0.00497659
g	0.000279267	0.00105916	0.806392	0.0252782	0.0581377	0.00384866	0.00230732	0.10031	0.0023879
á	0.00168149	0.00208837	0.585007	0.129785	0.170332	0.0168849	0.00618869	0.0723579	0.015674
y	0.00181577	0.00390574	0.0359297	0.0363068	0.594327	0.2339	0.0640341	0.0152259	0.0145552
é	0.020174	0.0210164	0.220147	0.0485333	0.53309	0.109543	0.0246685	0.00877954	0.0140489
y	0.00129412	0.00224791	0.0555193	0.0399131	0.436622	0.216623	0.138314	0.0390389	0.0704277
á	0.00792901	0.00879916	0.0476636	0.0414536	0.335296	0.269957	0.127941	0.0360387	0.124922
n	0.00206179	0.00419766	0.0372805	0.0165462	0.260986	0.210999	0.282838	0.117457	0.0676335
ω	0.000227882	0.00064601	0.0661517	0.00693097	0.055061	0.0388837	0.0563345	0.73896	0.0368047
</S>	0.000751587	0.0012524	0.010486	0.00983917	0.163514	0.193997	0.201542	0.0862427	0.332376
