 	la	genette	mange	beaucoup	de	noix	de	palme	</S>
s	0.797245	0.141793	0.0154311	0.00868018	0.0196052	0.0100144	0.0064411	0.000229548	0.00056046
a	0.0212391	0.976411	0.00111523	0.000492286	0.000206243	0.000107784	0.000187326	8.41752e-05	0.000157204
m	0.450293	0.491632	0.0243432	0.0199444	0.00867433	0.00110668	0.000935492	0.00183779	0.0012334
a	0.286189	0.577971	0.0678539	0.0152699	0.0248243	0.0192601	0.00264898	0.000300863	0.00568235
l	0.138728	0.045734	0.634506	0.0803299	0.0301672	0.00237503	0.00804919	0.00971242	0.0503992
á	0.305281	0.0184115	0.27478	0.102292	0.0202124	0.0173753	0.0392436	0.0112366	0.211168
a	0.207176	0.0266767	0.50227	0.105104	0.0726056	0.027347	0.0256544	0.00683338	0.0263333
d	0.019083	0.00404112	0.656776	0.225045	0.0450021	0.00550815	0.0151997	0.0127198	0.0166258
z	0.010523	0.00551839	0.594202	0.272796	0.0374207	0.00346834	0.00687221	0.0172825	0.0519179
á	0.207595	0.121416	0.361375	0.171871	0.110429	0.0054517	0.00418197	0.00510245	0.0125788
á	0.0125608	0.00247346	0.122051	0.363612	0.258679	0.0410409	0.102449	0.0302079	0.0669268
m	0.0244422	0.00272796	0.0400381	0.226062	0.326766	0.160979	0.167008	0.0322042	0.019773
b	0.00187611	0.0156955	0.0457597	0.0344303	0.113129	0.691716	0.0428858	0.0274286	0.0270788
í	0.000415878	0.000104681	0.00217084	0.00366392	0.0983908	0.88691	0.00349405	0.00203534	0.00281402
a	0.00433114	0.00263239	0.0175759	0.0155272	0.0454973	0.857463	0.0190242	0.0116524	0.0262965
w	0.00443198	9.50073e-05	0.0262932	0.0947155	0.111007	0.152847	0.497467	0.0486617	0.0644818
a	0.058094	0.000287816	0.0569657	0.201274	0.366824	0.0566892	0.127942	0.0470251	0.0848987
m	0.0080548	0.00013523	0.0137365	0.0505172	0.0828225	0.131708	0.364155	0.160352	0.188519
έ	0.00520997	0.0050587	0.0141166	0.0267883	0.140642	0.297659	0.152235	0.0906415	0.267648
n	0.00359045	0.000562489	0.0187071	0.0444494	0.0884284	0.0971152	0.172136	0.455655	0.119356
d	0.00621496	8.61425e-05	0.0100204	0.0432126	0.0666787	0.180612	0.164126	0.256165	0.272885
e	0.00219222	0.00028379	0.00885539	0.0442067	0.0328648	0.0374961	0.0888875	0.256036	0.529178
</S>	0.000520765	9.50288e-06	0.0116305	0.0598854	0.0251334	0.00782463	0.135805	0.161226	0.597965
