 	les	grillons	stridulent	dans	la	nuit	</S>
a	0.754315	0.207149	0.0262195	0.00597845	0.00597809	0.000334292	2.62951e-05
n	0.0942915	0.852737	0.0454863	0.00280706	0.00235424	0.00195252	0.0003718
d	0.0511678	0.847871	0.0611029	0.0159316	0.00404903	0.00149102	0.0183864
z	0.014297	0.946293	0.0353217	0.00146808	0.000263807	0.000571866	0.00178423
έ	0.0112289	0.744834	0.22125	0.00817444	0.00167234	0.00190332	0.0109366
n	0.0745057	0.716713	0.134579	0.0328667	0.0108792	0.0121316	0.0183245
d	0.0329812	0.474125	0.292364	0.0244389	0.00969823	0.00324757	0.163146
z	0.0608023	0.508778	0.35099	0.0262792	0.00420531	0.00038794	0.0485571
έ	0.0287321	0.152813	0.557554	0.10241	0.0133569	0.00167156	0.143463
b	0.292566	0.0700425	0.258997	0.276699	0.0489987	0.00323905	0.0494573
á	0.285199	0.037234	0.106732	0.297819	0.162062	0.00778055	0.103173
a	0.363925	0.0188816	0.0825552	0.288549	0.199039	0.0122482	0.0348019
y	0.0276023	0.0298018	0.157427	0.548295	0.112807	0.0462711	0.0777951
έ	0.00735348	0.0133604	0.289106	0.579593	0.0631573	0.0161073	0.0313217
n	0.00249242	0.0118729	0.362999	0.375053	0.077339	0.0119915	0.158252
d	0.0454134	0.106942	0.554418	0.141964	0.10376	0.0157416	0.0317608
z	0.0906563	0.125201	0.541475	0.149237	0.0615331	0.00680863	0.0250887
έ	0.0213535	0.026649	0.439802	0.263699	0.129078	0.00764966	0.111769
l	0.0109542	0.0034693	0.0321922	0.366503	0.520032	0.0328258	0.0340234
a	0.00528744	0.00238196	0.0215376	0.476629	0.251831	0.0672551	0.175077
k	0.00942947	0.00242471	0.0151191	0.158487	0.272947	0.373658	0.167934
ó	0.000133625	0.000424585	0.0122005	0.0131098	0.0257259	0.934373	0.0140323
l	0.000165093	0.00154176	0.0234753	0.0254523	0.0123844	0.887579	0.0494026
i	0.000829571	0.0082398	0.0305118	0.0331577	0.0420696	0.709351	0.175841
</S>	0.00291173	0.00435679	0.00904491	0.0761638	0.14612	0.179915	0.581488
