 	j'	ai	rencontré	brusquement	dans	la	rue	un	homme	qui	annonçait	l'	évangile	de	dieu	</S>
n	0.936706	0.042758	0.00362537	0.0111565	0.000850179	0.000931751	0.00245374	0.000865214	0.000168471	0.000105704	2.36757e-05	0.000138015	9.37516e-05	9.3999e-05	2.14855e-05	8.56443e-06
g	0.981267	0.0140496	0.00390104	0.00011689	0.000204392	0.000273523	0.000100327	1.62811e-05	1.4783e-06	3.81513e-06	1.63139e-05	1.2976e-05	2.50535e-06	1.49033e-05	1.79731e-05	9.06862e-07
á	0.927281	0.0578661	0.0107098	0.00126551	0.0004885	0.00098128	0.000209459	0.000235542	1.32165e-05	6.99123e-05	0.000534221	8.87523e-05	2.18167e-05	9.14643e-05	0.000138372	4.63399e-06
í	0.342752	0.243631	0.0440199	0.0299474	0.0235935	0.0390208	0.0474258	0.0180501	0.0109909	0.012258	0.00541775	0.0300778	0.0104559	0.048915	0.000889072	0.0925553
t	0.0200211	0.262816	0.625867	0.0478692	0.00667713	0.00328386	0.00135212	0.00114881	0.00302228	0.00302102	0.0035151	0.00258428	0.0119591	0.00124658	0.000180176	0.00543641
έ	0.00061714	0.102503	0.754029	0.0530588	0.0101475	0.00912359	0.00408565	0.00501946	0.00818733	0.0106248	0.00877805	0.0081373	0.0173243	0.00198852	0.000322639	0.00605276
n	0.0292354	0.129293	0.447627	0.126843	0.0734567	0.0408496	0.0172231	0.0114881	0.00457638	0.0193096	0.0204521	0.020512	0.0198918	0.00969681	0.00178784	0.0277578
i	0.105209	0.139265	0.473057	0.02704	0.0420808	0.0492644	0.0252846	0.0134336	0.00544684	0.0116812	0.0182097	0.0407135	0.00542681	0.0297221	0.00444853	0.00971738
i	0.319679	0.190555	0.0972228	0.0963275	0.0602667	0.0336063	0.0464383	0.0135968	0.0402485	0.0170064	0.00983512	0.0208757	0.00341172	0.0194122	0.00900456	0.0225137
l	0.0218337	0.0383013	0.0945811	0.28348	0.27003	0.120086	0.0422728	0.0113197	0.0336641	0.0115654	0.0114187	0.0114726	0.0106673	0.00790724	0.00675293	0.0246475
a	0.00286314	0.0115055	0.0418743	0.575629	0.136747	0.045866	0.0116528	0.0233566	0.0101913	0.0385334	0.0161933	0.0149987	0.00676524	0.00992412	0.00353685	0.0503626
m	0.00035231	0.00237576	0.0115847	0.663233	0.129652	0.045245	0.0153727	0.0178535	0.0194324	0.0216555	0.0066673	0.0107473	0.0130594	0.00566088	0.00494918	0.0321588
o	9.78158e-05	0.000969911	0.00156992	0.490201	0.238501	0.114762	0.00524863	0.0485637	0.0480653	0.0273766	0.00189738	0.00268987	0.00239604	0.00260444	0.000502224	0.0145547
r	0.000167814	0.000475229	0.00059874	0.504978	0.182247	0.0946195	0.0103724	0.10186	0.01675	0.0472434	0.00619767	0.0038128	0.0120444	0.00172086	0.00100295	0.0159094
o	0.000673198	0.00050588	0.00115839	0.144909	0.148396	0.213116	0.0165819	0.279749	0.0166939	0.0634458	0.0309546	0.0166939	0.0135086	0.0182011	0.0187659	0.0166466
y	0.00159604	0.00104258	0.00116289	0.0530054	0.259831	0.279065	0.0482348	0.219323	0.0189118	0.0594254	0.018917	0.0140706	0.00236438	0.00640342	0.000625322	0.0160209
é	0.00173895	0.00206958	0.000862952	0.0580525	0.0740871	0.123094	0.046361	0.266614	0.0790818	0.177244	0.0435699	0.0381777	0.0112503	0.0290828	0.0111177	0.0375959
é	0.000387239	0.000720803	0.0013639	0.0136311	0.0807491	0.229106	0.063545	0.199549	0.0898822	0.195627	0.046299	0.0220123	0.0074347	0.0120422	0.00331724	0.0343325
d	0.000266672	0.00340857	0.00344209	0.0273305	0.111551	0.147564	0.0854333	0.110455	0.197526	0.174511	0.0698831	0.0194625	0.0273924	0.00248284	0.000582583	0.0187077
z	0.000661121	0.00151735	0.000423652	0.0203308	0.16922	0.202203	0.0133784	0.0526865	0.0569996	0.153953	0.13811	0.0240058	0.0893234	0.00589718	0.00210398	0.0691854
e	0.0198639	0.0123772	0.00122876	0.0507799	0.217542	0.234602	0.00980952	0.106087	0.0226949	0.168835	0.0519889	0.0230503	0.0354616	0.00642459	0.0186107	0.0206441
l	0.000168945	0.00039685	0.000112665	0.00807456	0.0815864	0.198835	0.0469639	0.149519	0.174194	0.142694	0.132116	0.0327883	0.0138533	0.00452633	0.000509601	0.0136606
á	0.000804071	0.00125657	0.00110558	0.0046989	0.0316077	0.0876435	0.0525402	0.0652525	0.132163	0.213942	0.182068	0.049585	0.0144746	0.012082	0.00566405	0.145113
a	0.000483284	0.000775528	0.00084794	0.0035025	0.0117876	0.06259	0.088031	0.169845	0.221136	0.211266	0.146444	0.0435654	0.00843219	0.00617176	0.00472286	0.0203982
s	0.000108875	0.000822998	0.00167889	0.0188065	0.0146277	0.026605	0.0293738	0.0575362	0.142396	0.16406	0.375834	0.0482537	0.0864822	0.00289808	0.00443882	0.0260774
ε	1.87729e-05	0.000375747	0.00150428	0.00727745	0.00964035	0.0154674	0.00193728	0.0159909	0.013661	0.0736103	0.782995	0.0129616	0.0498532	0.00139008	0.0052169	0.0081
r	5.06769e-05	4.13774e-05	5.77332e-05	0.00137694	0.00962944	0.032448	0.00276099	0.0696978	0.00896057	0.242823	0.54721	0.0324174	0.00385478	0.00909861	0.00180727	0.0377649
έ	5.47579e-05	3.04225e-05	8.3423e-05	0.0048933	0.0293736	0.0981507	0.0260392	0.0922596	0.0614179	0.201323	0.225147	0.0763936	0.0185361	0.0329276	0.023346	0.110024
t	0.000100923	7.71395e-05	4.97183e-05	0.00068398	0.0112883	0.0471184	0.0164454	0.0710294	0.0715002	0.223947	0.242847	0.238588	0.0137514	0.023413	0.00699638	0.0321639
s	0.00185667	0.000381142	0.000762621	0.00362169	0.00460049	0.0174546	0.0519916	0.039623	0.0572322	0.128221	0.0760049	0.213841	0.109251	0.0306003	0.108457	0.156101
a	0.000115961	5.0111e-05	0.000437763	0.00247534	0.00496245	0.0194521	0.0598053	0.036328	0.0246102	0.056157	0.297717	0.215712	0.112315	0.0196814	0.0905519	0.059628
n	0.000562222	7.34505e-05	0.000233395	0.00119004	0.00569105	0.0283995	0.0589516	0.0397364	0.128303	0.0774051	0.192782	0.159434	0.130027	0.00515711	0.0527673	0.119287
g	0.00029577	4.54127e-05	0.000314914	0.00170697	0.00529073	0.0191143	0.00697807	0.028667	0.00779747	0.0992205	0.352108	0.230787	0.0330476	0.0445234	0.0787367	0.0913658
e	0.000143437	4.78688e-05	0.000343753	0.000687324	0.00280987	0.0185725	0.0106193	0.0338549	0.00660269	0.107491	0.443897	0.199939	0.0121566	0.0131004	0.0309821	0.118752
y	0.000263325	0.000290557	0.000168102	0.00046541	0.00373223	0.00625742	0.00580826	0.0180286	0.0074798	0.0807994	0.126627	0.558081	0.0273007	0.0617014	0.00315802	0.0998391
á	0.000131019	0.000163388	0.00011224	0.000976668	0.00639086	0.0122317	0.00214024	0.0180967	0.00409235	0.103064	0.30965	0.270288	0.0656312	0.0974597	0.049135	0.0604375
n	0.000261747	0.000499362	0.000833507	0.000705696	0.00901916	0.0137602	0.0110716	0.0130806	0.00251461	0.0378254	0.0700954	0.213105	0.120768	0.137169	0.271331	0.0979603
z	0.00445355	0.000314668	0.000387891	0.000143607	0.00182885	0.00874104	0.00190404	0.00577837	0.000667817	0.0143654	0.371904	0.171099	0.0258958	0.155115	0.205144	0.0322572
a	0.00644751	0.000334102	0.000566319	6.76486e-05	0.00168403	0.00721935	0.00380169	0.00319466	0.000893133	0.00748476	0.383757	0.112029	0.0322726	0.0620948	0.35611	0.0220436
m	1.3708e-05	3.51674e-05	0.000104813	0.000182148	0.00151214	0.00711052	0.00322415	0.0101667	0.00354348	0.0310977	0.454648	0.245058	0.106995	0.041111	0.00867213	0.0865258
