 	l'	épine	de	l'	arbre	ipapaa	est	mordante	</S>
l	0.388539	0.258547	0.0981565	0.0614425	0.177554	0.00676484	0.00701651	0.00179699	0.000182753
l	0.467684	0.287929	0.11086	0.0756662	0.0169581	0.000568052	0.0311734	0.00699339	0.00216846
ω	0.104816	0.703152	0.0580226	0.0953531	0.00365065	0.00198408	0.00328186	0.0264147	0.00332514
ώ	0.0353236	0.862236	0.0288428	0.047738	0.00526981	0.00223714	0.00237981	0.00134337	0.0146291
l	0.0689683	0.0374857	0.491325	0.176285	0.102008	0.0246491	0.0301706	0.000417458	0.0686907
í	0.0973799	0.0595448	0.18416	0.129541	0.0936968	0.099998	0.066451	0.00535751	0.263871
p	0.170233	0.0808019	0.192682	0.127085	0.180676	0.15795	0.0337335	0.0175554	0.0392833
a	0.0185558	0.0228626	0.025405	0.0824795	0.0265133	0.807863	0.0064094	0.00103733	0.00887377
p	0.0196432	0.0292273	0.0689342	0.136925	0.0573545	0.646418	0.00955109	0.00207534	0.0298713
á	0.00410344	0.00330518	0.0262213	0.0837352	0.0657346	0.796179	0.0150239	0.000196842	0.00550065
a	0.00179365	0.000703316	0.0366251	0.0350139	0.0918172	0.708275	0.104636	0.00285423	0.0182818
í	0.0073398	0.00782825	0.0306857	0.0284833	0.0572259	0.0418792	0.715604	0.0289668	0.0819868
d	0.0282153	0.0255161	0.0623249	0.0707252	0.0297694	0.0205455	0.618005	0.0508761	0.0940226
í	0.000848089	0.000180913	0.00451649	0.00352451	0.000395862	0.00210343	0.171052	0.0480019	0.769377
l	0.00476196	0.000449655	0.00842926	0.0134679	0.0193516	0.0381366	0.336341	0.266109	0.312954
a	0.00381368	0.00812483	0.0164235	0.0246963	0.0126212	0.0190742	0.246864	0.265029	0.403353
n	0.0181466	0.0075256	0.029819	0.0299659	0.0264063	0.0138947	0.202913	0.560386	0.110943
d	0.0021471	0.000759981	0.00208496	0.00238932	0.00122811	0.000515647	0.0159607	0.960142	0.0147726
ú	0.00246791	0.0013956	0.00213707	0.00176005	0.00030981	0.000277179	0.00997406	0.94981	0.0318679
m	0.000258896	0.000311051	0.000267551	0.000811058	0.000253696	0.000589218	0.00977871	0.962299	0.0254307
á	0.0103958	0.00474486	0.0141017	0.00747494	0.0207491	0.00865321	0.151186	0.26836	0.514335
</S>	0.0162236	0.00508554	0.0146354	0.0175871	0.0132392	0.00871608	0.15231	0.176738	0.595465
