 	sa	mère	a	plus	d'	amour	pour	lui	que	pour	son	frère	</S>
n	0.887487	0.0205686	0.0111776	0.0118324	0.0149787	0.0178671	0.0176325	0.00764008	0.00449225	0.0033576	0.00254148	0.000355747	6.93104e-05
g	0.277272	0.664035	0.00565379	0.00194901	0.00432052	0.0432883	0.000311764	0.000322281	0.0012223	0.000731716	0.000848224	1.88344e-05	2.65102e-05
ó	0.0256976	0.968294	0.000499176	0.000313383	0.000532378	0.00332702	0.000138912	0.000171648	0.000417003	0.000249111	0.000221332	0.000114005	2.38756e-05
o	0.0222624	0.971289	0.000226478	0.000223094	0.000265565	0.00517429	7.5792e-05	2.66167e-05	0.000163407	9.66592e-05	0.000102896	5.78122e-05	3.62593e-05
y	0.483279	0.172336	0.149443	0.0257856	0.0278229	0.026258	0.0398224	0.0289068	0.0150108	0.00868566	0.0104944	0.00299443	0.009161
a	0.939193	0.0116228	0.0109657	0.00294337	0.00429774	0.0145777	0.00850809	0.00303096	0.00132425	0.000865019	0.00125944	0.000887073	0.000524676
w	0.970304	0.00409271	0.00960398	0.00184002	0.00332008	0.00502947	0.00238242	0.00129773	0.000536074	0.000256838	0.000801667	8.80818e-05	0.000446441
a	0.380834	0.0313852	0.0867308	0.0643745	0.0985407	0.0989188	0.0262052	0.0279992	0.0524247	0.0304948	0.0405999	0.0239635	0.0375286
a	0.706837	0.00697889	0.0476617	0.041813	0.0452964	0.0496283	0.0245059	0.0176254	0.0148049	0.00838066	0.0198406	0.00391544	0.0127119
d	0.016744	0.00278065	0.369548	0.295678	0.079186	0.0228061	0.0154683	0.0306197	0.0326099	0.0351996	0.011766	0.0147355	0.0728577
í	0.0115785	7.34422e-05	0.176354	0.253938	0.160202	0.0704599	0.0384203	0.0670786	0.0515608	0.0340014	0.0144294	0.0134324	0.108472
l	0.0313803	6.34349e-05	0.125567	0.262678	0.164568	0.103163	0.0539001	0.0750945	0.0398772	0.0352037	0.0244634	0.0125646	0.0714764
a	0.0049727	0.000215619	0.0642033	0.0756048	0.10243	0.0703435	0.133672	0.163865	0.118571	0.0622534	0.0416652	0.0107838	0.151419
o	0.0181759	0.000369522	0.0586981	0.0362896	0.0860943	0.181212	0.242156	0.151611	0.0871141	0.0422357	0.0173699	0.0266758	0.0519983
d	0.000467199	0.00034048	0.0991072	0.123077	0.140294	0.171099	0.147218	0.0692772	0.0386451	0.0343885	0.00477537	0.148606	0.0227058
i	0.000210454	0.000113956	0.0351879	0.0882506	0.141938	0.337841	0.0326252	0.0243825	0.0408608	0.0397589	0.0071575	0.189538	0.0621348
n	0.000408152	9.25779e-05	0.0725402	0.160843	0.192289	0.228933	0.0625992	0.0572697	0.0863162	0.0565011	0.0131901	0.0287227	0.0402961
g	0.000499192	3.60601e-05	0.0538422	0.0562202	0.172904	0.219182	0.102585	0.0886747	0.14117	0.0705939	0.0177543	0.0163452	0.0601926
i	0.00142436	9.76611e-05	0.0253268	0.0276133	0.116032	0.579864	0.064738	0.0249552	0.0959129	0.0254162	0.00621701	0.00276059	0.0296424
m	0.000259451	7.24562e-06	0.0273364	0.0318112	0.0719437	0.0535983	0.163494	0.0982542	0.239989	0.200442	0.063692	0.00940986	0.0397622
á	0.00303641	2.84725e-05	0.0124314	0.00493039	0.0482189	0.0134359	0.388487	0.126042	0.0881466	0.104381	0.0728751	0.0319577	0.106029
w	0.000438483	0.000356171	0.0117913	0.0208142	0.0560424	0.037086	0.0839599	0.0915407	0.13639	0.214063	0.224964	0.0984757	0.0240782
a	0.0070679	0.000247967	0.0087632	0.027448	0.0429561	0.0165711	0.097044	0.191864	0.242241	0.151551	0.142254	0.0326574	0.0393339
m	0.00296555	8.62345e-05	0.00147281	0.00523905	0.00986737	0.0157084	0.0720543	0.0536531	0.15224	0.221112	0.315514	0.049501	0.100586
ó	0.000364557	3.96224e-05	0.0168625	0.0106173	0.0642114	0.0115393	0.0892633	0.0576868	0.0823688	0.163736	0.278339	0.0560609	0.16891
ó	0.0011692	0.000507588	0.00902182	0.00874918	0.0508096	0.0487672	0.0574966	0.023959	0.0653737	0.092179	0.285408	0.340788	0.0157715
p	8.77336e-05	0.00022835	0.00537105	0.0195599	0.0150721	0.0102336	0.00332737	0.00306081	0.028956	0.112797	0.186023	0.543623	0.0716604
é	1.02645e-05	6.25909e-05	0.00663296	0.0751635	0.0231321	0.00987092	0.00222708	0.00573937	0.0513211	0.156501	0.0817532	0.449698	0.137888
n	0.000189392	0.000118861	0.000668797	0.0129013	0.00750613	0.00408702	0.00182407	0.00636888	0.0523355	0.172122	0.0938533	0.22968	0.418345
d	0.000722789	4.80836e-05	0.00301669	0.0245613	0.0190327	0.0078016	0.00277116	0.0150701	0.114443	0.288429	0.0937757	0.165351	0.264976
í	0.00199272	0.000190545	0.00363832	0.00900371	0.0284252	0.0653011	0.0158332	0.021081	0.235954	0.228231	0.11884	0.0954178	0.176091
m	0.00136724	4.03534e-05	0.00140474	0.00536496	0.0155304	0.020046	0.0168421	0.0148154	0.117422	0.182543	0.217014	0.0959822	0.311628
á	0.00146018	2.39705e-05	0.00991244	0.00729801	0.0487046	0.00676379	0.0717516	0.0511011	0.0292001	0.0916364	0.21675	0.285449	0.179949
o	0.000806151	0.000293974	0.00411369	0.00585854	0.0238274	0.0131777	0.0306068	0.0229909	0.0359596	0.068841	0.394512	0.15679	0.242222
d	1.396e-05	4.45399e-05	0.0105862	0.0273375	0.0196848	0.0178334	0.0060975	0.00506689	0.0261681	0.102444	0.182361	0.457618	0.144744
i	1.55803e-06	6.90408e-06	0.00411415	0.0101296	0.0150275	0.0221379	0.00383175	0.00283396	0.0110042	0.0380742	0.0592787	0.626953	0.206607
m	2.49242e-06	8.17812e-06	0.00142482	0.00558364	0.00983818	0.0123809	0.00267912	0.00369526	0.0283403	0.123111	0.274241	0.121018	0.417677
í	0.000192424	5.08815e-05	0.00373357	0.0100311	0.0359651	0.00994783	0.0102393	0.0129684	0.0273058	0.0856057	0.309894	0.321622	0.172444
y	0.000694663	6.35699e-05	0.00561605	0.0093204	0.0234499	0.012371	0.0161489	0.0183275	0.037022	0.0772431	0.234827	0.0823147	0.482602
