 	cet	homme	est	accablé	de	tristesse	parce	qu'	il	a	perdu	sa	femme	</S>
i	0.889519	0.0959414	0.00838052	0.00404693	0.00130105	0.000299393	5.91565e-05	0.000112302	0.000145181	5.90522e-05	1.83831e-05	0.000112485	2.23001e-06	3.15203e-06
b	0.0634864	0.87641	0.0426782	0.0148671	0.00167061	0.000215411	2.98811e-05	3.84117e-05	8.27379e-05	7.75385e-05	0.000226711	7.68462e-05	9.61603e-05	4.3716e-05
a	0.0977723	0.874826	0.00450882	0.017547	0.00388712	0.000476519	0.000236558	0.000154441	0.000124146	0.000107945	0.000189541	4.07479e-05	0.000101727	2.74518e-05
a	0.0854968	0.842792	0.0168828	0.0247104	0.00867396	0.00206251	0.000831361	0.000645757	0.000579866	0.000801666	0.00535181	0.000178983	0.00131283	0.00967896
d	0.52283	0.192504	0.158357	0.0135099	0.00423348	0.00225082	0.00255716	0.00343465	0.00395575	0.0101696	0.0128644	0.00221539	0.0011531	0.069965
í	0.0362473	0.0265649	0.174499	0.029253	0.0565878	0.0538781	0.0211174	0.0270202	0.0264329	0.0399044	0.0403727	0.01182	0.00446583	0.451836
í	0.0231497	0.0768117	0.354104	0.125443	0.0370816	0.0223934	0.0192255	0.0160522	0.0208458	0.0255659	0.0276173	0.0235241	0.0207441	0.207442
d	0.00544798	0.011978	0.540337	0.213292	0.150491	0.0127027	0.00465092	0.00297253	0.00401348	0.014331	0.0138658	0.00580543	0.00527242	0.0148398
í	0.000387104	0.00548861	0.352452	0.259772	0.20646	0.0446204	0.00790745	0.0049493	0.00464807	0.0149419	0.0183202	0.00359053	0.00706575	0.0693969
n	0.00083078	0.00448058	0.172307	0.298586	0.171392	0.0687607	0.020325	0.0129495	0.0067929	0.0204211	0.0475044	0.0236732	0.0111962	0.14078
y	0.00339555	0.0014988	0.0219818	0.202345	0.292459	0.350515	0.0866282	0.00717916	0.0097117	0.0013167	0.00107744	0.00856875	0.000778762	0.0125453
i	0.000963122	0.000475701	0.0117155	0.10067	0.325547	0.481808	0.0487431	0.00372747	0.00305428	0.0017721	0.00376441	0.00407827	0.000341603	0.0133399
n	0.00783851	0.00221057	0.0362729	0.178388	0.408752	0.212501	0.0261748	0.00453043	0.00188393	0.00490621	0.0530852	0.00325128	0.00174899	0.0584556
g	0.0036176	0.00207883	0.0532835	0.127803	0.553414	0.108347	0.0243223	0.00882929	0.00442637	0.00475474	0.0172108	0.00306712	0.00196865	0.0868762
a	0.00266392	0.000263161	0.00712424	0.130449	0.550781	0.185352	0.0881914	0.00886001	0.00326303	0.00056391	0.00199626	0.00072707	0.000258076	0.0195069
l	0.00366419	0.00240281	0.0811483	0.144541	0.173433	0.272206	0.165301	0.0869115	0.0263618	0.0147104	0.00862781	0.00513423	0.000122285	0.0154355
