 	on	a	déjà	engrossé	cette	fille-là	</S>
á	0.847385	0.138337	0.00998604	0.00032249	0.00327533	0.000157427	0.000537072
m	0.00680706	0.0850417	0.487502	0.417037	0.00249978	0.000902464	0.000210538
i	0.00357626	0.0423366	0.439117	0.484994	0.00219293	0.00328367	0.0244998
s	0.00691978	0.0512655	0.731567	0.193759	0.001176	0.00103367	0.0142796
á	0.000727527	0.0250221	0.394829	0.57089	0.000665626	0.000212476	0.00765321
á	0.0178536	0.0791086	0.479382	0.263952	0.0367961	0.00439569	0.118512
o	0.064403	0.172614	0.257231	0.136795	0.319503	0.0365549	0.0128988
y	0.000261911	0.00303729	0.117893	0.844098	0.0151509	0.0160556	0.00350346
é	4.3854e-05	0.00263331	0.0515408	0.917391	0.00976173	0.00515597	0.0134736
m	0.000950538	0.0143197	0.213292	0.517337	0.119469	0.0123905	0.122241
í	0.00318441	0.0179633	0.202208	0.39591	0.276218	0.00924169	0.095274
s	0.0198975	0.0827446	0.207338	0.152788	0.423965	0.0128286	0.100439
á	0.013259	0.0122356	0.0942952	0.130094	0.354971	0.00709813	0.388047
m	0.00749431	0.00302195	0.00540828	0.00576538	0.898407	0.0575526	0.0223502
w	0.000261249	0.00138207	0.00131596	0.00472395	0.0599363	0.882568	0.0498126
á	3.43212e-05	7.44032e-05	2.24046e-05	0.000110289	0.000410512	0.998456	0.00089164
n	0.000312445	0.000216498	0.00011247	0.000339193	0.125683	0.868384	0.00495291
a	0.00571502	0.00810357	0.00944177	0.0222257	0.11849	0.711288	0.124736
o	0.0049041	0.00500677	0.0566011	0.0672709	0.367935	0.0371867	0.461095
y	0.000630881	0.0118489	0.242372	0.346049	0.169931	0.0239289	0.205239
ú	4.19148e-05	0.00160649	0.0292086	0.331343	0.476785	0.0699466	0.091069
r	0.000366591	0.00122925	0.0211734	0.397833	0.249256	0.0193806	0.310761
u	0.00204255	0.00102171	0.0198613	0.114462	0.492324	0.0631588	0.30713
w	0.00157709	0.000845889	0.0038867	0.00504763	0.098964	0.00647581	0.883203
ó	0.0280924	0.00865286	0.0105855	0.00283701	0.529903	0.0284019	0.391527
</S>	0.000558263	0.00044795	0.00202302	0.00362448	0.0163885	0.0084093	0.968549
