 	il	a	fait	bouillir	de	l'	eau	</S>
w	0.816073	0.12	0.0366051	0.00631722	0.0106686	0.00973366	0.000503025	9.89667e-05
a	0.818603	0.0634008	0.0253137	0.00525854	0.0266841	0.0544037	0.00626383	7.19833e-05
a	0.105847	0.513006	0.346055	0.00678719	0.0099889	0.00931786	0.00101311	0.00798452
m	0.0285531	0.381182	0.45772	0.0634407	0.0194895	0.00950523	0.00361825	0.0364908
i	0.0212088	0.263504	0.37797	0.0807816	0.0714475	0.046916	0.0832129	0.0549593
t	0.0143454	0.105304	0.28413	0.530032	0.0276722	0.00582696	0.00278449	0.0299041
ω	0.00178205	0.0275733	0.0981329	0.851728	0.00955302	0.000806391	0.000720628	0.00970406
k	0.00176246	0.0259119	0.123692	0.831574	0.0136826	0.00127369	4.11233e-05	0.00206241
í	0.037534	0.0661675	0.180153	0.641801	0.0506448	0.00760925	0.000695042	0.0153961
s	0.0270347	0.0633488	0.170018	0.444427	0.217762	0.0184979	0.0100216	0.0488899
ώ	0.00284642	0.00545289	0.0266286	0.424045	0.42974	0.0700353	0.0217685	0.0194837
e	0.00141591	0.00756212	0.0238938	0.135928	0.658167	0.1258	0.0300922	0.0171411
k	0.00194438	0.0102462	0.0307035	0.399188	0.343685	0.118525	0.0284194	0.0672889
ó	0.00190727	0.00418152	0.012409	0.615693	0.281982	0.0336038	0.0296986	0.0205243
r	0.000357831	0.00203396	0.0163924	0.695878	0.23022	0.0134581	0.00894241	0.0327176
ó	0.00223004	0.0105467	0.0412428	0.770278	0.0982425	0.0122753	0.00265663	0.0625282
</S>	0.0147237	0.03297	0.09136	0.0671221	0.420009	0.223982	0.0516157	0.0982174
