 	ce	singe	que	le	chasseur	a	en	mains	est	un	mangabey	noir	</S>
k	0.25298	0.590827	0.0583714	0.0804374	0.00208776	0.00693884	0.00323314	0.0024555	0.000987411	0.00066851	0.000914156	6.63182e-05	3.27046e-05
y	0.029154	0.941868	0.0094868	0.00787498	0.00364316	0.00214657	0.00168699	0.000390187	0.000431247	0.000412897	0.00140124	0.00143076	7.28571e-05
é	0.00700373	0.94652	0.00817349	0.017318	0.00152925	0.00191373	0.00318372	0.00103718	0.000994078	0.00145508	0.00626474	0.00434219	0.000264976
m	0.0282573	0.907356	0.0240913	0.0195831	0.00118789	0.00195432	0.00202711	0.00229462	0.000989614	0.00149733	0.00265339	0.00204001	0.0060676
a	0.223495	0.188824	0.419557	0.0988875	0.00892022	0.0128697	0.0114901	0.00385749	0.00601112	0.00371833	0.00155058	0.00169226	0.0191269
y	0.300669	0.0274367	0.30771	0.188444	0.00777974	0.051087	0.0252604	0.0298176	0.0261884	0.0122654	0.00248529	0.00101004	0.0198469
e	0.355823	0.00598086	0.250712	0.275569	0.0139117	0.0310506	0.0202579	0.0101745	0.0162345	0.00439646	0.000708773	0.000410235	0.0147705
e	0.47489	0.0152095	0.250018	0.173881	0.00702352	0.0302135	0.0207612	0.00845199	0.0115718	0.00262145	0.00065	0.000205944	0.00450313
d	0.0844925	0.0209951	0.0444792	0.0530713	0.249903	0.197487	0.127139	0.0320192	0.0625079	0.0459084	0.0495403	0.0221563	0.0103006
í	0.0972444	0.00800168	0.071656	0.293329	0.0467709	0.0776975	0.0641761	0.00371184	0.0745533	0.175152	0.0390276	0.0163197	0.0323607
l	0.116129	0.00158324	0.119427	0.285152	0.0365246	0.0508813	0.073597	0.0152782	0.09501	0.158998	0.0214005	0.00820934	0.0178101
o	0.00629278	0.00188426	0.02838	0.0311477	0.00280259	0.231206	0.169302	0.0805707	0.269833	0.077352	0.00727042	0.0052502	0.0887087
b	0.0216119	0.00532591	0.0341733	0.0190276	0.0147541	0.287794	0.273776	0.171103	0.102274	0.0260861	0.0227237	0.00765678	0.0136937
e	0.0413584	0.0782525	0.0926124	0.191195	0.130218	0.102886	0.145247	0.0983798	0.0684759	0.0294648	0.0119518	0.00686481	0.00309295
n	0.00230938	0.00353602	0.0113764	0.0180925	0.0248012	0.151491	0.219872	0.428963	0.0822236	0.0250057	0.0120643	0.0100617	0.0102036
g	0.0593523	0.0136124	0.0784321	0.0261966	0.00954182	0.246507	0.218282	0.117643	0.103672	0.0372099	0.00882836	0.0021464	0.0785771
i	0.0383021	0.00645841	0.221999	0.118396	0.0824476	0.146623	0.189453	0.154526	0.031029	0.00444196	0.00124701	0.000356898	0.00472113
w	0.00664841	0.000251147	0.0164885	0.00921788	0.000612618	0.187024	0.12862	0.173563	0.327274	0.111012	0.0237449	0.00254325	0.0130005
ó	0.00868267	0.00273472	0.0284691	0.027684	0.000641123	0.0818944	0.145485	0.173875	0.318345	0.147418	0.0150218	0.00352456	0.0462251
a	0.00491109	0.000405248	0.00940388	0.00264211	0.000155562	0.116207	0.0809452	0.104456	0.404677	0.171007	0.0359587	0.015129	0.0541012
d	0.00559249	0.00090187	0.00134574	0.00138499	0.00103553	0.00849388	0.00907617	0.00384824	0.056207	0.476277	0.363338	0.060771	0.0117279
i	0.00394895	0.000258955	0.00344254	0.00578768	0.000596695	0.00759396	0.010216	0.00109872	0.0773187	0.653663	0.166229	0.0341454	0.0357005
k	0.0033249	3.87038e-05	0.00112616	0.000610869	6.72263e-05	0.00240421	0.00445871	0.000801073	0.0279969	0.512409	0.372467	0.0357901	0.0385047
á	0.00272046	0.00818807	0.00121412	0.00232866	0.00116921	0.00736582	0.00688344	0.00282289	0.0193148	0.193695	0.276485	0.444252	0.0335615
m	0.00192784	0.0050116	0.00141199	0.00210227	0.000250015	0.0112064	0.0142525	0.0096104	0.0280595	0.0622043	0.137133	0.647619	0.079211
b	0.0050114	0.000126619	0.00458453	0.00142993	0.000544787	0.00528406	0.0249634	0.00877684	0.0173618	0.0626933	0.439088	0.0705951	0.359541
i	0.0215213	0.00140179	0.00607829	0.0037029	0.000401761	0.00641395	0.0295534	0.0115742	0.0188554	0.0536897	0.10201	0.230529	0.514269
</S>	0.00193654	0.000198868	0.00108776	0.000391946	0.000149167	0.00452215	0.00612624	0.00239965	0.00649293	0.0123751	0.0347109	0.417746	0.511863
