 	le	défrichage	est	une	besogne	trop	difficile	pour	les	femmes	</S>
i	0.587233	0.238556	0.0402594	0.0303701	0.0442461	0.0113257	0.0132542	0.0151691	0.0185515	0.000616687	0.000417975
t	0.051322	0.91667	0.0077489	0.00762964	0.00276559	0.00531689	0.00257509	0.00232678	0.000921012	0.00170019	0.00102374
u	0.0045993	0.943712	0.0117481	0.00983634	0.00148621	0.0112247	0.0125686	0.00243695	0.00103562	0.00065948	0.000692391
m	0.0200381	0.914981	0.0188071	0.016561	0.00272053	0.00881619	0.00746262	0.0047911	0.00201525	0.00125451	0.00255258
b	0.207085	0.76382	0.0126046	0.0074796	0.00220265	0.00299427	0.000967673	0.00142654	0.000729549	0.000253713	0.000436692
a	0.311627	0.443724	0.110738	0.0597398	0.0183722	0.0103293	0.00807224	0.0162884	0.00490708	0.00057391	0.0156281
l	0.107043	0.228477	0.302085	0.0980572	0.0649217	0.0652893	0.0209754	0.0380178	0.0225841	0.00303844	0.0495112
á	0.192257	0.0522496	0.120359	0.0506785	0.0320227	0.044102	0.0394714	0.10828	0.0422405	0.00316028	0.31518
s	0.458553	0.0505083	0.125011	0.0873201	0.0471816	0.051376	0.0317172	0.035276	0.0497163	0.0111411	0.0521992
u	0.0342528	0.0303252	0.41025	0.165524	0.0269637	0.15107	0.0319785	0.0301227	0.0122067	0.0196259	0.0876809
é	0.133601	0.0272848	0.300786	0.21307	0.0178856	0.133221	0.0236367	0.0329391	0.0415852	0.0208178	0.0551727
é	0.0196037	0.00715096	0.244983	0.206899	0.215149	0.218936	0.0347542	0.0214181	0.0149108	0.00382962	0.0123666
d	0.0182446	0.00832496	0.111691	0.137804	0.170583	0.417532	0.0875264	0.0283333	0.00926594	0.00507193	0.00562368
í	0.00382628	0.000916666	0.175425	0.11763	0.042866	0.198125	0.0593187	0.144785	0.0317281	0.0298969	0.195483
i	0.00666629	0.00133351	0.0680901	0.106237	0.13407	0.194978	0.14438	0.147634	0.0977306	0.0174858	0.0813936
b	0.00611564	0.00566309	0.0189601	0.0512232	0.137122	0.291423	0.2991	0.0894738	0.0163389	0.0376952	0.0468858
h	0.00283373	0.00801364	0.0427042	0.104807	0.231846	0.132174	0.248779	0.0937737	0.0267928	0.0605803	0.0476961
ώ	0.00181132	0.0135494	0.0187942	0.0757824	0.444902	0.123114	0.20269	0.0700897	0.00646829	0.00703244	0.0357673
ω	0.000598337	0.00368029	0.0260975	0.113766	0.345949	0.155111	0.17206	0.11852	0.0208275	0.00308412	0.0403072
l	0.00290659	0.00126006	0.0144857	0.0353813	0.107702	0.103973	0.153968	0.433899	0.0970123	0.00805691	0.0413558
á	0.0126597	0.0148407	0.0384456	0.0455074	0.0889716	0.144689	0.221155	0.238855	0.0740236	0.0116676	0.109185
k	0.00747981	0.00229951	0.00595472	0.00879376	0.0202455	0.0502451	0.122958	0.173254	0.265835	0.306233	0.0367013
y	0.000750885	0.00961721	0.00568787	0.0190368	0.0666438	0.125394	0.530692	0.163982	0.0247424	0.0264984	0.0269544
έ	0.00110988	0.00484009	0.00176296	0.0120113	0.0700559	0.0826982	0.563153	0.168893	0.0383	0.0190534	0.0381218
r	0.000457634	0.0038602	0.00342887	0.0270237	0.282837	0.0798742	0.379228	0.129329	0.0369119	0.0029787	0.0540713
ε	0.00186374	0.0119992	0.0113813	0.0714038	0.105936	0.13882	0.381213	0.191442	0.0419253	0.00339685	0.0406181
l	0.00153316	0.000795972	0.00438029	0.00421314	0.00253065	0.0485707	0.0424189	0.307695	0.289536	0.0922873	0.206038
a	0.00727303	0.00506176	0.0201562	0.0185864	0.0195025	0.0392708	0.0925927	0.370878	0.204033	0.0233811	0.199264
a	0.00304394	0.000996319	0.00394027	0.00456608	0.00639881	0.0137916	0.0378543	0.134356	0.630741	0.0925826	0.071729
y	0.00559743	0.00768176	0.0413097	0.0260604	0.045433	0.0318518	0.0540336	0.211744	0.328968	0.135598	0.111722
ú	0.000819385	0.00206256	0.0116798	0.0156297	0.00762334	0.0398748	0.0662353	0.100371	0.430512	0.0937453	0.231448
r	0.000362219	0.000122526	0.00121575	0.00228959	0.000772579	0.00635123	0.0137723	0.101975	0.296379	0.0154192	0.561341
u	0.00105119	0.00042131	0.00193442	0.0166326	0.00956179	0.0338398	0.0978202	0.23412	0.405384	0.0297485	0.169487
</S>	0.000668465	0.000156788	0.00191973	0.00283917	0.00609185	0.0116103	0.02738	0.151842	0.274074	0.0401045	0.483313
