 	l'	enfant	suce	la	canne	à	sucre	</S>
m	0.905878	0.0885608	0.000241894	0.000347069	0.000502752	0.00146309	0.00284841	0.000157588
w	0.0188199	0.96662	0.00795246	0.00206693	0.00231543	0.00131058	3.30581e-06	0.000910945
á	0.0148172	0.985026	4.20767e-05	1.73709e-05	8.36846e-05	6.15869e-06	2.4416e-06	5.50736e-06
n	0.0887503	0.908843	0.000106837	0.000115904	0.000322739	8.24456e-05	7.92713e-06	0.00177091
a	0.0489823	0.910863	0.00744506	0.000976545	0.00133449	0.00105916	5.52727e-05	0.0292842
l	0.652807	0.0621726	0.106031	0.038863	0.0190971	0.0689535	0.0197558	0.0323206
á	0.156941	0.0954363	0.0826026	0.0813824	0.0278733	0.0613871	0.00346305	0.490914
a	0.149549	0.112777	0.392566	0.158645	0.0457081	0.0476805	0.0154331	0.0776417
b	0.00922202	0.0212569	0.803072	0.0740683	0.0186575	0.00434995	0.0262864	0.0430868
h	0.00290793	0.00140949	0.824106	0.119755	0.0153678	0.0014401	0.00516568	0.0298473
í	0.002539	0.00238173	0.819087	0.135471	0.0196713	0.00165582	0.00134785	0.0178471
b	0.000968974	0.00431628	0.384179	0.413155	0.1062	0.0197338	0.00607461	0.0653724
h	0.00187312	0.000834359	0.0813954	0.567094	0.275395	0.0285783	0.00618195	0.0386476
á	0.00180232	0.00275415	0.0231572	0.402928	0.445719	0.0432115	0.00285412	0.0775735
o	0.00641058	0.00368028	0.00679693	0.39783	0.34415	0.212322	0.00279641	0.0260133
k	0.00158517	0.00134098	0.00550064	0.077046	0.324345	0.18165	0.35472	0.0538121
o	0.00014782	7.51185e-05	0.00164532	0.0122498	0.0367285	0.0160298	0.911862	0.0212617
o	0.000322011	0.000104054	0.00309541	0.0219762	0.0391764	0.0502235	0.79538	0.0897226
</S>	0.000933286	0.000209322	0.00131987	0.0364535	0.0687508	0.222038	0.0369508	0.633344
