 	les	enfants	sont	en	train	de	cueillir	les	mangues	</S>
b	0.310002	0.584718	0.0458424	0.0281334	0.0222685	0.00247751	1.97365e-05	0.00409054	0.00227042	0.000177386
á	0.0682031	0.847232	0.0373006	0.0385303	0.00751891	0.000211054	6.2742e-06	0.000638073	0.000283509	7.56229e-05
n	0.0342277	0.898931	0.0104113	0.0355429	0.0201413	4.62874e-05	8.31049e-06	3.86763e-05	0.000628484	2.35586e-05
a	0.0629917	0.899962	0.0220669	0.00731013	0.00236938	0.000558323	4.07308e-05	0.000223174	0.00291145	0.00156578
b	0.0680965	0.0360265	0.580926	0.251874	0.0268877	0.0214625	0.00137825	0.00670032	0.000277574	0.0063714
o	0.0588056	0.0546494	0.331762	0.384125	0.0696724	0.0572108	0.000145481	0.0118995	0.00435497	0.027375
b	0.00904903	0.00396264	0.221661	0.495215	0.194692	0.0437261	0.0149199	0.00597341	0.000517963	0.0102832
á	0.422786	0.0710274	0.232373	0.0936456	0.0446039	0.105845	0.00346499	0.0155989	0.000556232	0.0100999
a	0.102414	0.121583	0.178319	0.227641	0.299689	0.0415971	0.00304904	0.0120479	0.00144921	0.012211
t	0.00163525	0.000314349	0.0228578	0.00955416	0.00825572	0.503479	0.396795	0.00837172	0.00254991	0.0461874
ú	0.000793594	5.86103e-05	0.00467166	0.001758	0.000526273	0.0181126	0.966887	0.00175139	0.000361402	0.00507907
s	0.0067815	0.000686513	0.0059296	0.00340776	0.000519794	0.0268915	0.92309	0.0125824	0.000157115	0.0199537
á	0.0287432	0.000964915	0.020869	0.0045072	0.000728917	0.168235	0.637722	0.109841	0.000307224	0.0280807
a	0.00515802	0.00292945	0.00626099	0.0107569	0.0171287	0.0763044	0.0917408	0.662425	0.116624	0.010672
m	0.0169765	0.00164692	0.00508454	0.00231875	0.00210049	0.0428217	0.133377	0.216558	0.53216	0.046957
b	0.00427185	0.000215332	0.00159932	0.00117259	0.00235433	0.00339182	0.0033749	0.0267498	0.940984	0.0158857
á	3.29227e-05	4.28045e-05	1.53086e-05	5.13369e-05	0.000175504	1.16664e-05	0.00163465	9.46308e-05	0.997256	0.000685181
n	0.00131825	0.000366177	0.000217645	0.000581704	0.00404715	0.000149634	0.00137335	0.00301697	0.979428	0.00950128
g	0.015876	0.0115699	0.0153872	0.0212964	0.0102655	0.019058	0.00368392	0.0611764	0.814106	0.0275809
é	0.00989659	0.0146452	0.00524069	0.00727623	0.00407292	0.0033788	0.00998624	0.0134722	0.893091	0.03894
</S>	0.00138103	0.000189669	0.00354714	0.00394532	0.00205606	0.0325347	0.00580016	0.159142	0.0523052	0.739099
