 	la	pluie	tombe	à	gouttes	fines	</S>
m	0.576279	0.3996	0.018052	0.00452703	0.00138161	0.000114438	4.59308e-05
v	0.0362601	0.812644	0.119753	0.0198464	0.00823792	0.000993411	0.00226519
ú	0.0126843	0.941166	0.0435472	0.00144847	4.90511e-06	0.00114301	6.49117e-06
á	0.226351	0.678636	0.0659376	0.013672	0.00188489	0.00677892	0.00673928
b	0.0836122	0.061383	0.407893	0.275335	0.0925725	0.00291555	0.0762888
ó	0.0847699	0.0467184	0.144623	0.269578	0.140445	0.00166967	0.312197
l	0.0638752	0.0296601	0.205534	0.202439	0.435433	0.0027504	0.0603086
á	0.0754546	0.0230892	0.209572	0.264517	0.122032	0.00913816	0.296198
a	0.270025	0.0475283	0.176228	0.273166	0.11093	0.0299059	0.0922157
m	0.00954888	0.0178931	0.11053	0.0664077	0.0775279	0.675427	0.0426659
w	0.00180835	0.00453013	0.0145942	0.0139649	0.0190687	0.933785	0.0122488
a	0.00107443	0.00472775	0.04408	0.0667257	0.0131782	0.824151	0.0460628
n	0.000967886	0.00140885	0.0204165	0.0590569	0.0186707	0.191623	0.707856
y	0.0399976	0.0436855	0.0486361	0.304467	0.0201684	0.105876	0.437169
a	0.0066144	0.00863199	0.0119262	0.107138	0.0208406	0.124632	0.720216
a	0.0048812	0.00460364	0.0148254	0.155316	0.170316	0.00976303	0.640294
</S>	0.053381	0.0128941	0.0220489	0.0604081	0.015935	0.00422647	0.831107
