 	les	pygmées	sont	de	courte	taille	</S>
a	0.678284	0.247923	0.0579148	0.00444432	0.0111945	0.000143407	9.58888e-05
t	0.0712687	0.874717	0.0387001	0.00543655	0.00617917	0.00277151	0.000926829
s	0.0166319	0.923469	0.0448643	0.00606627	0.000686793	0.00595764	0.00232456
w	0.0298234	0.896613	0.050553	0.0111869	0.00221172	0.00135444	0.00825763
á	0.20492	0.537934	0.0749568	0.0394604	0.00675714	0.00971679	0.126255
a	0.098135	0.220221	0.455397	0.0740214	0.0257938	0.00480734	0.121624
d	0.0699986	0.114316	0.411425	0.276906	0.0837451	0.00961986	0.0339887
í	0.0495907	0.0380938	0.199441	0.400588	0.00421583	0.00487681	0.303194
a	0.02681	0.0128124	0.08919	0.336431	0.240957	0.0572089	0.23659
k	0.0219329	0.00962577	0.0535733	0.334156	0.447918	0.0938654	0.0389286
ú	0.000919973	0.00340551	0.00700162	0.11035	0.546178	0.278485	0.0536598
l	0.00615228	0.0127252	0.0257904	0.132535	0.541854	0.145445	0.135498
ú	0.065814	0.0815048	0.0554672	0.331565	0.189088	0.121566	0.154995
a	0.00930192	0.00177959	0.0743633	0.181753	0.548228	0.0602889	0.124285
k	0.0173712	0.00996155	0.047631	0.214908	0.161097	0.485403	0.0636285
ú	0.000405469	0.000644289	0.00195684	0.0286976	0.391761	0.487318	0.0892165
l	0.00190743	0.000654175	0.00772703	0.0598071	0.403678	0.255932	0.270294
ú	0.00525514	0.00821382	0.0194724	0.140138	0.162297	0.408322	0.256302
</S>	0.0145191	0.00148022	0.00729691	0.060807	0.136269	0.292466	0.487161
