 	ii	a	dénoué	la	corde	avec	laquelle	on	avait	attaché	le	cabri	</S>
w	0.914171	0.00305929	0.000858924	0.017072	0.0191327	0.029574	0.00178153	0.00290273	0.00235981	0.00444221	0.00328958	0.00122179	0.000134779
a	0.966364	0.00494236	0.000306869	0.0138288	0.00635795	0.00286845	9.28159e-05	0.000318457	0.00163197	0.000508015	0.000412805	0.00235655	1.08441e-05
á	0.043393	0.172457	0.707158	0.0124486	0.00648842	0.0104968	0.00272849	0.00904138	0.00860135	0.0150273	0.0103114	0.000733828	0.00111436
p	0.0343716	0.235419	0.58966	0.0156344	0.0175949	0.010009	0.00567607	0.0201064	0.0224368	0.0126097	0.0100381	0.00128832	0.0251555
f	0.00279707	0.0892035	0.772685	0.0455809	0.021547	0.00717325	0.00929361	0.00722734	0.00955598	0.0112273	0.00437925	0.000714581	0.0186154
ú	0.00386546	0.127794	0.704901	0.0783379	0.0301528	0.0116498	0.00375151	0.00990715	0.00610571	0.0147317	0.00493171	0.000281031	0.00359033
s	0.00213457	0.0482783	0.669731	0.163118	0.0517821	0.00969205	0.00214639	0.00214068	0.00177575	0.00740518	0.00270998	0.00274181	0.0363439
u	0.000206841	0.0493737	0.91203	0.0178438	0.0132318	0.00171058	2.38205e-05	0.00091711	0.00117265	0.00146393	0.000822355	0.000470517	0.000733191
i	0.00284319	0.102666	0.0797028	0.167928	0.444355	0.135196	0.0167644	0.022007	0.00935691	0.00394963	0.00444326	0.00421361	0.00657358
k	0.00153956	0.0190135	0.0274484	0.412171	0.202133	0.0952773	0.159461	0.0183259	0.0128368	0.0294376	0.0118336	0.00287818	0.00764528
í	4.15366e-05	0.00137821	0.00297538	0.102716	0.0518242	0.106315	0.682322	0.0149722	0.00168657	0.0245044	0.00443634	0.000259518	0.00656901
é	4.10197e-05	0.00137391	0.00524633	0.0348027	0.0332454	0.132152	0.731908	0.0164964	0.00430394	0.0129689	0.00263294	0.00143918	0.0233893
l	0.000283071	0.0132962	0.00514052	0.0874405	0.139026	0.357661	0.197704	0.144213	0.0229691	0.0124299	0.0104571	0.00039191	0.00898777
í	0.00118152	0.0193945	0.0151129	0.10323	0.208665	0.16397	0.101677	0.148331	0.0668691	0.0353254	0.0140325	0.00227529	0.119936
í	0.00107413	0.0131168	0.015728	0.0731303	0.174446	0.241877	0.0980132	0.266427	0.0426295	0.0220478	0.0250863	0.00214842	0.0242756
k	0.00104396	0.020906	0.0580175	0.0290447	0.0219907	0.0159054	0.0875914	0.252736	0.176518	0.266694	0.047778	0.00116189	0.0206116
a	2.97381e-05	0.00210247	0.00400157	0.0239604	0.00391798	0.0112806	0.359492	0.104684	0.056152	0.375355	0.0335135	0.000482359	0.0250286
n	1.8796e-05	0.00238822	0.00577769	0.0221479	0.00886525	0.0402263	0.477582	0.0835305	0.0320867	0.260286	0.0139181	0.00189019	0.0512821
g	0.000311049	0.00952465	0.00425741	0.0339821	0.0810212	0.0890418	0.172412	0.248298	0.135824	0.149247	0.0238825	0.00349585	0.0487028
í	0.000390151	0.00585782	0.00210469	0.0539454	0.145012	0.182412	0.0861046	0.255241	0.0622107	0.0579478	0.0144532	0.00608972	0.128231
b	0.000385455	0.00560175	0.00244295	0.0185267	0.00757081	0.0190765	0.0109505	0.405032	0.286898	0.126271	0.0774824	0.0044534	0.0353091
á	0.000763654	0.00154594	0.000360059	0.0219074	0.00882226	0.0417713	0.147505	0.131233	0.3555	0.124414	0.0900764	0.00491429	0.0711863
a	0.00067781	0.00217768	0.000730322	0.0198954	0.0122174	0.0490852	0.0826755	0.126597	0.403312	0.103418	0.0503216	0.0199115	0.128981
m	0.00023823	0.00340514	0.00240675	0.00879548	0.00330458	0.00879439	0.0117266	0.107307	0.319982	0.210061	0.25778	0.0131632	0.0530352
b	0.000145351	0.00136908	0.000692223	0.0014049	0.0010165	0.00161606	0.000130203	0.000828934	0.00484198	0.00553861	0.07022	0.883377	0.0288193
ó	4.02778e-05	4.35575e-05	2.53352e-05	0.000450445	0.00096269	0.000554422	0.000129738	0.000475065	0.0021553	0.00541316	0.0253218	0.958325	0.00610342
s	2.09248e-05	0.000634686	9.64165e-05	0.000188113	0.000216068	0.00118131	0.00200306	0.00159068	0.0110403	0.0213165	0.0473185	0.849945	0.0644489
i	0.000124816	0.000680865	0.000761999	0.00542461	0.0103162	0.00791778	0.00151775	0.0150846	0.0475244	0.147971	0.27379	0.249026	0.23986
</S>	7.44494e-05	0.00132063	0.000452088	0.00298243	0.00246478	0.00667801	0.00311582	0.0711777	0.0802068	0.0800842	0.202539	0.0635126	0.485392
