 	c'	est	de	l'	argile	dont	on	se	sert	pour	boucher	les	trous	des	pirogues	</S>
é	0.297849	0.257625	0.120122	0.0726175	0.0282069	0.0512191	0.104557	0.0321014	0.0127867	0.0127459	0.000478781	0.00431072	0.00118564	0.00308991	0.000984006	0.000120646
d	0.141315	0.422713	0.0572566	0.0288914	0.12273	0.0164255	0.0278783	0.0596078	0.0945059	0.010696	0.00468556	0.005189	0.00131539	0.00471098	0.00192772	0.000152507
i	0.10857	0.388695	0.095993	0.105305	0.14816	0.0155352	0.0377955	0.0344937	0.0520919	0.00350477	0.000260691	0.00148608	0.00068345	0.00123815	0.000206115	0.00598166
o	0.0222273	0.103317	0.317302	0.215638	0.0497662	0.0240596	0.0261754	0.0236944	0.0325671	0.0423211	0.00264891	0.0160539	0.00751014	0.0118988	0.00146187	0.103359
t	0.0369714	0.158092	0.310246	0.186028	0.153725	0.013638	0.00600845	0.00964439	0.031918	0.0340281	0.0251343	0.00332828	0.00300563	0.00275642	0.00238536	0.0230892
ú	0.00845829	0.0578039	0.100777	0.105284	0.353178	0.0687851	0.0154601	0.0123633	0.0321069	0.0133107	0.139304	0.0139983	0.00598749	0.00300349	0.00716162	0.0630178
ú	0.00584141	0.0453062	0.0631077	0.170823	0.547899	0.00762723	0.0032667	0.01487	0.0107931	0.00668463	0.0568185	0.00989506	0.00483036	0.00367474	0.00160802	0.0469547
g	0.044346	0.031251	0.258826	0.300073	0.105429	0.0849987	0.030878	0.0243178	0.012249	0.0287556	0.00141618	0.0127069	0.0106911	0.00820979	0.000454387	0.0453982
h	0.0216878	0.0336923	0.157026	0.310341	0.179996	0.150033	0.0442874	0.0129903	0.00904992	0.0113675	0.0013478	0.0138691	0.0149103	0.00577006	0.000866155	0.0327657
á	0.0446945	0.0308076	0.121426	0.493665	0.146833	0.0914923	0.0206625	0.0250433	0.00225602	0.00274997	0.000342562	0.00364274	0.00265094	0.00414387	0.000117589	0.00947255
m	0.0334645	0.0122882	0.0699162	0.130926	0.0843395	0.244895	0.210847	0.122064	0.0406522	0.0260014	0.00390959	0.00522101	0.00363036	0.00492964	0.00163489	0.00528097
ó	0.0203619	0.0082303	0.0424498	0.090138	0.118318	0.124065	0.174618	0.217641	0.0760627	0.0575715	0.00157435	0.00869861	0.00671985	0.00603893	0.00108477	0.0464259
ó	0.0140718	0.0179682	0.0347943	0.0746591	0.0557038	0.0562917	0.18421	0.266765	0.219461	0.0444889	0.0108006	0.00529461	0.00267389	0.00235577	0.00375362	0.00670753
d	0.0022829	0.00557411	0.00689074	0.00532495	0.00355553	0.0101181	0.0978653	0.21546	0.548508	0.0796298	0.0052688	0.00368225	0.00488985	0.00401426	0.00575562	0.00117965
i	0.0024845	0.00487636	0.0074097	0.00796914	0.00444553	0.0267045	0.226135	0.222865	0.355923	0.0472596	0.00326978	0.0147358	0.0137582	0.0242159	0.00145258	0.0364956
b	0.00453615	0.00524197	0.0737121	0.0609984	0.00409686	0.0344555	0.183856	0.19947	0.132373	0.184435	0.0137134	0.0368146	0.0154309	0.0420515	0.00254995	0.00626452
á	0.00156557	0.00513387	0.0134911	0.0383215	0.0306568	0.0649011	0.309449	0.128185	0.15106	0.0316801	0.0685276	0.0837367	0.0529213	0.00449061	0.0124767	0.00340273
a	0.00133041	0.00281404	0.018362	0.0541242	0.0732808	0.108256	0.161915	0.0700505	0.0875224	0.0822426	0.116067	0.121327	0.0575392	0.00795963	0.00928734	0.0279214
k	0.00124385	0.00137364	0.00619896	0.00503494	0.00382567	0.0168288	0.11431	0.092713	0.0488084	0.37138	0.0726676	0.11519	0.0490084	0.0602697	0.0234052	0.0177419
a	0.000108799	0.00173844	0.00401499	0.0022453	0.000832078	0.00211898	0.0214788	0.023991	0.0685944	0.0303887	0.757273	0.0417491	0.0255709	0.00395409	0.0105515	0.00539031
n	0.000134663	0.000521005	0.00157974	0.000937208	0.00142115	0.00232778	0.0191458	0.021018	0.0461445	0.045298	0.633151	0.100919	0.0534845	0.00844144	0.0384166	0.027059
g	0.000837494	0.00229492	0.00674016	0.00636943	0.00251474	0.0149159	0.0521128	0.0536814	0.0201231	0.117725	0.40913	0.172805	0.0553873	0.0281679	0.013165	0.0440304
á	0.00168153	0.00289716	0.0085222	0.0257814	0.0559059	0.284915	0.164	0.0650676	0.00589104	0.0387508	0.140592	0.0816196	0.021746	0.0107608	0.00854965	0.0833198
a	0.00150463	0.00108428	0.00444976	0.00433577	0.00264564	0.00753101	0.035213	0.03909	0.00655876	0.0957515	0.0780976	0.215705	0.1552	0.195412	0.0828388	0.074582
b	0.00249964	0.00280619	0.00750924	0.00382764	0.00222751	0.00872384	0.0313639	0.0381138	0.0218663	0.0478531	0.0597454	0.10886	0.225799	0.298227	0.116402	0.0241751
h	0.000324797	0.00266663	0.0084766	0.00366489	0.00126528	0.00267719	0.0213668	0.0338284	0.02009	0.0184843	0.0908966	0.146293	0.222392	0.0872938	0.313762	0.0265178
ó	0.000259072	0.000592695	0.00479257	0.00296877	0.00044521	0.00151718	0.00938773	0.0149577	0.0108407	0.0226393	0.0875249	0.156574	0.200943	0.0486793	0.369174	0.0687027
l	0.000145277	0.000384353	0.00120205	0.00138178	0.000984108	0.00359392	0.018585	0.0218344	0.00716028	0.0258056	0.119608	0.128915	0.156309	0.117706	0.27469	0.121696
á	0.000304056	0.000741278	0.00257835	0.00242326	0.00210383	0.00356499	0.00912361	0.00917945	0.00603648	0.0336769	0.336429	0.139519	0.0994853	0.11166	0.12208	0.121094
m	0.00168883	0.000636089	0.00537519	0.00990257	0.00191476	0.012581	0.0250607	0.0279719	0.00237875	0.0140159	0.0191689	0.108639	0.10176	0.156302	0.342658	0.169947
á	0.00682038	0.0141228	0.0520003	0.0457463	0.0116971	0.0125872	0.0352304	0.115742	0.0204763	0.0215363	0.00746129	0.0305847	0.106206	0.270573	0.0857274	0.163489
b	0.00167287	0.00133065	0.0161611	0.0292896	0.00520163	0.0277668	0.0453588	0.0409856	0.002964	0.0172574	0.00739236	0.0876879	0.0697671	0.153315	0.396928	0.0969213
v	0.000325936	0.00462572	0.00815362	0.00599887	0.00048048	0.00203313	0.0313585	0.0200342	0.00634412	0.0055459	0.00970306	0.0474677	0.119199	0.049787	0.682615	0.00632727
á	4.68389e-05	7.05302e-05	0.000903119	0.000777806	9.2655e-05	0.000225309	0.00104934	0.000890308	0.000381487	0.00139239	0.00306577	0.0224162	0.0415052	0.00906999	0.912663	0.00545021
r	0.000237191	0.000473034	0.00342601	0.00827981	0.00101127	0.00375466	0.0108284	0.0101795	0.00141186	0.00262708	0.00677886	0.0684294	0.155751	0.0314983	0.499918	0.195395
e	0.000676628	0.00108638	0.00495545	0.01031	0.0321412	0.02129	0.00998375	0.00515978	0.00100788	0.0134857	0.157164	0.208619	0.101619	0.0817081	0.121623	0.229171
</S>	0.00126886	0.000986809	0.00303493	0.0041904	0.00586519	0.00856111	0.0131476	0.0185776	0.00134828	0.0160606	0.0260923	0.126207	0.0953766	0.122178	0.0865544	0.47055
