 	le	paon	congolais	chante	fort	dans	la	forêt	</S>
k	0.553609	0.405153	0.0287138	0.00473057	0.00126551	0.00307083	0.00222107	0.00117288	6.37677e-05
ú	0.344965	0.59204	0.0239065	0.00487647	0.00211815	0.00226993	0.00395161	0.0231258	0.00274652
l	0.0514063	0.203706	0.606857	0.00712958	0.0576539	0.013629	0.00629421	0.0441313	0.00919241
ε	0.144987	0.453327	0.214854	0.0180161	0.0311492	0.0268785	0.0289311	0.042068	0.0397887
n	0.444036	0.398233	0.0922451	0.0141999	0.00700871	0.0144193	0.00473069	0.000986416	0.0241409
g	0.205173	0.590888	0.0777241	0.0466367	0.00605571	0.00729035	0.0132928	0.0010389	0.0519005
ú	0.22127	0.586624	0.0923846	0.0930359	0.000949774	0.000837554	0.0021257	0.000251724	0.00252082
l	0.136044	0.155413	0.504164	0.109241	0.0169484	0.0231681	0.0208938	0.0021922	0.0319352
á	0.116534	0.208495	0.410812	0.0643467	0.0506191	0.0396921	0.0172681	0.0026247	0.0896084
a	0.182093	0.0879799	0.490027	0.121654	0.0459654	0.0281355	0.0149194	0.00607996	0.0231458
y	0.0159863	0.0304298	0.46716	0.405636	0.0519514	0.0189671	0.0027193	0.00122087	0.00592892
é	0.0404581	0.0266826	0.620763	0.259757	0.0170962	0.0128059	0.00613317	0.000933868	0.0153705
m	0.0301888	0.0165796	0.507648	0.170478	0.0148705	0.0469499	0.0369201	0.00372108	0.172644
b	0.0242103	0.0116012	0.56245	0.235053	0.0645627	0.0506547	0.0255564	0.000676871	0.0252343
á	0.121338	0.0995495	0.293096	0.104979	0.0407714	0.113435	0.05099	0.00765744	0.168185
l	0.0198351	0.0269898	0.19584	0.3765	0.269033	0.0610665	0.0251018	0.00682789	0.0188065
a	0.004312	0.00520238	0.0494506	0.126323	0.370988	0.116849	0.0800489	0.0158547	0.230971
p	0.0119606	0.00519136	0.0716126	0.276767	0.524409	0.0338132	0.0245386	0.0325827	0.019125
á	0.00649986	0.00400798	0.12259	0.0453966	0.727578	0.0193957	0.00629306	0.0585975	0.00964078
m	0.00135553	0.00123182	0.0361855	0.0554561	0.648921	0.0744856	0.0282569	0.0695448	0.0845627
i	0.0137441	0.00306382	0.0484571	0.173771	0.370753	0.148387	0.170891	0.0141983	0.0567349
s	0.00142774	0.00102903	0.00424795	0.0285568	0.207972	0.336994	0.279479	0.0610887	0.0792041
ó	0.0114307	0.0051697	0.0481301	0.0838109	0.199563	0.111581	0.236362	0.0695767	0.234376
k	0.0100168	0.00329505	0.0199261	0.0508951	0.0653795	0.0564667	0.17936	0.529789	0.0848719
o	0.000417241	0.000330574	0.00188267	0.00043026	0.00801367	0.0127998	0.0104289	0.95309	0.0126073
n	0.000993998	0.000401273	0.0131299	0.00911183	0.0762987	0.0948487	0.0311274	0.733422	0.0406657
d	0.00390232	0.00417388	0.00912832	0.0126016	0.0362355	0.102951	0.234174	0.33924	0.257593
a	0.00303572	0.00654173	0.0090247	0.0333662	0.0205274	0.042413	0.141826	0.35504	0.388225
</S>	0.00113065	0.00165813	0.000929243	0.0110762	0.022747	0.0806944	0.181769	0.18783	0.512166
