 	il	joue	de	la	harpe	</S>
w	0.915071	0.0598703	0.0115794	0.0122688	0.000873018	0.000337459
a	0.904635	0.0585225	0.00819922	0.0262948	0.00221655	0.000131356
l	0.212102	0.636106	0.106704	0.0239972	0.00142253	0.0196679
á	0.0858728	0.342356	0.285802	0.063947	0.0102322	0.21179
a	0.111964	0.314866	0.340812	0.111389	0.0607665	0.0602024
b	0.0105333	0.733208	0.224414	0.0175725	0.00494086	0.0093311
έ	0.0225832	0.720973	0.225739	0.0177064	0.00307532	0.00992292
r	0.011851	0.123824	0.671207	0.113935	0.0193211	0.0598623
έ	0.180378	0.100012	0.50944	0.134914	0.016004	0.0592529
l	0.0223644	0.0285604	0.168453	0.685499	0.0761975	0.0189248
e	0.0111099	0.0225415	0.201177	0.531553	0.160172	0.0734473
n	0.00142185	0.00570435	0.0447711	0.187455	0.729281	0.0313672
d	0.000150211	0.000782924	0.0116005	0.0851913	0.861829	0.0404465
ú	7.8212e-05	0.000358033	0.0139441	0.0656868	0.849767	0.0701658
m	0.000143852	0.000270703	0.00291677	0.00523491	0.940207	0.0512273
a	0.0142338	0.00391896	0.0589125	0.0696915	0.140982	0.712262
</S>	0.00159437	0.00547817	0.119247	0.154917	0.042461	0.676303
