 	nous	avons	besoin	d'	eau	</S>
b	0.694103	0.258728	0.00755827	0.0385268	0.000797588	0.000286197
í	0.967135	0.0235393	0.000242513	0.00590998	0.00298603	0.000187071
s	0.988651	0.00592555	0.000301946	0.000360094	0.0046796	8.14068e-05
í	0.972395	0.013752	0.000662451	0.00307674	0.00599856	0.00411537
l	0.0146883	0.360985	0.122125	0.0308815	0.00660975	0.464711
é	0.0176431	0.168394	0.0473829	0.10887	0.021225	0.636486
e	0.0021353	0.787391	0.153774	0.0230612	0.00607794	0.0275602
d	0.0012132	0.33234	0.647055	0.00411545	0.00173908	0.0135369
z	0.0018674	0.120807	0.870924	0.00219347	0.00056729	0.00364088
e	0.0774817	0.304093	0.598016	0.00634688	0.00852362	0.00553901
e	0.00114669	0.0381092	0.905333	0.0182866	0.00182294	0.0353015
n	0.000962286	0.0790088	0.226489	0.642031	0.0153879	0.0361211
g	0.0623084	0.042702	0.0369469	0.629333	0.145947	0.0827618
á	0.360753	0.0307416	0.0134291	0.387787	0.119364	0.0879249
m	0.00344473	0.00698487	0.0203424	0.760133	0.175592	0.0335031
ó	0.00707908	0.00110174	0.00160901	0.0714354	0.767448	0.151327
m	0.00932101	0.0113434	0.0428307	0.22725	0.539238	0.170017
á	0.0028089	0.00260173	0.00143043	0.0136535	0.904529	0.0749761
a	0.00428616	0.0106941	0.00983131	0.153587	0.443926	0.377676
</S>	0.00100025	0.003884	0.0105156	0.0513299	0.168508	0.764762
