 	le	petit	oiseau	enzembe	chantait	non	loin	de	la	champignonnière	où	nous	avons	ramassé	les	champignons	</S>
e	0.493363	0.341206	0.100391	0.0334747	0.00650119	0.00377777	0.000814068	0.00264969	0.00725735	0.00123804	0.00235072	0.00354408	0.00189042	2.604e-05	0.00123557	0.000221364	5.92539e-05
n	0.114866	0.216525	0.0469446	0.542664	0.0036843	0.0044544	0.012246	0.00764408	0.0117794	0.0159903	0.00124873	0.000747065	0.00331614	0.00148572	0.00284858	0.0121285	0.00142683
d	0.121854	0.35826	0.108757	0.275301	0.0235947	0.00203352	0.00270307	0.0101763	0.0136594	0.0340992	0.0338509	0.00372006	0.00213317	0.00303042	0.00366257	0.000190785	0.0029736
z	0.0883991	0.226902	0.220416	0.373701	0.0116095	0.00188398	0.00110515	0.00181266	0.00276632	0.0203843	0.0184982	0.00689745	0.002384	0.0124456	0.00327221	0.000471984	0.00705128
é	0.0961951	0.289063	0.0645515	0.515929	0.0102497	0.000447951	0.000632485	0.00294141	0.00432632	0.00587541	0.00341988	0.000187618	0.000298473	0.00196561	0.000699344	0.000345931	0.00287201
m	0.0840697	0.17867	0.108202	0.56414	0.00693119	0.000537931	0.00272725	0.0034095	0.00379859	0.0128555	0.00157785	0.000201846	0.000229624	0.0033249	0.00108428	0.000407676	0.0278315
b	0.170838	0.327697	0.0896661	0.30714	0.0345842	0.00373932	0.000987826	0.00573526	0.0119686	0.00574692	0.0242606	0.00161082	0.00195121	0.00043647	0.00125262	0.000342151	0.0120428
é	0.280132	0.204624	0.0457887	0.327396	0.0311274	0.002529	0.00247067	0.00486545	0.00861583	0.00508275	0.011157	0.00682966	0.00217803	0.00301817	0.00811928	0.00195851	0.0541074
é	0.132442	0.213715	0.171377	0.103164	0.111744	0.0678749	0.0103755	0.0197188	0.0142524	0.00958281	0.0183318	0.00495694	0.0321598	0.010605	0.0219562	0.0039962	0.0537467
d	0.0513298	0.117921	0.099148	0.194465	0.168504	0.0817603	0.0789481	0.0286072	0.0147673	0.0177972	0.0084682	0.00217853	0.0237274	0.0216068	0.0303051	0.00696625	0.0535004
z	0.0040636	0.00715791	0.00919234	0.675727	0.0908376	0.0122506	0.0785352	0.0155229	0.00657606	0.00954573	0.00202254	0.000172485	0.00197193	0.0084239	0.00568204	0.00164927	0.0706686
e	0.00622173	0.00955593	0.00610709	0.888913	0.0637818	0.00386275	0.0111336	0.00239783	0.00199013	0.00194991	0.000857312	7.99432e-05	0.0012107	0.000426255	0.000104557	0.000145877	0.00126203
y	0.0116367	0.0142765	0.0339545	0.44025	0.171196	0.101222	0.0445705	0.0414201	0.0412495	0.0162932	0.010725	0.00223391	0.00494742	0.00412231	0.00775393	0.00695003	0.0471989
é	0.00838771	0.0229448	0.0356542	0.378558	0.334131	0.0323974	0.0119157	0.022276	0.0216937	0.029919	0.0387497	0.0015095	0.00772661	0.0131065	0.00601242	0.0104058	0.0246116
e	0.00922967	0.0154027	0.0635869	0.167803	0.433339	0.0583587	0.0173581	0.0302094	0.0285466	0.0313155	0.0447377	0.003997	0.0098637	0.0137888	0.0178484	0.00462445	0.04999
y	0.00358176	0.00575744	0.00865318	0.0670711	0.486485	0.200947	0.0462574	0.0343939	0.0175231	0.0299661	0.00606014	0.000630449	0.00318841	0.0161287	0.00600077	0.0115062	0.0558497
é	0.00155465	0.00475353	0.0215426	0.108023	0.588561	0.0494461	0.0316587	0.0265742	0.0175188	0.0308174	0.013733	0.000811295	0.00682342	0.0476398	0.0046365	0.00657582	0.0393301
m	0.0010326	0.0020895	0.00554347	0.0382089	0.361697	0.0551264	0.0955836	0.0487867	0.0325779	0.0484817	0.0177186	0.00186245	0.00660785	0.031658	0.0136194	0.00630501	0.233101
b	0.00369464	0.00594873	0.00693965	0.059789	0.596899	0.104243	0.0484506	0.0695921	0.0626322	0.00948876	0.0164711	0.000551207	0.00238182	0.00106762	0.00150014	0.0011377	0.00921216
á	0.0137841	0.0168104	0.00629975	0.248686	0.341112	0.0244293	0.0502576	0.0433107	0.0444052	0.0196939	0.0133704	0.00351655	0.0018821	0.00327342	0.00474377	0.00225989	0.162165
o	0.0040922	0.00496492	0.0181936	0.00505572	0.281374	0.273147	0.0829844	0.113106	0.0749401	0.0254016	0.0262687	0.0290131	0.0317328	0.00498443	0.00759499	0.0013354	0.0158116
s	0.00346828	0.00337483	0.00290205	0.0284628	0.0322519	0.0593005	0.383521	0.0993111	0.0787999	0.282187	0.00543163	0.000249039	0.00354562	0.0104618	0.000362069	0.00480532	0.00156542
í	0.00500372	0.0158083	0.005823	0.0648334	0.0358865	0.0114185	0.357864	0.149387	0.0967135	0.214523	0.00476002	0.000255843	0.00200799	0.0243837	0.000423755	0.00379913	0.00710846
á	0.000861377	0.00130898	0.00521396	0.00381887	0.0810282	0.0378129	0.321593	0.148849	0.128048	0.156155	0.0190082	0.00366296	0.0104041	0.0107587	0.00315821	0.00338648	0.0649325
k	0.000908646	0.00140149	0.00565773	0.00157413	0.0189871	0.0137081	0.0414156	0.10046	0.152771	0.111861	0.136922	0.141298	0.219671	0.0256268	0.0147212	0.00130897	0.0117082
a	0.000853036	0.00130288	0.00272837	0.00217432	0.00419458	0.019183	0.0108501	0.0462755	0.197179	0.601205	0.0273282	0.00972594	0.0130728	0.0262382	0.000594539	0.0319927	0.00510146
á	0.000466718	0.00040149	0.00256807	0.00548471	0.00882008	0.0177237	0.00724977	0.0296717	0.197676	0.492719	0.0548839	0.0398693	0.0356789	0.0457843	0.00164642	0.00744781	0.051908
l	0.000300494	0.000453724	0.000882036	0.000340792	0.00598466	0.006302	0.00993985	0.0329983	0.0625944	0.0652673	0.209759	0.178572	0.35719	0.027282	0.026436	0.000678245	0.0150195
e	0.00190439	0.00328466	0.00549221	0.00183372	0.0198889	0.0063777	0.00977352	0.0348193	0.0479998	0.237236	0.137946	0.0284309	0.160993	0.13499	0.0681741	0.00102825	0.0998267
k	0.00115653	0.00181536	0.00816836	0.000267544	0.0095489	0.00404874	0.00800556	0.0334348	0.0745442	0.126885	0.351403	0.0992543	0.170871	0.056266	0.0343773	0.00133583	0.0186181
i	0.00288383	0.00893845	0.0400409	0.00139285	0.0169248	0.0139024	0.0137298	0.0449157	0.103897	0.178641	0.0435591	0.139145	0.157236	0.202856	0.0109824	0.00842722	0.0125289
l	0.000373749	0.000807669	0.00544908	0.000511434	0.00916657	0.0144166	0.00655855	0.0514099	0.159586	0.145897	0.106695	0.0881334	0.14515	0.165571	0.0212464	0.00962913	0.0693979
í	0.000180953	0.000373446	0.000613875	0.00147463	0.00606405	0.00885695	0.00225833	0.0250916	0.0693606	0.2228	0.135966	0.028713	0.115934	0.163359	0.0442273	0.00637857	0.168347
y	0.000246111	0.00046894	0.000819425	0.000404508	0.011168	0.0121417	0.00608503	0.0304438	0.0611526	0.146661	0.181454	0.0299137	0.234544	0.146794	0.0716082	0.00784713	0.0582468
é	0.00246748	0.00822787	0.0111667	0.00195847	0.0247149	0.00759678	0.00992808	0.0502359	0.0641974	0.164153	0.231757	0.0163468	0.0854657	0.248372	0.0407924	0.00928907	0.0233307
é	0.000781617	0.000818795	0.00401336	0.000140141	0.00621727	0.00410279	0.00586682	0.0141114	0.0240692	0.0447478	0.32159	0.094752	0.174228	0.0462989	0.188312	0.00530039	0.0646503
b	0.00138397	0.00198786	0.0018061	0.000724059	0.00842836	0.00930611	0.0325057	0.0187738	0.0181746	0.0657126	0.0402331	0.0123257	0.103361	0.31777	0.24536	0.0423007	0.0798466
í	0.000203777	0.000505267	0.00203405	0.000672704	0.00233837	0.00768534	0.0242415	0.0405963	0.0436924	0.0436097	0.0130731	0.0622034	0.0505934	0.475197	0.0949262	0.0490701	0.0893576
l	0.000265011	0.000342114	0.00167184	0.000779319	0.0030528	0.00580069	0.00923249	0.0151831	0.0257729	0.110682	0.0256698	0.0493792	0.125478	0.168485	0.0566815	0.0288936	0.372631
