 	si	tu	entres	dans	la	cachette	de	panthères	tu	mets	ta	vie	en	péril	</S>
w	0.606252	0.111743	0.0363164	0.0518439	0.07256	0.041612	0.0534479	0.00859459	0.00254086	0.0081762	0.00340107	0.000364226	0.00279479	0.000228244	0.000124853
á	0.555324	0.184895	0.014019	0.115577	0.0965062	0.0100597	0.0122306	0.00534645	0.000856657	0.000854359	0.00227081	0.0003072	0.00152686	0.000186452	3.93139e-05
á	0.25654	0.101833	0.0333689	0.0346352	0.0470583	0.054692	0.0591947	0.0561588	0.0680674	0.0318356	0.0282744	0.0235599	0.0156611	0.00443612	0.184685
o	0.0613843	0.286405	0.346414	0.0909629	0.0286275	0.00663877	0.0234166	0.0221335	0.0163359	0.0117306	0.0252657	0.00478111	0.00811227	0.00509542	0.0626967
k	0.0216554	0.023197	0.790087	0.091106	0.0253876	0.0176602	0.00321313	0.0109904	0.000129682	0.000708683	0.000486226	0.00465587	0.00317826	0.000703207	0.00684097
ó	0.00634403	0.0049884	0.730625	0.104661	0.0695634	0.00917693	0.00396803	0.030143	0.000351389	0.00834122	0.00219474	0.00318631	0.00870291	0.00221459	0.0155385
í	0.00643007	0.0111204	0.754623	0.076639	0.0704446	0.0115051	0.00973843	0.0460274	0.000420322	0.00332718	0.000405308	0.00168405	0.00161175	0.000360746	0.00566226
s	0.0372641	0.0346094	0.0777561	0.35998	0.206231	0.158119	0.0546875	0.0319909	0.00710708	0.00590018	0.00414532	0.00696408	0.00664608	0.000763117	0.00783609
í	0.00970208	0.015071	0.0809417	0.242892	0.291723	0.140098	0.0575451	0.0419194	0.00537531	0.00622654	0.00711807	0.00708516	0.0145055	0.00655015	0.0732476
k	0.00933402	0.0449101	0.00728213	0.138829	0.259762	0.159549	0.0640091	0.196852	0.047382	0.00786465	0.0186969	0.0148304	0.00677713	0.0128927	0.0110279
u	0.00074789	0.000897836	0.0086627	0.0238477	0.543316	0.0638373	0.00755526	0.312165	0.00370992	0.0227917	0.000904601	0.00477449	0.000706322	0.000775001	0.00530848
m	0.00273235	0.000607074	0.00495796	0.0272555	0.295443	0.312672	0.0171705	0.330273	0.000170214	0.00178672	7.52164e-05	0.00305247	0.000666733	0.000152535	0.00298485
á	0.0200701	0.0102132	0.00118159	0.0152254	0.195695	0.390694	0.128227	0.0489049	0.136773	0.0194054	0.0193345	0.00269249	0.00127392	0.000135524	0.0101743
l	0.00876546	0.00679988	0.00274858	0.025999	0.0856683	0.124348	0.334353	0.147592	0.0828767	0.0632539	0.0169004	0.0608597	0.0226712	0.00457018	0.0125943
á	0.00389581	0.00907468	0.0087003	0.032274	0.0826454	0.120386	0.0738726	0.0917763	0.0814364	0.0363317	0.0277744	0.0375984	0.0118855	0.041214	0.341134
n	0.00139189	0.00798269	0.00204189	0.0264708	0.0825057	0.0383211	0.0885888	0.216518	0.203105	0.0948066	0.0761091	0.0959486	0.0239175	0.0309343	0.011358
g	0.00260416	0.0258492	0.00144269	0.00945561	0.0269372	0.0380645	0.0264461	0.0303294	0.187892	0.0224207	0.175712	0.0555648	0.00943098	0.342291	0.0455595
w	0.0013989	0.0119807	0.000494358	0.00671312	0.0306861	0.057166	0.0965189	0.111836	0.31484	0.0192748	0.127372	0.0472849	0.00774199	0.148486	0.018207
ε	0.000907226	0.00253535	0.00131101	0.0101059	0.0478448	0.08464	0.10486	0.212077	0.0580969	0.0440073	0.0831742	0.198897	0.0575883	0.0658848	0.0280708
o	0.000149589	0.000338804	0.00193381	0.00564211	0.0241765	0.0138803	0.0927772	0.176823	0.0218635	0.106689	0.0315806	0.262075	0.0678794	0.0420349	0.152156
p	0.0107705	0.00342189	0.0116533	0.0177179	0.0191358	0.0338683	0.10252	0.0295884	0.00943549	0.0453611	0.0227815	0.235519	0.175258	0.0214212	0.261548
έ	0.00164758	0.000914044	0.00419536	0.00410407	0.0203482	0.00378326	0.015791	0.0434313	0.0126244	0.29368	0.0377178	0.469178	0.0400611	0.0113966	0.0411273
k	0.00047919	0.00087306	0.00822592	0.0090595	0.0393086	0.00700181	0.0247092	0.0347103	0.0449719	0.406181	0.0409984	0.14708	0.0407619	0.0284376	0.167202
í	0.00398661	0.003003	0.00634348	0.00621967	0.0173301	0.00588067	0.0226066	0.0119359	0.0337018	0.388222	0.0530392	0.0927285	0.0704919	0.0814938	0.203017
n	0.00086483	0.00158654	0.00425365	0.00503063	0.00949847	0.00774968	0.0204177	0.017422	0.0683321	0.202857	0.0457727	0.0519778	0.0588438	0.112626	0.392767
g	0.00169508	0.00394764	0.00234411	0.00475905	0.013309	0.0051561	0.0205014	0.0169692	0.11563	0.0989754	0.190492	0.0183962	0.0351148	0.27964	0.19307
í	0.00144924	0.00363424	0.000602687	0.00085276	0.00532442	0.00548712	0.0250794	0.0461961	0.103677	0.0872447	0.130768	0.139677	0.0217616	0.258011	0.170235
</S>	0.00287186	0.00246336	0.00102427	0.00166073	0.00387308	0.00232599	0.0197958	0.00745684	0.0233902	0.0503246	0.0875837	0.0724785	0.118453	0.109786	0.496512
