 	j'	abats	un	arbre	</S>
n	0.766655	0.189189	0.0221239	0.0209973	0.00103465
g	0.998754	0.000471684	0.000470538	0.000186662	0.00011696
á	0.971011	0.0244044	0.00135698	0.00289185	0.000335823
l	0.159955	0.233356	0.190508	0.267501	0.14868
í	0.336028	0.0879328	0.096655	0.155467	0.323917
i	0.0695457	0.15557	0.281655	0.214601	0.278628
k	0.00142981	0.93842	0.0350025	0.0117036	0.0134439
w	0.000133511	0.955415	0.0248751	0.0110544	0.00852226
ε	0.000768057	0.937441	0.0238399	0.018168	0.0197829
r	0.00199801	0.0454231	0.514308	0.238459	0.199811
έ	0.00834447	0.442086	0.235204	0.151634	0.162731
i	0.00735616	0.0190399	0.569902	0.30267	0.101031
b	0.00110705	0.0175992	0.099337	0.772215	0.109741
v	0.00457556	0.00955877	0.0331105	0.903188	0.0495669
ú	0.00138357	0.0210278	0.0632785	0.872976	0.0413346
a	0.00379644	0.00595706	0.0961536	0.550833	0.34326
</S>	0.000106813	0.000573273	0.154141	0.227435	0.617743
