 	il	bégayait	encore	de	colère	</S>
w	0.963764	0.0165594	0.0083395	0.00922849	0.00167815	0.000430811
a	0.944981	0.011748	0.0172728	0.0205486	0.00526794	0.000181639
l	0.567568	0.147025	0.108696	0.122457	0.0104805	0.0437739
e	0.342009	0.0494431	0.101815	0.082074	0.0210497	0.403609
k	0.406814	0.135532	0.0667166	0.0567196	0.0140074	0.320211
e	0.00793254	0.901702	0.0356299	0.0123863	0.0142652	0.0280845
k	0.00736651	0.961996	0.0160678	0.00293811	0.00192016	0.0097115
e	0.0449054	0.868947	0.0176725	0.0118113	0.0251524	0.0315113
m	0.173407	0.456625	0.163339	0.0632524	0.0259973	0.117379
i	0.5509	0.407606	0.0155216	0.00724284	0.00284924	0.0158803
l	0.196066	0.263101	0.240595	0.102756	0.0256505	0.171831
í	0.0257003	0.0201757	0.111712	0.053822	0.00639617	0.782194
i	0.20444	0.0608433	0.318653	0.145057	0.0253218	0.245684
y	0.00378599	0.119823	0.635358	0.105849	0.0735579	0.0616258
a	0.00080896	0.0350297	0.725156	0.141762	0.0375142	0.0597292
á	0.00300889	0.0774214	0.286404	0.185801	0.04517	0.402195
m	0.00652057	0.0132952	0.239304	0.493882	0.0884522	0.158547
ó	0.0479801	0.0350011	0.0535298	0.140946	0.167256	0.555287
k	0.0318368	0.0150798	0.0266461	0.0925061	0.760799	0.0731318
y	0.000579403	0.00564892	0.00692028	0.0165594	0.952449	0.0178433
έ	0.000200495	0.00241698	0.00101143	0.00729916	0.977956	0.0111158
r	0.000247351	0.00203461	0.00338328	0.0526155	0.854268	0.0874518
ε	0.000350588	0.00166074	0.0026107	0.0468621	0.783831	0.164685
</S>	0.00245729	0.00202193	0.00729525	0.166249	0.087179	0.734798
