 	cette	année	le	riz	n'	a	pas	donné	beaucoup	</S>
m	0.629929	0.281555	0.0244359	0.00349803	0.0141224	0.00670334	0.0165427	0.0200446	0.0019294	0.00123957
ó	0.386012	0.0837741	0.119966	0.132497	0.0324824	0.0244668	0.0319842	0.0265918	0.0274368	0.134789
ε	0.286712	0.58643	0.013369	0.056152	0.0139312	0.00936323	0.00694876	0.0055984	0.0107051	0.0107903
b	0.0635381	0.393018	0.0980235	0.0369855	0.0294667	0.0414496	0.014413	0.0331831	0.0237511	0.266171
h	0.00431595	0.803545	0.0957153	0.01418	0.0145613	0.0108842	0.00425793	0.00469538	0.00411577	0.0437287
a	0.00842234	0.962636	0.0140785	0.00314589	0.000788172	0.000835173	0.000491135	0.00233657	0.0014489	0.00581775
n	0.312575	0.474123	0.117363	0.00951841	0.00537195	0.00290528	0.00538326	0.00265475	0.00581926	0.0642861
á	0.399246	0.187547	0.104879	0.00578259	0.0129812	0.00647349	0.0196322	0.00810765	0.00947442	0.245876
a	0.183651	0.022092	0.482739	0.136077	0.0506138	0.0397907	0.0209302	0.0204493	0.00822315	0.0354337
y	0.0550027	0.0389914	0.436772	0.159419	0.0594646	0.0564283	0.0427729	0.067761	0.0160562	0.0673324
é	0.129256	0.00253971	0.302474	0.349535	0.0715801	0.0347661	0.0203394	0.0114753	0.0161372	0.0618971
l	0.0226502	0.00194721	0.230489	0.36067	0.112309	0.0423074	0.0196071	0.0148009	0.0216962	0.173523
ώ	0.00921239	0.00698552	0.214956	0.295472	0.12138	0.0519438	0.0307501	0.0244315	0.0395112	0.205357
s	0.00459614	0.00507583	0.152688	0.331276	0.208276	0.0757551	0.0418449	0.0310728	0.0280945	0.12132
ω	0.0590237	0.00732344	0.238078	0.335654	0.125009	0.0534556	0.0343978	0.0160798	0.0458373	0.0851405
í	0.00941151	0.00100846	0.169103	0.174397	0.32498	0.144473	0.0627949	0.0360535	0.0226511	0.055128
d	0.0106521	0.0154282	0.0609594	0.0368609	0.113945	0.289568	0.147153	0.185659	0.0826822	0.0570929
z	0.00455328	0.000356134	0.0199053	0.00514879	0.0444896	0.197088	0.18427	0.200089	0.0580207	0.28608
e	0.0709695	0.000339845	0.104825	0.0131581	0.217065	0.133551	0.277246	0.0469931	0.0559656	0.0798875
o	0.00195949	0.00034307	0.0200431	0.00737274	0.0738722	0.217882	0.222511	0.255781	0.0591189	0.141116
p	0.00708737	0.0314852	0.0140398	0.00603275	0.0137729	0.0515061	0.112674	0.341541	0.226231	0.19563
f	0.000577961	0.0120112	0.0081362	0.00164989	0.00899542	0.0414566	0.117854	0.254882	0.177855	0.376583
ú	0.00068429	0.00763477	0.00711665	0.000924775	0.0134642	0.048178	0.291085	0.269818	0.0933866	0.267708
á	0.0209967	0.0047238	0.022134	0.00402045	0.0253966	0.0463155	0.303324	0.142456	0.123478	0.307155
i	0.00392113	0.00137386	0.0148373	0.00625031	0.0259095	0.0450864	0.120204	0.165974	0.26618	0.350263
y	0.00912729	0.0101087	0.0212009	0.0151365	0.0161398	0.0247559	0.0611748	0.117991	0.347074	0.377291
í	0.00401539	0.00031752	0.0181383	0.012239	0.0118708	0.0255696	0.0900266	0.102437	0.316998	0.418388
í	0.00186084	0.000107008	0.00746495	0.00317516	0.0081458	0.0232737	0.0498098	0.0484803	0.0975673	0.760115
k	0.00273112	0.000916699	0.0232034	0.0103784	0.0364835	0.0564261	0.105775	0.169454	0.167637	0.426996
a	0.00123333	0.00496714	0.0220929	0.00220485	0.0129645	0.0319849	0.108396	0.242903	0.296077	0.277176
á	0.000966157	0.001162	0.00909068	0.00156119	0.00586298	0.0172612	0.0578904	0.0828376	0.197984	0.625383
</S>	0.0218893	0.00726195	0.0464943	0.0178457	0.0339398	0.0467339	0.0494947	0.160536	0.167261	0.448544
