 	sa	joue	s'	est	contusionnée	suite	à	la	giffle	qu'	il	a	reçue	</S>
w	0.499571	0.440921	0.0401776	0.0142155	0.00248097	0.00138774	0.000589264	0.000211246	0.000146399	0.000160683	7.71881e-05	3.83348e-05	1.44092e-05	9.14825e-06
á	0.366851	0.582954	0.0324221	0.0125156	0.000368837	0.00108689	0.00148347	0.0013432	0.000366657	0.000168898	0.000100261	0.000231495	9.72157e-05	1.03629e-05
o	0.288375	0.332042	0.247405	0.0646185	0.00492279	0.00654634	0.00975148	0.00514225	0.0044001	0.0103847	0.0073352	0.00516022	0.00409918	0.00981754
b	0.152732	0.33322	0.185462	0.0662688	0.146336	0.0247521	0.00937993	0.00656566	0.011576	0.0124713	0.0128281	0.0104528	0.00502991	0.0229247
á	0.0641088	0.400128	0.210273	0.074434	0.047497	0.0332787	0.0244196	0.0174361	0.0880958	0.0144321	0.0165537	0.00584835	0.000321093	0.00317421
n	0.0705095	0.100152	0.478091	0.114441	0.0343744	0.0050795	0.0149989	0.0151397	0.0250087	0.0210545	0.0228937	0.011563	0.00552311	0.081171
g	0.570175	0.226804	0.125133	0.0192487	0.00146776	0.00057534	0.00652086	0.00538126	0.00469584	0.00203713	0.0030047	0.0022651	0.00618542	0.0265059
á	0.0943985	0.70406	0.162921	0.0215059	0.00159079	0.000440984	0.00114962	0.000938302	0.000257518	0.000238901	0.000343464	0.000664629	0.00969764	0.00179247
ó	0.0926313	0.0303638	0.354236	0.416508	0.0275673	0.0201422	0.0122514	0.00617818	0.00581176	0.00680561	0.00657761	0.00768922	0.00192871	0.0113083
b	0.00117691	0.00426176	0.062125	0.322816	0.410071	0.177832	0.0119294	0.0036176	0.00132431	0.000739292	0.000497081	0.000637922	0.00144887	0.00152347
h	0.00334411	0.0127255	0.0537517	0.125717	0.436771	0.308445	0.0198955	0.0130678	0.0159501	0.00248654	0.00335725	0.00232706	0.000144519	0.00201661
í	0.00147883	0.00416396	0.0188631	0.031296	0.807928	0.121324	0.00486304	0.00202092	0.0069821	0.00016248	0.00016068	9.87808e-05	8.87637e-05	0.000568915
b	0.000146348	0.000260531	0.00518394	0.0079316	0.91864	0.0510655	0.0018348	0.00098555	0.00232215	0.000224063	0.000166529	8.02708e-05	0.000630404	0.0105281
h	0.00484416	0.0045718	0.0724173	0.195016	0.46898	0.172805	0.0270266	0.0105603	0.0323119	0.00380521	0.00167413	0.000533058	0.000839045	0.00461631
i	0.00291835	0.0052619	0.048257	0.05907	0.567176	0.169848	0.0172868	0.0129612	0.0375756	0.00450443	0.002831	0.00225998	0.0119041	0.0581454
l	0.0056134	0.00312525	0.0408787	0.0407664	0.246359	0.391702	0.0915232	0.0317148	0.0636558	0.0128369	0.00731957	0.00181765	0.00290073	0.0597859
i	0.00411013	0.000837396	0.00982834	0.0146065	0.0463451	0.34368	0.132272	0.0919904	0.0404682	0.119799	0.0840088	0.0298779	0.0134027	0.0687736
m	0.0065914	0.00319199	0.0490358	0.0965866	0.0209379	0.271583	0.350075	0.0843321	0.0433049	0.0114033	0.00895142	0.0177861	0.0183124	0.0179083
ó	0.00421875	0.00108151	0.00470919	0.0117179	0.00103336	0.106915	0.285097	0.25362	0.218889	0.0152019	0.0232077	0.0200197	0.00199539	0.0522945
l	0.00646541	0.007003	0.00976697	0.00867516	0.00215775	0.12618	0.393052	0.327041	0.0546737	0.010602	0.0111336	0.0254517	0.0119321	0.00586553
e	0.00110396	0.00122959	0.00478911	0.00780848	0.014162	0.0945928	0.415361	0.286076	0.0721971	0.0162626	0.0134041	0.0203106	0.0251239	0.0275783
b	0.000351194	0.000402319	0.00195887	0.00270248	0.00117444	0.0569583	0.410084	0.39301	0.040562	0.0156024	0.012712	0.0374397	0.0122788	0.0147633
á	0.000952915	0.00133202	0.00171601	0.00239427	0.00591395	0.0909857	0.449519	0.318955	0.0773527	0.020777	0.0107661	0.0040185	0.000810903	0.0145055
m	0.00340837	0.0014993	0.00412891	0.00395834	0.00395933	0.00915163	0.133177	0.257707	0.102719	0.154124	0.115598	0.11613	0.00737327	0.0870655
