 	ma	soeur	s'	appelle	akoli	</S>
b	0.338834	0.505279	0.102338	0.0444279	0.00904065	8.03197e-05
o	0.357616	0.48417	0.105282	0.0512445	0.000163473	0.00152382
l	0.0192698	0.923885	0.0203661	0.0278822	0.00244158	0.00615566
a	0.102135	0.831262	0.0328007	0.0180467	0.006146	0.00961004
b	0.31033	0.180194	0.435426	0.0416176	0.000817583	0.0316153
á	0.535488	0.0273627	0.251404	0.0943602	0.00289793	0.0884875
n	0.860748	0.013096	0.0904759	0.0285146	0.00084617	0.00631983
g	0.984468	0.000746839	0.0102104	0.00330764	1.57074e-05	0.0012512
á	0.739715	0.0147741	0.131201	0.0996206	0.000465593	0.0142234
k	0.0244982	0.0139543	0.60031	0.31339	0.0167345	0.0311131
ó	0.0465739	0.0289924	0.171282	0.484767	0.239387	0.0289967
m	0.022198	0.0258692	0.174773	0.541215	0.179923	0.0560213
b	0.0111996	0.0030369	0.214543	0.413283	0.0642578	0.293679
ó	0.0211852	0.00516713	0.211884	0.511538	0.0475739	0.202652
a	0.0296034	0.00464338	0.433821	0.194805	0.101011	0.236116
k	0.00401827	0.00300171	0.0991455	0.0681177	0.441302	0.384415
o	0.000134565	0.00235023	0.0124986	0.0373088	0.871162	0.0765454
l	0.000429279	0.00532094	0.0235028	0.0718632	0.850652	0.048232
i	0.00115048	0.00350127	0.0173173	0.0325515	0.680988	0.264491
</S>	0.00466027	0.00087689	0.084045	0.0324861	0.0707847	0.807147
