 	angonga	a	curé	l'	étang	de	sa	femme	</S>
a	0.768356	0.214453	0.0019106	0.00743202	6.38769e-05	0.00299149	0.0045148	0.000258626	1.88322e-05
n	0.0724386	0.84461	0.0777457	0.00337788	0.00065206	0.000768916	0.000153342	5.83961e-05	0.000195028
g	0.920297	0.0522883	0.00296662	0.00444529	0.00116708	0.00707831	0.00256367	0.00286123	0.00633246
ó	0.980635	0.0100416	0.00236727	0.00083856	0.00092974	0.000639701	0.00267159	0.00126315	0.000613649
n	0.819873	0.0824701	0.0238896	0.00778031	0.00563562	0.00762346	0.00825083	0.00322425	0.041253
g	0.402616	0.406942	0.052079	0.0310543	0.00847961	0.0263636	0.00148377	0.00300687	0.0679745
a	0.908422	0.0604003	0.00901001	0.00265926	0.0077536	0.00384817	0.00194293	0.00168795	0.00427584
á	0.0769176	0.791338	0.0335866	0.0479606	0.00638156	0.0115652	0.0036303	0.000859839	0.0277603
y	0.0177044	0.129363	0.705145	0.0759411	0.0462213	0.0114582	0.00124081	0.000502824	0.0124229
o	0.0169359	0.0492245	0.507666	0.110942	0.27189	0.0173625	0.00139265	0.00180499	0.0227814
b	0.00598461	0.00888899	0.866369	0.0338057	0.0753854	0.00449973	0.000279872	1.76924e-05	0.00476854
h	0.0127774	0.0262579	0.797099	0.0930977	0.0437631	0.0157195	0.00111301	9.01141e-05	0.0100827
i	0.027747	0.0548723	0.526828	0.190379	0.108552	0.0423627	0.00417934	0.000391612	0.0446876
l	0.072234	0.0409626	0.0288644	0.694838	0.026099	0.0438838	0.0821816	0.00340166	0.00753498
i	0.0233742	0.0241382	0.0611973	0.55497	0.0853301	0.145659	0.0660743	0.00321761	0.0360393
m	0.0223202	0.0122549	0.0146223	0.531526	0.0770112	0.129104	0.0944872	0.0806112	0.0380632
w	0.0003325	0.00107411	0.00144526	0.0105888	0.0221285	0.00750602	0.00247177	0.936577	0.0178764
á	0.00248011	0.00165442	0.00427244	0.00974081	0.0903012	0.0294303	0.00583342	0.848471	0.00781584
s	0.0400047	0.00995956	0.00221298	0.154821	0.00885121	0.150296	0.249686	0.317986	0.0661827
í	0.00974627	0.00702729	0.0146812	0.0778165	0.267306	0.128125	0.0328362	0.11293	0.349531
e	0.00187805	0.00675388	0.00361372	0.174606	0.133602	0.453265	0.109182	0.0141183	0.102981
t	0.000510598	0.00594002	0.015056	0.0210615	0.734665	0.107201	0.00922962	0.00709442	0.0992425
ó	0.000120255	0.000959776	0.015718	0.015826	0.730123	0.144913	0.00812536	0.00799778	0.0762174
n	0.000189537	0.000267557	0.0218831	0.0138722	0.692785	0.100667	0.0041088	0.00109401	0.165133
g	0.00061976	0.00161717	0.0203034	0.0386158	0.423396	0.15	0.00695765	0.00279916	0.355691
o	0.00365608	0.00296997	0.0185512	0.0602027	0.574405	0.205752	0.0187666	0.00798898	0.107707
</S>	0.000483849	0.00202128	0.00063548	0.0187312	0.0111715	0.258718	0.0569914	0.0144524	0.636795
