 	le	récolteur	de	vin	de	palme	est	en	train	de	tailler	le	palmier	</S>
o	0.733483	0.0664605	0.0556442	0.0441848	0.0247359	0.0146364	0.0413532	0.00692996	0.00115502	0.00403631	0.00422607	0.00253744	0.000417282	0.000199744
b	0.182086	0.743815	0.0350818	0.0101029	0.00371034	0.00469061	0.00263467	0.00175765	5.18846e-05	0.000379461	0.0043866	0.0018804	0.000963091	0.00845865
a	0.0831525	0.657592	0.0217575	0.160447	0.0166249	0.0128467	0.00248004	0.00418751	0.00408511	0.0010524	0.0091754	0.00240547	0.0230856	0.00110842
l	0.00581926	0.944813	0.0138408	0.0119048	0.00314081	0.00362585	0.000886981	0.0018444	0.000848133	0.000792433	0.00268687	0.000518701	0.00094282	0.00833534
e	0.536501	0.228079	0.0715928	0.0297602	0.0280639	0.0183227	0.00987163	0.009955	0.0036048	0.0100751	0.00887122	0.00278407	0.002696	0.0398223
b	0.419128	0.131372	0.260168	0.0507957	0.036949	0.0258908	0.0154565	0.00542689	0.00470925	0.026417	0.00327057	0.00966677	0.00104889	0.00969959
ó	0.124624	0.00296365	0.0983233	0.177845	0.0679252	0.0370898	0.0341835	0.0824327	0.0413576	0.0531698	0.0203126	0.0287328	0.0179003	0.21314
l	0.306782	0.00406129	0.240834	0.176118	0.079451	0.0447635	0.0345709	0.0328116	0.0398848	0.0168965	0.00110316	0.0116805	0.000397075	0.010646
á	0.0511618	0.00261204	0.0726832	0.061189	0.0524033	0.0437287	0.0170768	0.00766383	0.00274779	0.0150721	0.0131748	0.0120852	0.00220575	0.646196
a	0.312594	0.00284432	0.131248	0.115217	0.0911617	0.0619272	0.060926	0.081792	0.0672283	0.0270167	0.0211451	0.0124168	0.00288038	0.0116038
p	0.0366198	0.102518	0.0223316	0.12021	0.0780555	0.172193	0.0364321	0.0150064	0.00779119	0.102285	0.203138	0.0394668	0.0066951	0.057258
f	0.00881724	0.0870965	0.0231448	0.116158	0.052639	0.138289	0.0235753	0.0196786	0.010492	0.0854279	0.279117	0.0646468	0.00810345	0.0828149
u	0.00880863	0.0192562	0.00706806	0.0245084	0.0660569	0.200331	0.0141325	0.00568257	0.000389808	0.0482225	0.509885	0.0216094	0.00833624	0.0657135
b	0.0258526	0.00381565	0.0142013	0.020024	0.0897609	0.129468	0.092445	0.061617	0.0220273	0.0483878	0.422247	0.037487	0.00462194	0.028044
h	0.0544087	0.000842649	0.0155118	0.0201097	0.0814947	0.130159	0.0394307	0.121534	0.00120519	0.0854292	0.338957	0.02433	0.00569678	0.0808911
á	0.0124225	0.00140477	0.0249358	0.0111943	0.120343	0.117241	0.0734718	0.0698522	0.00352161	0.0894258	0.266546	0.0731162	0.00988456	0.12664
á	0.00339878	0.000652411	0.00581635	0.00523068	0.0315395	0.0223637	0.048426	0.0286554	0.00198882	0.171739	0.237308	0.278324	0.0660025	0.0985555
i	0.0116564	0.00231297	0.0186599	0.0170277	0.0243884	0.0238935	0.00955831	0.00535087	0.00129488	0.0362464	0.0445688	0.364711	0.387492	0.052839
b	0.00321717	0.00827914	0.00266245	0.00576049	0.00250117	0.00337948	0.000379578	0.000362134	0.000347861	0.00463487	0.0352359	0.0509043	0.852453	0.0298829
í	0.000335048	0.000661439	0.000209845	0.00184493	0.000806861	0.000841949	0.000625233	0.000385501	0.000728187	0.00151426	0.0106023	0.00794022	0.972065	0.00143888
a	0.000639648	0.00377834	0.00173212	0.00476588	0.00304666	0.00344727	0.00451314	0.0210375	0.0080836	0.0265201	0.1018	0.0600026	0.472278	0.288355
</S>	0.00153036	0.000773764	0.00493033	0.00440062	0.00719241	0.00556625	0.00143658	0.000551816	4.42507e-05	0.015337	0.0145985	0.125729	0.316268	0.501641
