 	ces	femmes	ont	bouché	le	ruisseau	</S>
a	0.762623	0.189182	0.0442121	0.00073612	0.00285968	0.000239831	0.00014755
y	0.195641	0.717633	0.0527052	0.0150407	0.00374416	0.0133513	0.00188543
ú	0.830705	0.164284	0.00260554	0.000238199	0.000846518	0.000629285	0.000690852
r	0.893757	0.0935481	0.00119505	0.000635731	0.00147114	0.00112519	0.00826746
u	0.818199	0.147637	0.00281038	0.0107609	0.00312997	0.00561332	0.0118497
b	0.286109	0.0563792	0.587949	0.0152612	0.025346	0.00280604	0.0261487
á	0.161262	0.0324659	0.627557	0.0034009	0.0824435	0.0205725	0.0722975
á	0.0408049	0.0558814	0.833053	0.0250712	0.0160577	0.00791498	0.0212168
m	0.00694657	0.00211537	0.264364	0.621983	0.0569487	0.0149586	0.0326843
i	0.146814	0.0773082	0.252952	0.147069	0.238051	0.0251113	0.112695
k	0.0136322	0.00261354	0.0232009	0.846279	0.0564929	0.0200483	0.0377334
í	0.0010717	6.23349e-05	0.00148523	0.98052	0.00366663	0.00189669	0.0112978
n	0.00111987	0.000515103	0.0165756	0.947916	0.0182962	0.00569421	0.00988301
d	0.032262	0.00102202	0.0426519	0.826759	0.0410753	0.00680619	0.0494233
í	0.0605011	0.00147757	0.0119727	0.738576	0.0246571	0.0157892	0.147026
s	0.0271497	0.00217168	0.0475735	0.120467	0.664818	0.0791997	0.0586197
á	0.158228	0.00758916	0.0056248	0.150337	0.174397	0.10809	0.395733
o	0.118342	0.0116997	0.00711906	0.0230284	0.375512	0.424576	0.0397225
k	0.00720915	0.00616258	0.000566406	0.276848	0.100757	0.502049	0.106408
y	0.000440806	0.000294993	0.000292727	0.103803	0.0230623	0.838992	0.033114
ε	0.000808683	0.000137408	0.000660704	0.14764	0.0193304	0.788123	0.0432991
s	0.00475974	0.000289858	0.00117134	0.0792967	0.108849	0.351501	0.454133
í	0.00532423	0.00168622	0.00110238	0.148701	0.0683029	0.326204	0.448679
</S>	0.0329899	0.000983764	0.00224181	0.00487907	0.0674482	0.116142	0.775315
