 	cette	pirogue	est	trouée	celle-là	est	intacte	</S>
b	0.428962	0.476926	0.0451727	0.0309637	0.00889975	0.00831813	0.000525109	0.000232513
v	0.0106512	0.951435	0.0180966	0.0130888	0.000536255	0.00160572	0.00445827	0.000127993
á	0.0170195	0.935656	0.0050909	0.0274572	0.00354421	0.000353703	0.0101137	0.000764469
r	0.0813551	0.810529	0.0145511	0.0405577	0.00558064	0.0038571	0.00517005	0.0383992
e	0.478679	0.240378	0.141008	0.00980471	0.00496328	0.00643736	0.00766909	0.11106
b	0.451735	0.0664798	0.290136	0.0250135	0.0104881	0.044737	0.00871223	0.102699
v	0.274525	0.405497	0.168545	0.0579848	0.00209594	0.00653184	0.0420005	0.0428198
ú	0.353442	0.326502	0.136656	0.0293445	0.00742411	0.015069	0.0749936	0.0565693
ó	0.352873	0.0706067	0.4403	0.0662025	0.0181986	0.0280743	0.0123207	0.0114232
t	0.398264	0.0126316	0.427094	0.0887103	0.0373229	0.0172333	0.00276116	0.0159821
ú	0.072928	0.00579473	0.100463	0.340811	0.382594	0.047826	0.00366637	0.0459171
b	0.0482709	0.00858547	0.123527	0.487293	0.256715	0.0301997	0.00678869	0.0386207
h	0.206404	0.00824972	0.0391548	0.511462	0.156767	0.0299985	0.0160868	0.0318772
u	0.209207	0.0202455	0.0729227	0.395523	0.202599	0.0302279	0.0264512	0.0428239
b	0.0454614	0.00456815	0.168968	0.328307	0.157595	0.208046	0.0423106	0.0447439
v	0.0367544	0.0364543	0.0435005	0.2191	0.592768	0.0283641	0.0188741	0.0241848
ú	0.00731619	0.00640367	0.0115487	0.231328	0.640019	0.0445968	0.0459712	0.0128163
u	0.00543395	0.000120272	0.0173347	0.100173	0.45348	0.305324	0.0549981	0.0631353
ó	0.00761848	0.000433585	0.0235448	0.041308	0.18555	0.472695	0.100619	0.168231
d	0.0227179	0.000862123	0.0307159	0.0100367	0.0657993	0.592956	0.199324	0.0775885
i	0.00845103	0.000630192	0.00963037	0.000152318	0.0272002	0.187046	0.221274	0.545616
ó	0.0111914	0.000352153	0.00932245	0.0045274	0.0381291	0.38155	0.260924	0.294003
b	0.00679875	0.00472407	0.0100773	0.00910625	0.0103921	0.11053	0.730837	0.117534
v	0.0344411	0.0969312	0.084868	0.0523376	0.0793314	0.173061	0.438087	0.0409423
ú	0.0263739	0.0328373	0.0237624	0.160415	0.154025	0.0998061	0.466386	0.0363938
a	0.00820285	0.00685042	0.00423183	0.00820473	0.0422745	0.142765	0.351703	0.435768
m	0.00420667	0.000108143	0.00802014	0.00423879	0.00429771	0.131208	0.314909	0.533011
έ	0.0355471	0.000188723	0.0352971	0.00600323	0.0154651	0.194165	0.336353	0.376981
</S>	0.00589044	0.00358144	0.0271538	0.0111127	0.0101889	0.187819	0.393679	0.360575
