 	il	est	allé	au	marché	</S>
w	0.831206	0.146611	0.00111537	0.0205679	0.000423142	7.67055e-05
a	0.924406	0.0401662	0.000642052	0.0340181	0.00071123	5.68211e-05
á	0.0822385	0.846451	0.0360497	0.0300777	0.00123859	0.00394452
m	0.0444166	0.693691	0.186076	0.0380103	0.00691228	0.030893
i	0.00633403	0.135767	0.708668	0.0972269	0.0157127	0.0362911
d	0.00380525	0.120609	0.844633	0.0132252	0.0111302	0.00659693
z	8.8228e-05	0.00830981	0.975851	0.00612595	0.00548697	0.00413834
w	0.00488939	0.0503181	0.93985	0.00360755	0.00058875	0.000746341
a	0.0136769	0.0861316	0.726069	0.121139	0.0125073	0.0404769
d	0.00215551	0.0197682	0.055355	0.823631	0.0763141	0.0227764
z	0.00524906	0.00731684	0.0720334	0.500377	0.263249	0.151775
á	0.00047944	0.00614357	0.23108	0.0316907	0.716556	0.0140502
n	0.00231011	0.0243782	0.177756	0.130506	0.541059	0.123991
d	0.00085224	0.00721628	0.0251524	0.108087	0.591927	0.266765
e	0.000401787	0.00428495	0.0137402	0.0582233	0.54275	0.380599
</S>	0.000883559	0.0128999	0.0118191	0.088155	0.226217	0.660026
