 	j'	ai	abattu	l'	arbre	yanza	dans	la	forêt	</S>
n	0.932362	0.0466092	0.0157678	0.00118116	0.00155419	0.000179471	0.00113314	0.000771559	0.000353269	8.79804e-05
g	0.976329	0.0198233	0.00066929	0.000692796	0.00108073	0.000291264	0.000329988	0.000484979	0.000275028	2.32485e-05
á	0.820016	0.168196	0.00421423	0.00173818	0.00296855	0.000149979	0.000205808	0.00104456	0.0013889	7.80534e-05
í	0.0548707	0.334681	0.0507442	0.10207	0.0511448	0.000825537	0.0110013	0.0211083	0.00995131	0.363602
k	0.00607517	0.153175	0.768974	0.0594475	0.00768873	0.000650842	0.000827659	0.00118848	0.000280628	0.00169197
w	0.000301618	0.0239792	0.943137	0.02271	0.00748923	0.000499616	0.000437648	0.000448332	0.000216602	0.00078122
e	0.0168598	0.109469	0.668268	0.145617	0.0509051	0.00249204	0.00422483	0.00108722	0.000447743	0.000630039
r	0.00233966	0.0170574	0.252812	0.247126	0.24983	0.1351	0.0644922	0.00913534	0.00606744	0.0160398
i	0.00197405	0.0228522	0.107328	0.408018	0.341098	0.0344692	0.052984	0.0116557	0.00238468	0.0172361
y	0.0111143	0.0632893	0.00437578	0.205482	0.493666	0.0744884	0.122166	0.0159183	0.00451366	0.00498593
a	0.00830532	0.00613412	0.0326631	0.220407	0.389031	0.147312	0.0707249	0.0353302	0.0160937	0.0739982
n	0.0340144	0.0170568	0.000950371	0.0764114	0.318924	0.42144	0.0632723	0.0199936	0.0148373	0.0330997
d	0.0170523	0.00335181	0.00123501	0.0487783	0.182829	0.579461	0.107138	0.0231926	0.00517296	0.0317886
z	0.00103088	0.000149347	0.000138236	0.00344343	0.0109212	0.96204	0.00825891	0.00327813	0.00195972	0.00878056
a	3.87205e-05	7.28705e-05	0.000883973	0.00696487	0.0142504	0.894049	0.0400467	0.0129929	0.00454946	0.0261514
s	0.000327798	0.000172866	0.00233924	0.00563774	0.0122323	0.364008	0.427327	0.0817375	0.0399506	0.0662672
á	0.00139722	0.000242745	0.0025395	0.0094065	0.0496789	0.259087	0.27244	0.0966163	0.0342743	0.274317
k	0.000189873	0.000411804	0.00043144	0.0029319	0.0201792	0.0417134	0.356675	0.28401	0.250527	0.0429311
ώ	2.57119e-05	2.92222e-05	0.000658094	0.00103918	0.00586525	0.00693326	0.0539668	0.0406857	0.870767	0.0200301
</S>	0.000130923	5.69717e-05	0.000452768	0.000921888	0.00525384	0.000545634	0.0664703	0.0326737	0.861364	0.0321303
