 	il	avait	fermé	sa	maison	avant	de	voyager	</S>
w	0.888006	0.0941012	0.00764462	0.00522186	0.00325766	0.000145255	0.0014086	0.000193384	2.11852e-05
a	0.713324	0.22261	0.00897885	0.0448962	0.00293936	0.0002894	0.00617603	0.000782772	3.54178e-06
á	0.202814	0.697737	0.0497427	0.0351152	0.00211686	0.00375778	0.00586312	0.000728896	0.00212466
b	0.0781189	0.420744	0.210411	0.0330434	0.0319642	0.176094	0.0254824	0.00122491	0.0229173
h	0.0180168	0.202506	0.699312	0.0247231	0.0113303	0.0245182	0.00296658	0.00102816	0.0155987
á	0.0164264	0.129745	0.805566	0.0102181	0.00685682	0.0289892	0.00101905	0.000124527	0.00105414
r	0.00668243	0.206603	0.636639	0.0374728	0.040113	0.0101977	0.00440601	0.0071966	0.0506893
á	0.151723	0.27014	0.102329	0.252406	0.211643	0.000405743	0.00302196	0.000484708	0.00784651
á	0.00967307	0.191098	0.277938	0.230572	0.259045	0.00949967	0.00460548	0.0153973	0.00217062
n	0.00528913	0.0483199	0.145941	0.158268	0.572386	0.0579161	0.00627407	0.00170832	0.00389692
d	0.00038651	0.00513402	0.00452416	0.00947801	0.978699	0.000276463	0.00050861	0.000307229	0.000686264
é	0.000357785	0.00611872	0.0075756	0.0263281	0.948858	0.00500205	0.00146963	0.000696886	0.00359347
e	0.022644	0.0817223	0.0788314	0.255377	0.328921	0.0427348	0.0637931	0.0278981	0.098078
o	0.00966613	0.0399696	0.103021	0.258113	0.195552	0.252459	0.0501875	0.00757389	0.0834572
b	0.00123333	0.00316895	0.00732657	0.0127812	0.0138106	0.926364	0.0281467	0.00160564	0.00556332
o	0.000674636	0.00983814	0.0303395	0.0124269	0.000804695	0.92214	0.0109586	0.0074026	0.00541489
s	0.000434409	0.00308293	0.0412689	0.0238851	0.001854	0.889133	0.0136531	0.00321716	0.0234716
ó	0.00497475	0.00590475	0.0812593	0.109631	0.0143297	0.554839	0.141471	0.0224508	0.0651391
b	0.00125224	0.00793595	0.0298053	0.0785168	0.0115532	0.699188	0.101386	0.00367593	0.0666857
í	0.00705475	0.0108693	0.04213	0.109276	0.0212248	0.176133	0.328433	0.0209467	0.283932
b	0.00161354	0.00902241	0.0171438	0.0661692	0.0285802	0.236501	0.293479	0.104542	0.242949
h	0.00428068	0.0120151	0.0336461	0.0348126	0.00946157	0.399735	0.219197	0.25223	0.0346224
é	0.000238883	0.000457695	0.00916462	0.00583502	0.000719551	0.643734	0.051957	0.251899	0.0359935
m	4.66609e-05	0.000132483	0.00429338	0.00804243	0.000519887	0.421106	0.307193	0.208674	0.0499918
b	0.00256745	0.00112546	0.00226159	0.00563987	0.000696742	0.0130916	0.23928	0.485775	0.249562
a	0.000720601	0.00045081	0.00340433	0.00339784	0.00114067	0.00786344	0.0297029	0.761322	0.191998
</S>	0.000568688	0.000967547	0.00331186	0.00549541	0.00119834	0.0274337	0.289108	0.0840882	0.587828
