 	ils	ont	coupé	l'	arbre	olondo	pour	faire	des	planches	</S>
b	0.874318	0.0840133	0.018551	0.00662609	0.00824598	0.00272598	0.0019745	0.00176652	0.00158121	9.75816e-05	0.000100169
á	0.847747	0.0785209	0.0244335	0.0189404	0.0214949	0.00230016	0.00177303	0.00161953	0.00299944	8.88087e-05	8.243e-05
a	0.873165	0.0777691	0.0297451	0.00703582	0.00681148	0.000747007	0.000857598	0.00105265	0.00199327	0.000457138	0.000365786
á	0.0712697	0.634553	0.196964	0.0370794	0.0122083	0.00266889	0.00954276	0.00568448	0.00410703	0.00119918	0.0247234
k	0.0103386	0.217835	0.396181	0.159432	0.0854361	0.05913	0.0201039	0.0164811	0.0105128	0.00374036	0.0208097
w	0.00177309	0.0219025	0.507626	0.106952	0.175796	0.147318	0.0161224	0.0143611	0.00211765	0.000400026	0.00563212
ε	0.0127804	0.0613708	0.46704	0.170072	0.176262	0.0634626	0.0297684	0.0151851	0.00163355	0.000456878	0.00196779
r	0.0267718	0.0509039	0.288328	0.252508	0.158971	0.0661186	0.0380069	0.0225371	0.018309	0.00354363	0.0740021
i	0.0133894	0.0338232	0.333707	0.414766	0.113378	0.0149148	0.0264088	0.0210002	0.0229118	0.00115405	0.00454625
o	0.0153143	0.0849441	0.102823	0.293171	0.247008	0.0734189	0.10471	0.0232198	0.0353048	0.00837424	0.0117123
l	0.00048657	0.00479324	0.0262781	0.0809635	0.216115	0.51383	0.0997301	0.0423464	0.0062403	0.00613205	0.00308478
o	9.62869e-05	0.00388822	0.0650465	0.106007	0.10236	0.627035	0.0353649	0.0370503	0.00419013	0.00312776	0.0158334
n	8.76769e-05	0.0037849	0.0240758	0.101555	0.0480531	0.694121	0.0561691	0.0432204	0.0043077	0.0010328	0.0235924
d	0.000586117	0.00362038	0.0956877	0.128516	0.137055	0.191042	0.236606	0.163703	0.0247889	0.00137234	0.0170221
ó	0.00383789	0.00926503	0.113813	0.117946	0.0393272	0.141764	0.11305	0.22883	0.0634515	0.00498052	0.163736
m	0.0023314	0.00694389	0.0253035	0.0420877	0.0513742	0.0215021	0.324895	0.205647	0.232888	0.0149928	0.0720345
í	0.047595	0.0116563	0.00800811	0.0357999	0.0454587	0.0106008	0.111044	0.1506	0.253543	0.156467	0.169227
p	0.0112259	0.00323152	0.00330355	0.00631009	0.0151058	0.00224096	0.0610774	0.0846144	0.153927	0.627546	0.0314176
a	0.00380036	0.00261049	0.00231244	0.00538161	0.00546822	0.00779238	0.0275155	0.0848989	0.028367	0.819415	0.0124377
s	5.21274e-05	0.00018624	0.000805091	0.00149761	0.00307556	0.00184239	0.0399007	0.0887875	0.0711245	0.730175	0.0625534
a	0.000151543	0.000714817	0.00499875	0.0116551	0.0423393	0.00867308	0.053752	0.283837	0.150921	0.32338	0.119577
a	0.000130642	0.000717531	0.00226056	0.0030673	0.0146718	0.000602907	0.0238103	0.0796076	0.254803	0.0908433	0.529486
l	0.00202644	0.00979242	0.025945	0.0271495	0.0522585	0.010161	0.0660565	0.0751632	0.288845	0.194229	0.248373
á	0.00101498	0.00965856	0.0464168	0.056125	0.05091	0.00719477	0.038366	0.0709655	0.166009	0.173191	0.380149
b	0.00142381	0.00338111	0.0107182	0.02151	0.0159141	0.00268155	0.0194696	0.0320326	0.427483	0.132303	0.333082
á	0.00596722	0.00152846	0.00279236	0.00532347	0.0143815	0.00200308	0.00756821	0.0161937	0.0598738	0.869537	0.0148316
y	0.000712381	0.00098566	0.00155834	0.00283346	0.00570603	0.00138672	0.00964734	0.0244783	0.0558193	0.85312	0.0437524
á	0.00170835	0.00506524	0.0101639	0.0130988	0.00630629	0.0071747	0.018175	0.0718746	0.141323	0.396809	0.328301
</S>	0.00236964	0.00258952	0.007927	0.0118533	0.0160746	0.00277227	0.025355	0.0471741	0.18926	0.062339	0.632286
