 	il	fut	traité	avec	bonté	</S>
á	0.419212	0.523561	0.0406463	0.00414323	0.0123363	0.00010174
k	0.0312337	0.666308	0.0738414	0.132475	0.086214	0.00992743
y	0.0303666	0.309861	0.0686499	0.336204	0.178252	0.0766663
á	0.0433881	0.28642	0.408569	0.200258	0.0235374	0.0378265
ω	0.0643022	0.120106	0.619011	0.100484	0.00538029	0.090716
b	0.0153677	0.0889683	0.0903609	0.387972	0.374238	0.0430929
v	0.0155802	0.0295527	0.0140449	0.179227	0.724882	0.0367136
έ	0.00552987	0.0264824	0.0140873	0.104236	0.839886	0.00977827
l	0.0349389	0.0202954	0.0914252	0.05312	0.239804	0.560416
a	0.0899285	0.0826629	0.274251	0.1318	0.134332	0.287026
w	0.0458969	0.0166031	0.116478	0.291248	0.142824	0.38695
a	0.117267	0.0522279	0.512669	0.230582	0.0233088	0.0639451
</S>	0.055667	0.00964723	0.189104	0.110987	0.0740646	0.56053
