 	il	n'	est	pas	besoin	de	le	prévenir	</S>
é	0.571209	0.115353	0.0540175	0.112244	0.0583382	0.0473287	0.0380452	0.00239073	0.0010745
d	0.0386926	0.445563	0.15978	0.133888	0.139656	0.034958	0.0205368	0.0115898	0.0153352
í	0.0196057	0.322738	0.362121	0.19263	0.0590158	0.013401	0.00785289	0.00388674	0.0187493
ω	0.0101033	0.235765	0.28705	0.148631	0.0565157	0.0344994	0.0538771	0.0752072	0.0983517
d	0.0104006	0.0908799	0.326705	0.284216	0.205256	0.0218202	0.0170621	0.0220599	0.0216006
z	0.0003904	0.0309033	0.14193	0.174522	0.241734	0.047137	0.0180934	0.0351074	0.310182
á	0.0375852	0.0687684	0.160553	0.226906	0.221356	0.129009	0.0333106	0.0165096	0.106002
l	0.00613887	0.0412221	0.0892062	0.0988787	0.0753941	0.0501499	0.0399212	0.0965118	0.502577
a	0.00728848	0.062283	0.175294	0.117017	0.172487	0.0456652	0.0209058	0.0408632	0.358196
i	0.0270574	0.0538236	0.109484	0.138362	0.237853	0.175995	0.0657836	0.0246089	0.167032
k	0.00120568	0.0111995	0.0458311	0.0869775	0.542503	0.139202	0.0410641	0.0534284	0.0785883
á	0.000319917	0.00465085	0.0190979	0.0813345	0.633539	0.106794	0.0419814	0.097846	0.0144358
m	0.000869914	0.0118505	0.0570862	0.0925593	0.511033	0.115073	0.0275917	0.0651482	0.118788
b	0.00784799	0.00547956	0.0146442	0.0847659	0.27643	0.363162	0.167639	0.0214109	0.0586202
í	0.0180048	0.00312678	0.0158953	0.102223	0.277517	0.240718	0.0564372	0.0237886	0.262289
m	0.00809057	0.00796125	0.0347208	0.0809659	0.139904	0.383796	0.205865	0.0706841	0.0680122
ó	0.0836461	0.0285627	0.0220932	0.0549686	0.0527372	0.183889	0.183473	0.0601552	0.330474
i	0.0173627	0.00950801	0.0206344	0.0440379	0.0479696	0.286573	0.393285	0.156359	0.0242712
y	0.00116722	0.00693308	0.0099714	0.01366	0.0654215	0.0768386	0.116626	0.662045	0.0473366
e	0.00104898	0.00926988	0.0235294	0.0140254	0.0153106	0.13751	0.24257	0.381195	0.175541
b	0.000155024	0.000751548	0.00471516	0.0099704	0.0157538	0.19774	0.281294	0.226707	0.262913
h	0.000105091	0.00122271	0.00558013	0.0167636	0.0297331	0.163063	0.171017	0.502873	0.109643
i	0.000246047	0.000308451	0.00197495	0.00769334	0.0515871	0.121226	0.0507569	0.35827	0.407938
l	0.000768695	0.000829906	0.00352211	0.00965447	0.0317397	0.0960315	0.114325	0.336258	0.406871
a	0.00752116	0.00260746	0.00625443	0.0112215	0.0299237	0.0813816	0.074783	0.136468	0.649839
l	0.00311291	0.00180607	0.0050463	0.009511	0.0128846	0.0946069	0.17605	0.0910574	0.605925
á	0.0114173	0.0109924	0.0177684	0.0140206	0.0225205	0.0455219	0.0500711	0.0875811	0.740107
w	0.0177649	0.0113176	0.0312021	0.0502686	0.00968292	0.159876	0.281279	0.0435214	0.395087
a	0.0147033	0.0159385	0.0298927	0.0383025	0.032174	0.117075	0.261793	0.222158	0.267963
k	0.000772867	0.00081331	0.00381339	0.00517297	0.00809055	0.056911	0.154439	0.245652	0.524335
a	6.65945e-05	0.00076193	0.00290616	0.00440398	0.0237612	0.0472779	0.112418	0.379491	0.428914
á	0.000130226	0.000748149	0.00177493	0.00158872	0.0056716	0.0145926	0.0342705	0.309019	0.632204
</S>	0.000479569	0.00263923	0.0104046	0.0110265	0.0339037	0.0559908	0.0906039	0.158983	0.635968
