 	on	lui	a	exigé	un	dédommagement	pour	ce	qu'	il	a	volé	</S>
á	0.934854	0.0356859	0.00614223	0.00364303	0.00169268	0.00545625	0.00397044	0.00120763	0.00379758	0.00322865	0.000193887	9.21357e-05	3.53223e-05
f	0.00133524	0.00212229	0.00848455	0.0153525	0.0928488	0.876739	0.000256427	0.000112382	6.97814e-05	8.42244e-05	0.000934007	0.00147206	0.000188331
u	0.00139275	0.00244771	0.00750391	0.0552206	0.0155192	0.890535	0.00827237	0.0043406	0.00105768	0.000433759	0.00099591	0.00102188	0.0112589
r	0.000103185	0.000646852	0.00355958	0.00758466	0.0179344	0.95664	0.00631521	0.00225023	0.000319404	0.000143665	0.000530559	0.00192961	0.00204231
u	0.00811625	0.00771474	0.0174208	0.0217475	0.076688	0.844003	0.00910142	0.00534399	0.00292562	0.00194349	0.00155392	0.000500436	0.00294094
s	0.0833259	0.0883068	0.158495	0.0562856	0.260946	0.0256698	0.057074	0.0773054	0.0810415	0.0582742	0.0181453	0.00387179	0.0312583
u	0.00432942	0.0106201	0.0670061	0.085433	0.411066	0.0369713	0.12003	0.0996892	0.0286806	0.0103858	0.0373372	0.00363154	0.0848197
w	0.0339887	0.0264772	0.118676	0.0233634	0.111889	0.00482506	0.145741	0.22574	0.213439	0.0560157	0.0246958	0.00160361	0.0135455
a	0.0086863	0.00758583	0.0133074	0.00378659	0.0223798	0.00216576	0.247302	0.339544	0.245925	0.0871973	0.00899888	0.000817319	0.0123036
m	0.00254235	0.00331722	0.0287301	0.00403835	0.0119573	0.000952157	0.176841	0.322847	0.299247	0.092006	0.0239319	0.00391751	0.0296717
ó	0.00821503	0.00642	0.00551519	0.00252806	0.0150503	0.000747108	0.300769	0.406715	0.131188	0.0707684	0.0269237	0.000943724	0.0242162
b	0.00205424	0.00206235	0.00946563	0.00125782	0.00941754	0.00051391	0.139744	0.351606	0.269098	0.0736255	0.0818069	0.014854	0.0444936
e	0.0128227	0.00760846	0.0137215	0.00931611	0.0154007	0.00275717	0.110455	0.377777	0.132936	0.0652614	0.12974	0.0129186	0.109285
a	0.000917933	0.00155495	0.0060618	0.00149836	0.00336191	0.000305582	0.0578524	0.278209	0.214719	0.110902	0.0973626	0.0720004	0.155255
b	0.000750587	0.00214551	0.0131002	0.00132187	0.0131863	0.000357748	0.0272243	0.0837686	0.171134	0.221914	0.365683	0.05492	0.0444949
í	0.0108879	0.00631065	0.0167686	0.00553581	0.012003	0.000388825	0.0253928	0.108534	0.122093	0.133975	0.303562	0.0608316	0.193716
í	0.00524517	0.00346711	0.0148148	0.00265007	0.00432666	0.000179022	0.0112238	0.0496009	0.110926	0.150402	0.184608	0.255907	0.206649
y	0.000188355	0.000555721	0.00445936	0.00259945	0.00772935	0.00443272	0.00150931	0.00239696	0.00623026	0.0275848	0.237136	0.64362	0.0615582
í	4.7233e-05	0.000257829	0.00117849	0.00263152	0.0062794	0.000692633	0.00211446	0.00249529	0.00343746	0.00575837	0.139501	0.777498	0.0581083
b	5.18029e-05	6.00879e-05	0.000386155	0.000333158	0.00250277	0.000540147	0.00395274	0.00464931	0.00421795	0.00416664	0.0460038	0.808028	0.125108
h	0.00128137	0.000538283	0.00174221	0.000617857	0.0027639	0.000623376	0.0165641	0.0277874	0.0352837	0.0609363	0.18014	0.607173	0.0645487
í	0.000110721	0.000125578	0.000281757	0.000615729	0.00318021	0.0246315	0.0173249	0.0563819	0.0493708	0.0442562	0.0277351	0.543139	0.232847
w	0.000651812	0.000817362	0.00226113	0.000589551	0.00228603	0.00011904	0.0145872	0.0409641	0.128561	0.243189	0.115231	0.139787	0.310955
a	0.00256277	0.00111937	0.00162903	0.00108115	0.00212651	0.000509003	0.0379374	0.0798217	0.263509	0.420639	0.0790736	0.055066	0.0549255
</S>	0.00172338	0.00032368	0.0010057	7.36207e-05	0.000563629	7.15345e-05	0.00469106	0.0202527	0.149789	0.281906	0.0559748	0.0722228	0.411402
