 	ce	singe	a	un	grand	creux	séparant	le	front	du	nez	est-ce	une	maladie	</S>
k	0.236334	0.724026	0.0200967	0.00246031	0.00762963	0.000769905	0.00116162	0.00213479	0.00297789	0.00194964	9.53469e-05	6.59813e-05	0.000169255	0.000119743	9.35726e-06
y	0.0574027	0.92298	0.00396706	0.00149436	0.000856341	0.000511121	0.000358654	0.00101334	0.00435298	0.00226294	0.000301211	0.000467793	0.00073407	0.00287109	0.00042578
é	0.0631649	0.875784	0.00526029	0.0158796	0.0056805	0.00210158	0.00408854	0.00384489	0.0126995	0.00569224	0.00155133	0.000682485	0.000489209	0.00262329	0.000457713
m	0.129813	0.771343	0.0164675	0.00867322	0.00577943	0.00198441	0.00410056	0.00306239	0.0176689	0.00299551	0.00291644	0.00126923	0.0015317	0.00392886	0.0284664
a	0.502034	0.258587	0.0862524	0.0275203	0.0425458	0.0267452	0.00934842	0.00870411	0.00451594	0.0102177	0.0114592	0.00267334	0.000448143	0.000448117	0.00849995
w	0.0919002	0.0431059	0.421617	0.0915278	0.0588308	0.0616526	0.0320484	0.0194815	0.0214766	0.0115008	0.00861527	0.0247692	0.0125166	0.000661914	0.100296
ó	0.104381	0.0613862	0.12062	0.06311	0.182093	0.0406855	0.0734432	0.0541444	0.018987	0.0702786	0.0274631	0.0531424	0.0319771	0.0241282	0.0741595
a	0.118907	0.0416482	0.339825	0.0733118	0.181279	0.0614803	0.0468146	0.0294064	0.0103798	0.026652	0.00852094	0.0102342	0.0109029	0.00361984	0.0370181
d	0.0210441	0.00958912	0.389033	0.1622	0.0930066	0.0972404	0.106515	0.035699	0.0232344	0.00564463	0.00677508	0.0135788	0.0154372	0.000890087	0.0201125
í	0.00703095	0.0020991	0.180864	0.300183	0.0730397	0.0732414	0.212413	0.0707428	0.00585467	0.00649307	0.00233545	0.012073	0.0114231	0.00037723	0.0418295
l	0.00706297	0.00232357	0.108386	0.283726	0.196491	0.115649	0.0762143	0.0747721	0.0423706	0.0134444	0.00857506	0.020134	0.0156274	0.00398998	0.0312336
a	0.00391689	0.00169082	0.0764682	0.168401	0.143228	0.123795	0.207484	0.105627	0.0073413	0.0215674	0.00292595	0.0178632	0.0143288	0.00237794	0.102985
m	0.00289006	0.00110974	0.0372239	0.0751713	0.0950293	0.35008	0.256694	0.0917067	0.0121255	0.0264493	0.00375036	0.00709896	0.00337685	0.00741831	0.0298756
b	0.00218118	0.000420649	0.017834	0.0719763	0.0686579	0.653517	0.104915	0.0577976	0.00340428	0.0084976	0.00306185	0.00218251	0.000331797	0.000105746	0.00511697
ω	0.000681439	0.000386357	0.0106949	0.0722536	0.0422959	0.780716	0.0378146	0.0232403	0.00789709	0.012201	0.00460754	0.00214009	0.000237764	0.000701103	0.00413228
í	0.00160255	0.00254165	0.0298725	0.0756397	0.0410415	0.69393	0.0225388	0.0284502	0.0487592	0.0232491	0.00438206	0.00692293	0.00153173	0.00723883	0.0122998
e	0.00341723	0.00120553	0.0448789	0.042646	0.180741	0.0608204	0.236861	0.227368	0.0815252	0.0642337	0.00619464	0.0170439	0.00656321	0.00289641	0.0236038
