 	il	faut	supplier	le	seigneur	dieu	de	nous	protéger	</S>
k	0.54038	0.415506	0.0084607	0.0197301	0.00256274	0.00571909	0.00201855	0.00456331	0.000957839	0.000101579
á	0.228169	0.593136	0.0863197	0.0169225	0.0112531	0.00465677	0.00968791	0.0237377	0.0226613	0.00345571
a	0.148144	0.450366	0.0608511	0.0221305	0.00623221	0.0395714	0.0965602	0.0382409	0.0174284	0.120476
l	0.361943	0.271405	0.0660744	0.0867737	0.00531244	0.0127257	0.0302916	0.0599578	0.0192038	0.0863125
é	0.134896	0.256268	0.191111	0.0622676	0.00455067	0.0307765	0.0608369	0.0538812	0.0065077	0.198904
e	0.151778	0.186832	0.235875	0.167007	0.020904	0.0205489	0.0345	0.0419069	0.00597389	0.134674
b	0.00547123	0.0190167	0.88742	0.0284414	0.0228417	0.00125755	0.003369	0.000793378	0.00468351	0.0267054
ώ	0.00628425	0.0296581	0.948391	0.00616221	0.00315776	0.000321214	0.000960147	0.00207925	0.00124417	0.00174163
n	0.0018841	0.00774942	0.928719	0.0243235	0.0112446	0.00120267	0.0037606	0.000604759	0.0030769	0.0174347
d	0.027985	0.0166957	0.632024	0.111538	0.0623305	0.00824281	0.0228581	0.00248573	0.0276897	0.0881504
ώ	0.0584306	0.0230209	0.561971	0.120217	0.034933	0.026526	0.0445814	0.00686823	0.0136555	0.109796
ώ	0.0188438	0.0149103	0.101885	0.685472	0.0489598	0.0866147	0.0165268	0.0148308	0.0044276	0.00752957
o	0.0125222	0.0277656	0.00808281	0.436572	0.268403	0.173234	0.0206382	0.0362373	0.0127881	0.00375624
k	0.000411513	0.000869352	0.00861325	0.0561522	0.88613	0.0232094	0.0125826	0.00128756	0.00757761	0.0031669
o	0.000904315	0.00222552	0.0168804	0.0539487	0.842896	0.0118781	0.0313166	0.00233173	0.0273793	0.010239
n	0.000398073	0.00204344	0.0812325	0.0467979	0.791608	0.0135513	0.0201343	0.00114732	0.0102622	0.0328246
d	0.00473175	0.00257194	0.0281825	0.0875251	0.63135	0.0845765	0.0554531	0.0021564	0.0120565	0.0913957
z	0.0253704	0.0109008	0.0527598	0.0511215	0.415385	0.245585	0.110705	0.00403192	0.0103852	0.0737553
i	0.0157785	0.00995188	0.025638	0.0359587	0.370501	0.348393	0.105983	0.0102362	0.0189363	0.0586239
n	0.00654666	0.00311158	0.00268006	0.0553952	0.0480156	0.349967	0.42834	0.0388091	0.024318	0.0428169
z	0.00886997	0.00573168	0.00251701	0.00755998	0.0197285	0.737027	0.110551	0.0474628	0.00689952	0.0536526
a	0.000853653	0.00303903	0.00160741	0.00265192	0.00663585	0.834772	0.0545638	0.0691825	0.0115919	0.0151021
m	0.000365504	0.00201547	0.00448649	0.0360015	0.140559	0.238699	0.180584	0.259811	0.0291375	0.10834
b	0.00577944	0.00107197	0.000493625	0.0161721	0.0172426	0.0927468	0.378464	0.0279809	0.139203	0.320845
é	0.0124388	0.00361387	0.00384834	0.0113451	0.0161341	0.369446	0.393322	0.0382213	0.0610774	0.0905523
m	0.00316569	0.000799331	0.000867579	0.0141926	0.00844309	0.0218086	0.225193	0.0852949	0.220161	0.420075
í	0.00707969	0.00212248	0.000374958	0.0157529	0.00428441	0.0176771	0.251373	0.109124	0.16904	0.423172
k	0.00117268	0.000839204	0.000778908	0.00797086	0.00497449	0.00494646	0.125433	0.212821	0.472814	0.168249
y	0.000364509	0.000343968	0.00112401	0.00291757	0.0130875	0.00141033	0.0431834	0.0265371	0.817198	0.0938333
έ	0.00142319	0.000747106	0.0159399	0.00327977	0.00961273	0.00689703	0.149216	0.0931948	0.590003	0.129686
έ	0.000278847	0.00017943	0.00905783	0.00377709	0.00686365	0.0121276	0.118268	0.230048	0.419302	0.200097
l	0.00040821	8.11415e-05	0.000521334	0.00258747	0.00234053	0.00880127	0.111678	0.0450995	0.271481	0.557002
ε	0.000682407	0.000263208	0.00114317	0.00321931	0.00439848	0.0073793	0.0854685	0.10772	0.337966	0.451759
l	0.00080223	0.000328475	0.000702118	0.00541837	0.00217009	0.00929325	0.0760886	0.28167	0.0849672	0.53856
á	0.00270601	0.00101169	0.0015199	0.0046873	0.00534571	0.00587716	0.0345647	0.317961	0.0795704	0.546756
b	0.000911513	0.000653528	0.00286827	0.0101904	0.00163159	0.0221477	0.0425382	0.587361	0.0258683	0.305829
í	0.000361868	0.00139939	0.000940746	0.000787135	6.83909e-05	0.000625577	0.00550492	0.93593	0.0379247	0.0164575
s	0.00223972	0.00403134	0.00158501	0.00113735	4.72475e-05	0.00344949	0.0193582	0.891556	0.0527826	0.0238128
í	0.00538488	0.00620752	0.00539834	0.000979873	0.000486598	0.00102546	0.0140423	0.845748	0.0682175	0.0525092
a	0.0149936	0.00705121	0.00763353	0.00429217	0.000993315	0.00245438	0.0247581	0.551122	0.234631	0.15207
b	0.000883596	0.000227082	0.00164449	0.00820057	0.00480252	0.00340623	0.0378916	0.066652	0.108745	0.767547
í	0.00135029	0.00136154	0.00804649	0.00522522	0.000970083	0.001142	0.0257651	0.508987	0.302335	0.144818
n	0.00074853	0.000953658	0.00183799	0.00107433	0.000161378	0.00101845	0.0111701	0.602453	0.0761706	0.304412
í	0.0070525	0.00611957	0.00549539	0.0042266	0.00205711	0.0339206	0.0383055	0.437608	0.0460564	0.419159
</S>	0.000164331	0.000115235	0.00101875	0.00217977	0.00195342	0.00200452	0.0530561	0.0523898	0.0877474	0.799371
