 	il	nous	a	lancé	des	pierres	</S>
w	0.981801	0.0103423	0.00780393	1.70491e-05	1.14319e-05	7.73052e-06	1.59472e-05
a	0.744241	0.228935	0.0262283	0.000231235	0.000341941	7.40207e-06	1.47784e-05
á	0.163004	0.13937	0.616741	0.0789334	0.00169202	1.80793e-05	0.000241518
m	0.0180046	0.0621663	0.563152	0.266041	0.0703979	0.0138098	0.00642869
a	0.00465955	0.0931111	0.130156	0.69579	0.059038	0.00211481	0.0151307
a	0.00432572	0.0188016	0.24636	0.493738	0.139364	0.0170113	0.080399
g	0.00340648	0.0373169	0.0265584	0.228126	0.519807	0.11198	0.072806
h	0.000655877	0.0316175	0.106066	0.150742	0.405665	0.154247	0.151007
i	0.00750183	0.0714371	0.168981	0.110727	0.526742	0.0398424	0.074768
b	0.176496	0.575388	0.0919161	0.0154135	0.0199988	0.0372024	0.0835852
í	0.0118648	0.906027	0.00720239	0.0091228	0.0294155	0.0334016	0.00296609
s	0.019879	0.95018	0.00924153	0.00334062	0.00289558	0.00527719	0.00918582
í	0.0172677	0.135683	0.0304317	0.400191	0.27029	0.0339156	0.112221
a	0.00505137	0.0234115	0.211585	0.145533	0.247825	0.10254	0.264053
b	0.000630518	0.00714989	0.0124292	0.0247892	0.155201	0.621596	0.178204
v	0.00219326	0.0150304	0.0019965	0.00144141	0.0172109	0.924462	0.0376657
e	0.000530724	0.0107632	0.000805389	0.00106204	0.0288238	0.83668	0.121335
</S>	0.00057758	0.00290011	0.000279375	0.000294534	0.030424	0.191743	0.773781
