 	tout	le	village	fut	avisé	de	mon	arrivée	</S>
p	0.50797	0.228918	0.18319	0.0540551	0.00505018	0.010288	0.00950458	0.000627646	0.000396924
o	0.0682643	0.029306	0.890047	0.00255123	0.00143443	0.00295532	0.00183118	0.00324592	0.000365041
o	0.0210985	0.0293273	0.89171	0.00772149	0.000387978	0.00583451	0.00169231	0.00936757	0.03286
έ	0.244032	0.602797	0.0362891	0.0620002	0.00256947	0.00656482	0.0143932	0.00134616	0.030008
t	0.097289	0.188038	0.303016	0.0682219	0.0118448	0.0624266	0.0047773	0.0258942	0.238492
s	0.0896686	0.13333	0.385498	0.092586	0.0202457	0.0627929	0.0121117	0.0347372	0.16903
ω	0.243698	0.330415	0.167318	0.0887707	0.0206614	0.0507186	0.0181853	0.00543209	0.0748012
e	0.147213	0.357798	0.0793595	0.24713	0.0177608	0.0255708	0.00913198	0.00652341	0.109513
t	0.0999141	0.168085	0.0239691	0.354109	0.037128	0.0846572	0.0144575	0.013748	0.203932
i	0.0866893	0.128486	0.226606	0.0882113	0.0186862	0.15242	0.0118675	0.051356	0.235677
i	0.0380338	0.105618	0.123728	0.229608	0.03282	0.0616492	0.00665798	0.0302694	0.371615
n	0.0376783	0.0420713	0.0120911	0.491307	0.124483	0.152721	0.00851996	0.0133048	0.117824
a	0.011883	0.0381145	0.00209407	0.342713	0.366466	0.0412636	0.114659	0.00123841	0.0815686
á	0.0102769	0.0379296	0.00327653	0.589747	0.0566593	0.194076	0.0268914	0.00393146	0.0772113
y	0.00938992	0.0191534	0.00272387	0.13852	0.063461	0.670627	0.0210539	0.0396501	0.0354212
é	0.00283452	0.00990291	0.00232101	0.0489708	0.0512515	0.672406	0.0916167	0.0149633	0.105734
b	0.00228257	0.00795537	0.00245525	0.0636542	0.048954	0.509073	0.0630852	0.0392849	0.263256
h	0.00898457	0.0151484	0.00341498	0.0507344	0.0593002	0.655683	0.0749819	0.0792761	0.0524765
á	0.0135119	0.0209228	0.0185153	0.129802	0.0754642	0.14109	0.0220065	0.0779852	0.500702
w	0.00766941	0.014262	0.00274084	0.116476	0.194691	0.377996	0.138306	0.0488628	0.0989967
á	0.00952425	0.0294273	0.00929851	0.127737	0.254671	0.238878	0.125277	0.102364	0.102823
r	0.0063489	0.0134099	0.0138113	0.0259088	0.242143	0.109046	0.343029	0.158165	0.0881375
e	0.000225202	0.000678813	5.90281e-05	0.00648844	0.290217	0.0277174	0.658828	0.00160086	0.0141855
n	0.000816938	0.00392078	0.00102554	0.103043	0.0265271	0.203857	0.347977	0.132534	0.180299
g	0.00117423	0.00471025	0.000464925	0.0127395	0.0879179	0.0823138	0.69068	0.0157142	0.104285
á	0.000155813	0.000838216	0.000455169	0.00882297	0.0440563	0.0237992	0.798581	0.0220474	0.101244
í	0.00127059	0.00338592	0.00180786	0.0114699	0.00538623	0.0970918	0.307361	0.260714	0.311513
m	0.00392854	0.00573913	0.00063798	0.00734178	0.00194078	0.119464	0.0918202	0.663455	0.105673
i	0.00784024	0.023866	0.000813292	0.0172884	0.00899991	0.0799597	0.23352	0.254226	0.373486
y	0.00132119	0.00221134	0.00108585	0.00386141	0.00187919	0.0532664	0.0699767	0.450953	0.415444
a	9.51696e-05	0.000623884	0.00129586	0.00141014	0.00110898	0.0868166	0.645024	0.027276	0.236349
a	2.29864e-05	0.000127722	0.000177657	0.00022434	0.000391232	0.0138688	0.0592234	0.0340101	0.891954
</S>	0.000819348	0.00305603	0.000161449	0.00549453	0.00794579	0.0970619	0.21991	0.0868546	0.578696
