 	on	l'	a	appelé	chez	le	chef	</S>
a	0.615584	0.283649	0.0794842	0.012649	0.00449607	0.00249949	0.00155181	8.68202e-05
b	0.15823	0.652784	0.103729	0.0095844	0.0181865	0.00553599	0.0476974	0.00425292
é	0.0827379	0.246199	0.146019	0.339884	0.165701	0.00679423	0.0043154	0.0083499
e	0.0607347	0.304163	0.171475	0.13	0.0350504	0.0609189	0.0339158	0.203742
w	0.157097	0.0969638	0.375707	0.305167	0.0199295	0.021636	0.000770683	0.0227292
a	0.0515833	0.091287	0.301226	0.305493	0.0541046	0.0994619	0.00779822	0.0890452
m	0.0723031	0.0930113	0.330377	0.311634	0.0474218	0.037678	0.00191735	0.105657
b	0.0770804	0.0680188	0.100894	0.106053	0.519035	0.0457338	0.00122482	0.0819602
v	0.0352932	0.039012	0.0331858	0.0886115	0.779827	0.00820129	0.000480447	0.0153888
á	0.107924	0.1234	0.0662226	0.0953613	0.476896	0.0200495	0.00334435	0.106802
a	0.0329303	0.0400259	0.0876579	0.129692	0.432941	0.11935	0.0140407	0.143362
o	0.0147323	0.0156736	0.0900668	0.156427	0.135166	0.53317	0.0112736	0.0434911
k	0.00276482	0.00737955	0.00416564	0.00583158	0.221415	0.0743227	0.669968	0.0141525
o	0.000260671	0.00118066	0.00116105	0.00530548	0.164193	0.0242722	0.755893	0.0477338
n	9.47536e-05	0.000367917	0.00127213	0.00684527	0.0858079	0.024852	0.838872	0.0418884
d	0.000954049	0.00167049	0.00231663	0.00319677	0.115968	0.0328026	0.597555	0.245536
z	0.00210748	0.00294715	0.00192678	0.00163947	0.0213998	0.0090321	0.792719	0.168228
i	0.00174072	0.00239971	0.00233726	0.00383913	0.0250108	0.0114777	0.837003	0.116192
</S>	0.00200892	0.00347412	0.0100176	0.00909493	0.0519727	0.155763	0.0559061	0.711763
