 	cette	femme	est	en	train	de	me	harceler	parce	que	je	lui	dois	de	l'	argent	</S>
o	0.877246	0.0921954	0.00711812	0.0073365	0.00731931	0.004582	0.00138252	0.000280054	0.000732746	0.000802315	0.000103658	0.00034919	0.000189729	8.87887e-05	0.000258385	8.25451e-06	6.6326e-06
y	0.0622196	0.926185	0.00501178	0.00202443	0.000987142	0.000233658	0.000302758	0.000615127	0.000145887	0.000204782	0.000406887	0.000189039	0.000117527	0.00024391	0.00017638	0.000219086	0.000716931
ú	0.899988	0.070183	0.00307472	0.00255193	0.000473386	0.000736608	0.000546359	0.0144784	0.00224096	0.00131536	0.00306199	0.000230032	0.000168301	0.000305739	0.000238105	0.000230794	0.000176437
r	0.84895	0.0337403	0.00834268	0.00395438	9.66951e-05	0.00120682	0.00573449	0.0283435	0.00722928	0.00471898	0.006731	0.00439726	0.00209738	0.00634427	0.00758764	0.00786237	0.0226633
u	0.880967	0.0715033	0.0115344	0.00577558	0.000271773	0.00158519	0.00420768	0.00708847	0.00358928	0.00244707	0.00161072	0.00130113	0.0011246	0.00111653	0.000472268	0.00204999	0.00335528
w	0.229044	0.09615	0.402888	0.0964019	0.0241982	0.0241199	0.0200819	0.00520104	0.012327	0.0128097	0.00379164	0.0121544	0.00742576	0.0127262	0.00844893	0.00258328	0.0296479
ó	0.173731	0.00897284	0.121812	0.0704409	0.0268787	0.0504805	0.0359779	0.0693522	0.0460894	0.0734455	0.0399682	0.0505602	0.0400068	0.0546999	0.0208652	0.0297561	0.0869623
b	0.0117189	0.00116114	0.328849	0.235724	0.0455192	0.145368	0.0274051	0.0168722	0.0177525	0.0247271	0.021195	0.0191163	0.0135415	0.0193776	0.0111775	0.00777675	0.0527176
ó	0.0344063	0.00125149	0.0357707	0.237484	0.0797499	0.301374	0.186851	0.0124146	0.0148581	0.0243058	0.0059087	0.0157705	0.0254482	0.0122149	0.00124326	0.00734368	0.0036047
l	0.0458021	0.00174375	0.143059	0.207544	0.187393	0.28807	0.0389078	0.0119198	0.00688528	0.0103488	0.00746367	0.0107909	0.00743713	0.0110946	0.0118729	0.00368438	0.00598372
á	0.0376333	0.00414122	0.0338695	0.0220099	0.00408747	0.114596	0.0935048	0.0236002	0.0846767	0.0561382	0.0589519	0.0621371	0.0263424	0.0734112	0.0750837	0.0516282	0.178189
a	0.166755	0.0114604	0.110732	0.0569936	0.0119834	0.301068	0.145311	0.0407691	0.024999	0.016942	0.0109473	0.0139072	0.0112596	0.0168737	0.0159171	0.0124932	0.0315884
s	0.130066	0.00816351	0.0192126	0.0352289	0.0106125	0.389493	0.144009	0.208724	0.00317291	0.00751467	0.00736209	0.00610356	0.00996443	0.00709972	0.00315003	0.00163944	0.00848376
