 	nous	venons	de	cueillir	les	fruits	sauvages	dans	la	plaine	</S>
b	0.997266	0.000591779	0.000457878	8.22405e-07	0.000226318	0.000235743	0.000175971	0.000217513	0.000772828	4.81745e-05	6.77147e-06
í	0.906364	0.00473048	0.0236403	6.47522e-05	0.0136957	0.0161158	0.0039784	0.00815895	0.021834	0.000398499	0.00101887
s	0.984641	0.00431073	0.00513069	0.000228243	0.0010546	0.00177585	0.000391428	0.000728422	0.000473914	0.000172224	0.00109328
í	0.959364	0.0029346	0.0125941	0.00102989	0.0068211	0.0037398	0.00240931	0.00435802	0.00389403	0.00130899	0.00154565
l	0.103243	0.22884	0.132679	0.0153304	0.0297524	0.0328515	0.0265759	0.0346158	0.045141	0.0145688	0.336402
é	0.0283234	0.163744	0.223235	0.0451694	0.202883	0.0290822	0.0192607	0.0405712	0.0401124	0.0064921	0.201126
w	0.0540945	0.520585	0.321552	0.0523758	0.015822	0.00337048	0.00324781	0.00424041	0.00435935	0.00985226	0.0104999
ú	0.00170473	0.572575	0.146404	0.260948	0.00572049	0.0028408	0.003716	0.00183938	0.00103885	0.00222921	0.000984273
r	0.00978634	0.0701215	0.362163	0.503146	0.0147253	0.00418992	0.0110223	0.00435182	0.00713301	0.0102723	0.00308884
u	0.0265426	0.106406	0.318421	0.29451	0.119141	0.0162117	0.0307867	0.0265266	0.0188519	0.00333444	0.0392684
o	0.0344305	0.0120378	0.378953	0.070663	0.361252	0.0332221	0.0317514	0.0194012	0.041357	0.00208513	0.0148475
t	0.000206115	0.0142536	0.0161048	0.8045	0.0885574	0.052804	0.0107657	0.00352848	0.000854734	0.00691816	0.00150653
ώ	1.76983e-05	0.00255664	0.010589	0.918322	0.0256235	0.021719	0.0115062	0.00146243	0.00042934	0.00575136	0.00202334
ώ	0.00146844	0.00629683	0.109992	0.247392	0.219384	0.0812218	0.142229	0.0234464	0.0333561	0.108511	0.0267025
i	0.00105233	0.0011377	0.0455149	0.0052201	0.242177	0.209239	0.234012	0.13287	0.117745	0.00265795	0.00837357
s	0.001329	0.00070457	0.00479228	0.00327603	0.0708896	0.268444	0.25179	0.183326	0.0696143	0.078012	0.0678221
ó	0.000627368	0.000795106	0.00448241	0.0106425	0.0295951	0.0597486	0.240122	0.174135	0.0505365	0.390573	0.0387419
n	0.000268594	0.000419251	0.00472616	0.0197182	0.0637756	0.0522758	0.212063	0.152554	0.0764024	0.394923	0.0228742
d	0.000105236	0.000406044	0.00504076	0.00916482	0.0913472	0.0892947	0.318901	0.159197	0.0584844	0.195776	0.072283
ó	2.29228e-05	0.000323924	0.00398186	0.0210144	0.0418569	0.0240282	0.147754	0.0846697	0.0318741	0.512808	0.131667
s	0.000909837	0.000325503	0.0187479	0.00394443	0.14603	0.0552435	0.142885	0.200752	0.154035	0.179395	0.0977322
ó	0.000419102	0.000222513	0.00208694	0.0022856	0.0237006	0.0369066	0.114573	0.153958	0.118247	0.41258	0.135021
l	0.00320349	0.000151163	0.00330923	0.00127889	0.00786175	0.00351862	0.0230327	0.0724486	0.210399	0.644782	0.0300144
ω	0.00368291	0.00039985	0.00452077	0.00138529	0.010926	0.00871158	0.047289	0.123174	0.101671	0.584098	0.114142
n	0.000197284	0.000120377	0.000803245	0.000625329	0.00210156	0.00116456	0.00623514	0.00959413	0.0104252	0.946921	0.0218125
g	1.69212e-05	2.18377e-05	0.000164336	0.00129518	0.00365133	0.00624543	0.0311821	0.0277792	0.0184344	0.85973	0.0514791
ώ	4.89307e-05	2.26907e-05	0.00034054	0.000303371	0.00409967	0.0016637	0.0206667	0.0278561	0.0230901	0.826312	0.0955962
</S>	6.20796e-05	8.17066e-05	0.00175298	0.000332208	0.0200445	0.0176735	0.0577334	0.156779	0.182061	0.0841502	0.47933
