 	elle	ressentait	une	douleur	dans	le	bas-ventre	</S>
w	0.9062	0.0586913	0.0068364	0.0137397	0.00650194	0.0077953	0.000107637	0.000128092
a	0.777513	0.0286723	0.0297281	0.0865509	0.0312381	0.0428482	0.00329248	0.000156905
á	0.539295	0.254796	0.143264	0.00635734	0.0184328	0.0167701	0.0049504	0.0161348
b	0.202642	0.4584	0.210342	0.0391813	0.0445336	0.0230533	0.00226151	0.019587
ó	0.0336042	0.800103	0.0725792	0.0571865	0.0239119	0.00319341	4.63231e-05	0.00937516
n	0.0114813	0.766912	0.111879	0.0555124	0.0313462	0.00898267	0.00143101	0.0124551
d	0.0822056	0.591046	0.232588	0.0457393	0.0228023	0.00451918	0.000966142	0.020134
á	0.117914	0.5361	0.249977	0.0457852	0.0222835	0.00477775	0.00211879	0.0210434
b	0.0177791	0.00679765	0.359855	0.393076	0.142554	0.0701552	0.00641651	0.00336574
v	0.0223831	0.00780328	0.0897622	0.817532	0.0382334	0.00808996	0.0138299	0.00236592
ú	0.000760855	0.00519208	0.0401243	0.900762	0.0479404	0.00412797	0.00052498	0.000567558
a	0.00170988	0.00138314	0.281276	0.354643	0.275848	0.0539807	0.0253964	0.00576227
m	0.00516253	0.00194971	0.126484	0.0717732	0.523529	0.192438	0.00900215	0.0696607
ó	0.0104408	0.000835604	0.0551934	0.016371	0.178602	0.217385	0.17514	0.346032
m	0.00290933	0.00226799	0.0121207	0.020705	0.0576497	0.189556	0.69142	0.0233715
w	0.000982224	0.00139148	0.00887647	0.00226426	0.0218291	0.0427253	0.774123	0.147808
ε	0.0009359	0.000465936	0.0030112	0.00123156	0.00779081	0.00994554	0.966279	0.01034
</S>	5.96334e-05	0.0015184	0.011569	0.00590922	0.0321294	0.0179364	0.623621	0.307257
