 	on	brûle	les	herbes	</S>
b	0.933104	0.0514741	0.0149752	0.000320229	0.000126469
á	0.577976	0.131241	0.279374	0.00592543	0.00548317
a	0.658337	0.209409	0.0294629	0.0336929	0.069098
t	0.571837	0.200776	0.137945	0.00393349	0.0855086
u	0.0105543	0.900106	0.0222124	0.0330479	0.0340798
m	0.0686618	0.499015	0.0889596	0.0789139	0.26445
b	0.270721	0.374835	0.109708	0.0864806	0.158255
á	0.152353	0.215643	0.173387	0.161072	0.297545
p	0.158685	0.0413044	0.576034	0.154963	0.0690143
f	0.0368776	0.0974501	0.0194419	0.823706	0.0225239
ú	0.00651783	0.0448475	0.0288843	0.890307	0.029443
l	0.00747347	0.0124454	0.0155988	0.926395	0.0380874
ú	0.0199852	0.019105	0.10034	0.723874	0.136695
</S>	0.0038777	0.00237036	0.185925	0.0809376	0.72689
